"line","lyric","element","element_artist"
1,"How was I to know? It's a crazy thing","Verse 1","Taylor Swift"
2,"I showed you my hand and you still let me win","Verse 1","Taylor Swift"
3,"And who was I to say that this was meant to be?","Verse 1","Taylor Swift"
4,"The road that was broken brought us together","Verse 1","Taylor Swift"
5,"And I know you could fall for a thousand kings","Chorus","Taylor Swift"
6,"And hearts that would give you a diamond ring","Chorus","Taylor Swift"
7,"When I fold, you see the best in me","Chorus","Taylor Swift"
8,"The joker and the queen","Chorus","Taylor Swift"
9,"I've been played before, if you hadn't guessed","Verse 2","Taylor Swift"
10,"So I kept my cards close to my foolproof vest","Verse 2","Taylor Swift"
11,"But you called my bluff (But you called my bluff)","Verse 2","Taylor Swift"
12,"And saw through all my tells (And saw through all my tells)","Verse 2","Taylor Swift"
13,"And then you went all in","Verse 2","Taylor Swift"
14,"And we left together","Verse 2","Taylor Swift"
15,"And I know you think that what makes a king","Chorus","Taylor Swift"
16,"Is gold, a palace, and diamond rings","Chorus","Taylor Swift"
17,"When I fold, you see the best in me","Chorus","Taylor Swift"
18,"The joker and the queen","Chorus","Taylor Swift"
19,"And I know you could fall for a thousand kings","Chorus","Taylor Swift"
20,"And hearts that would give you a diamond ring","Chorus","Taylor Swift"
21,"When I folded, you saw the best in me","Chorus","Taylor Swift"
22,"The joker and the queen","Chorus","Taylor Swift"
23,"The joker and the queen","Chorus","Taylor Swift"
