"line","lyric","element","element_artist"
1,"Is it romantic how all my elegies eulogize me?","Verse 1","Taylor Swift"
2,"I'm not cut out for all these cynical clones","Verse 1","Taylor Swift"
3,"These hunters with cell phones","Verse 1","Taylor Swift"
4,"Take me to the Lakes where all the poets went to die","Chorus","Taylor Swift"
5,"I don't belong and, my beloved, neither do you","Chorus","Taylor Swift"
6,"Those Windermere peaks look like a perfect place to cry","Chorus","Taylor Swift"
7,"I'm setting off, but not without my muse","Chorus","Taylor Swift"
8,"What should be over burrowed under my skin","Verse 2","Taylor Swift"
9,"In heart-stopping waves of hurt","Verse 2","Taylor Swift"
10,"I've come too far to watch some namedropping sleaze","Verse 2","Taylor Swift"
11,"Tell me what are my words worth","Verse 2","Taylor Swift"
12,"Take me to the Lakes where all the poets went to die","Chorus","Taylor Swift"
13,"I don't belong and, my beloved, neither do you","Chorus","Taylor Swift"
14,"Those Windermere peaks look like a perfect place to cry","Chorus","Taylor Swift"
15,"I'm setting off, but not without my muse","Chorus","Taylor Swift"
16,"I want auroras and sad prose","Bridge","Taylor Swift"
17,"I want to watch wisteria grow right over my bare feet","Bridge","Taylor Swift"
18,"'Cause I haven't moved in years","Bridge","Taylor Swift"
19,"And I want you right here","Bridge","Taylor Swift"
20,"A red rose grew up out of ice frozen ground","Bridge","Taylor Swift"
21,"With no one around to tweet it","Bridge","Taylor Swift"
22,"While I bathe in cliffside pools","Bridge","Taylor Swift"
23,"With my calamitous love and insurmountable grief","Bridge","Taylor Swift"
24,"Take me to the Lakes where all the poets went to die","Chorus","Taylor Swift"
25,"I don't belong and, my beloved, neither do you","Chorus","Taylor Swift"
26,"Those Windermere peaks look like a perfect place to cry","Chorus","Taylor Swift"
27,"I'm setting off, but not without my muse","Chorus","Taylor Swift"
28,"No, not without you","Chorus","Taylor Swift"
