"line","lyric","element","element_artist"
1,"Rebekah rode up on the afternoon train, it was sunny","Verse 1","Taylor Swift"
2,"Her saltbox house on the coast took her mind off St. Louis","Verse 1","Taylor Swift"
3,"Bill was the heir to the Standard Oil name and money","Verse 1","Taylor Swift"
4,"And the town said, ""How did a middle-class divorcée do it?""","Verse 1","Taylor Swift"
5,"The wedding was charming, if a little gauche","Verse 1","Taylor Swift"
6,"There's only so far new money goes","Verse 1","Taylor Swift"
7,"They picked out a home and called it ""Holiday House""","Verse 1","Taylor Swift"
8,"Their parties were tasteful, if a little loud","Verse 1","Taylor Swift"
9,"The doctor had told him to settle down","Verse 1","Taylor Swift"
10,"It must have been her fault his heart gave out","Verse 1","Taylor Swift"
11,"And they said","Chorus","Taylor Swift"
12,"""There goes the last great American dynasty","Chorus","Taylor Swift"
13,"Who knows, if she never showed up, what could've been","Chorus","Taylor Swift"
14,"There goes the maddest woman this town has ever seen","Chorus","Taylor Swift"
15,"She had a marvelous time ruining everything""","Chorus","Taylor Swift"
16,"Rebekah gave up on the Rhode Island set forever","Verse 2","Taylor Swift"
17,"Flew in all her Bitch Pack friends from the city","Verse 2","Taylor Swift"
18,"Filled the pool with champagne and swam with the big names","Verse 2","Taylor Swift"
19,"And blew through the money on the boys and the ballet","Verse 2","Taylor Swift"
20,"And losing on card game bets with Dalí","Verse 2","Taylor Swift"
21,"And they said","Chorus","Taylor Swift"
22,"""There goes the last great American dynasty","Chorus","Taylor Swift"
23,"Who knows, if she never showed up, what could've been","Chorus","Taylor Swift"
24,"There goes the most shameless woman this town has ever seen","Chorus","Taylor Swift"
25,"She had a marvelous time ruining everything""","Chorus","Taylor Swift"
26,"They say she was seen on occasion","Bridge","Taylor Swift"
27,"Pacing the rocks, staring out at the midnight sea","Bridge","Taylor Swift"
28,"And in a feud with her neighbor","Bridge","Taylor Swift"
29,"She stole his dog and dyed it key lime green","Bridge","Taylor Swift"
30,"Fifty years is a long time","Bridge","Taylor Swift"
31,"Holiday House sat quietly on that beach","Bridge","Taylor Swift"
32,"Free of women with madness, their men and bad habits","Bridge","Taylor Swift"
33,"And then it was bought by me","Bridge","Taylor Swift"
34,"Who knows, if I never showed up, what could've been","Chorus","Taylor Swift"
35,"There goes the loudest woman this town has ever seen","Chorus","Taylor Swift"
36,"I had a marvelous time ruining everything","Chorus","Taylor Swift"
37,"I had a marvelous time ruining everything","Outro","Taylor Swift"
38,"A marvelous time ruining everything","Outro","Taylor Swift"
39,"A marvelous time","Outro","Taylor Swift"
40,"I had a marvelous time","Outro","Taylor Swift"
