"line","lyric","element","element_artist"
1,"Find myself at your door","Verse 1","Taylor Swift"
2,"Just like all those times before","Verse 1","Taylor Swift"
3,"I'm not sure how I got there","Verse 1","Taylor Swift"
4,"All roads they lead me here","Verse 1","Taylor Swift"
5,"I imagine you are home","Verse 1","Taylor Swift"
6,"In your room, all alone","Verse 1","Taylor Swift"
7,"And you open your eyes into mine","Verse 1","Taylor Swift"
8,"And everything feels better","Verse 1","Taylor Swift"
9,"And right before your eyes","Pre-Chorus","Taylor Swift"
10,"I'm breaking, no past","Pre-Chorus","Taylor Swift"
11,"No reasons why","Pre-Chorus","Taylor Swift"
12,"Just you and me","Pre-Chorus","Taylor Swift"
13,"This is the last time I'm asking you this","Chorus","Taylor Swift"
14,"Put my name at the top of your list","Chorus","Taylor Swift"
15,"This is the last time I'm asking you why","Chorus","Taylor Swift"
16,"You break my heart in the blink of an eye (Eye, eye)","Chorus","Taylor Swift"
17,"You find yourself at my door","Verse 2","Taylor Swift"
18,"Just like all those times before","Verse 2","Taylor Swift"
19,"You wear your best apology","Verse 2","Taylor Swift"
20,"But I was there to watch you leave","Verse 2","Taylor Swift"
21,"And all the times I let you in","Verse 2","Taylor Swift"
22,"Just for you to go again","Verse 2","Taylor Swift"
23,"Disappear when you come back","Verse 2","Taylor Swift"
24,"Everything is better","Verse 2","Taylor Swift"
25,"And right before your eyes","Pre-Chorus","Taylor Swift"
26,"I'm aching, run fast","Pre-Chorus","Taylor Swift"
27,"Nowhere to hide","Pre-Chorus","Taylor Swift"
28,"Just you and me","Pre-Chorus","Taylor Swift"
29,"This is the last time I'm asking you this","Chorus","Taylor Swift"
30,"Put my name at the top of your list","Chorus","Taylor Swift"
31,"This is the last time I'm asking you why","Chorus","Taylor Swift"
32,"You break my heart in the blink of an eye (Eye, eye)","Chorus","Taylor Swift"
33,"This is the last time you tell me I've got it wrong","Bridge","Taylor Swift"
34,"This is the last time I say it's been you all along","Bridge","Taylor Swift"
35,"This is the last time I let you in my door","Bridge","Taylor Swift"
36,"This is the last time, I won't hurt you anymore","Bridge","Taylor Swift"
37,"Oh-ho, oh-ho, oh-ho, oh-ho","Bridge","Taylor Swift"
38,"Oh-ho, oh-ho, oh-ho, oh-ho","Bridge","Taylor Swift"
39,"This is the last time I'm asking you this","Chorus","Taylor Swift"
40,"Put my name at the top of your list","Chorus","Taylor Swift"
41,"This is the last time I'm asking you why","Chorus","Taylor Swift"
42,"You break my heart in the blink of an eye","Chorus","Taylor Swift"
43,"This is the last time I'm asking you this","Outro","Taylor Swift"
44,"(This is the last time I'm asking you this)","Outro","Taylor Swift"
45,"Put my name at the top of your list","Outro","Taylor Swift"
46,"(Put my name at the top of your list)","Outro","Taylor Swift"
47,"This is the last time I'm asking you why","Outro","Taylor Swift"
48,"(This is the last time I'm asking you why)","Outro","Taylor Swift"
49,"You break my heart in the blink of an eye","Outro","Taylor Swift"
50,"(You break my heart)","Outro","Taylor Swift"
51,"This is the last time I'm asking you, last time I'm asking you","Outro","Taylor Swift"
52,"Last time I'm asking you this","Outro","Taylor Swift"
53,"This is the last time I'm asking you, last time I'm asking you","Outro","Taylor Swift"
54,"Last time I'm asking you this","Outro","Taylor Swift"
55,"This is the last time I'm asking you, last time I'm asking you","Outro","Taylor Swift"
56,"Last time I'm asking you this","Outro","Taylor Swift"
57,"This is the last time I'm asking you, last time I'm asking you","Outro","Taylor Swift"
58,"Last time I'm asking you this","Outro","Taylor Swift"
