"line","lyric","element","element_artist"
1,"You should've been there","Verse 1","Taylor Swift"
2,"Should've burst through the door","Verse 1","Taylor Swift"
3,"With that ""Baby, I'm right here"" smile","Verse 1","Taylor Swift"
4,"And it would've felt like","Verse 1","Taylor Swift"
5,"A million little shining stars had just aligned","Verse 1","Taylor Swift"
6,"And I would've been so happy","Verse 1","Taylor Swift"
7,"Christmas lights glisten","Verse 2","Taylor Swift"
8,"I've got my eye on the door","Verse 2","Taylor Swift"
9,"Just waiting for you to walk in","Verse 2","Taylor Swift"
10,"But the time is ticking","Verse 2","Taylor Swift"
11,"People ask me how I've been","Verse 2","Taylor Swift"
12,"As I comb back through my memory","Verse 2","Taylor Swift"
13,"How you said you'd be here","Verse 2","Taylor Swift"
14,"You said you'd be here","Verse 2","Taylor Swift"
15,"And it was like slow motion","Chorus","Taylor Swift"
16,"Standing there in my party dress","Chorus","Taylor Swift"
17,"In red lipstick","Chorus","Taylor Swift"
18,"With no one to impress","Chorus","Taylor Swift"
19,"And they're all laughing","Chorus","Taylor Swift"
20,"As I'm looking around the room","Chorus","Taylor Swift"
21,"But there was one thing missing","Chorus","Taylor Swift"
22,"And that was the moment I knew","Chorus","Taylor Swift"
23,"And the hours pass by","Verse 3","Taylor Swift"
24,"Now I just wanna be alone","Verse 3","Taylor Swift"
25,"But your close friends always seem to know","Verse 3","Taylor Swift"
26,"When there's something really wrong","Verse 3","Taylor Swift"
27,"So they follow me down the hall","Verse 3","Taylor Swift"
28,"And there in the bathroom","Verse 3","Taylor Swift"
29,"I try not to fall apart","Verse 3","Taylor Swift"
30,"And the sinking feeling starts","Verse 3","Taylor Swift"
31,"As I say hopelessly","Verse 3","Taylor Swift"
32,"""He said he'd be here""","Verse 3","Taylor Swift"
33,"And it was like slow motion","Chorus","Taylor Swift"
34,"Standing there in my party dress","Chorus","Taylor Swift"
35,"In red lipstick","Chorus","Taylor Swift"
36,"With no one to impress","Chorus","Taylor Swift"
37,"And they're all laughing","Chorus","Taylor Swift"
38,"And asking me about you","Chorus","Taylor Swift"
39,"But there was one thing missing (Missing)","Chorus","Taylor Swift"
40,"And that was the moment I knew","Chorus","Taylor Swift"
41,"What do you say","Bridge","Taylor Swift"
42,"When tears are streaming down your face","Bridge","Taylor Swift"
43,"In front of everyone you know?","Bridge","Taylor Swift"
44,"And what do you do","Bridge","Taylor Swift"
45,"When the one who means the most to you","Bridge","Taylor Swift"
46,"Is the one who didn't show?","Bridge","Taylor Swift"
47,"You should've been here","Breakdown","Taylor Swift"
48,"And I would've been so happy","Breakdown","Taylor Swift"
49,"And it was like slow motion","Chorus","Taylor Swift"
50,"Standing there in my party dress","Chorus","Taylor Swift"
51,"In red lipstick","Chorus","Taylor Swift"
52,"With no one to impress","Chorus","Taylor Swift"
53,"And they're all standing around me, singing","Chorus","Taylor Swift"
54,"""Happy birthday to you""","Chorus","Taylor Swift"
55,"But there was one thing missing","Chorus","Taylor Swift"
56,"And that was the moment I knew","Chorus","Taylor Swift"
57,"Oh-oh-oh-oh-oh-oh-oh, I knew","Chorus","Taylor Swift"
58,"Oh-oh-oh-oh-oh-oh-oh","Chorus","Taylor Swift"
59,"You called me later","Outro","Taylor Swift"
60,"And said, ""I'm sorry I didn't make it""","Outro","Taylor Swift"
61,"And I said, ""I'm sorry, too""","Outro","Taylor Swift"
62,"And that was the moment I knew","Outro","Taylor Swift"
