"line","lyric","element","element_artist"
1,"In the heat of the fight I walked away","Verse 1","Taylor Swift"
2,"Ignoring words that you were saying","Verse 1","Taylor Swift"
3,"Trying to make me stay","Verse 1","Taylor Swift"
4,"I said, ""This time I've had enough""","Verse 1","Taylor Swift"
5,"And you've called a hundred times","Verse 1","Taylor Swift"
6,"But I'm not picking up","Verse 1","Taylor Swift"
7,"'Cause I'm so mad I might tell you that it's over","Pre-Chorus","Taylor Swift"
8,"But if you look a little closer","Pre-Chorus","Taylor Swift"
9,"I said, ""Leave,"" but all I really want is you","Chorus","Taylor Swift"
10,"To stand outside my window throwing pebbles","Chorus","Taylor Swift"
11,"Screaming, ""I'm in love with you""","Chorus","Taylor Swift"
12,"Wait there in the pouring rain","Chorus","Taylor Swift"
13,"Come back for more","Chorus","Taylor Swift"
14,"And don't you leave 'cause I know","Chorus","Taylor Swift"
15,"All I need is on the other side of the door","Chorus","Taylor Swift"
16,"Me and my stupid pride are sitting here alone","Verse 2","Taylor Swift"
17,"Going through the photographs, staring at the phone","Verse 2","Taylor Swift"
18,"I keep going back over things we both said","Verse 2","Taylor Swift"
19,"And I remember the slamming door","Verse 2","Taylor Swift"
20,"And all the things that I misread","Verse 2","Taylor Swift"
21,"So babe if you know everything","Pre-Chorus","Taylor Swift"
22,"Tell me why you couldn't see","Pre-Chorus","Taylor Swift"
23,"When I left, I wanted you to chase after me","Pre-Chorus","Taylor Swift"
24,"Yeah, I said, ""Leave,"" but all I really want is you","Chorus","Taylor Swift"
25,"To stand outside my window throwing pebbles","Chorus","Taylor Swift"
26,"Screaming, ""I'm in love with you""","Chorus","Taylor Swift"
27,"Wait there in the pouring rain","Chorus","Taylor Swift"
28,"Come back for more","Chorus","Taylor Swift"
29,"And don't you leave 'cause I know","Chorus","Taylor Swift"
30,"All I need is on the other side of the door","Chorus","Taylor Swift"
31,"And I'll scream out the window","Bridge","Taylor Swift"
32,"I can't even look at you","Bridge","Taylor Swift"
33,"I don't need you but I do, I do, I do","Bridge","Taylor Swift"
34,"I say, ""There's nothing you can say","Bridge","Taylor Swift"
35,"To make this right again, I mean it, I mean it""","Bridge","Taylor Swift"
36,"What I mean is","Bridge","Taylor Swift"
37,"I said, ""Leave,"" but baby, all I want is you","Chorus","Taylor Swift"
38,"To stand outside my window throwing pebbles","Chorus","Taylor Swift"
39,"Screaming, ""I'm in love with you""","Chorus","Taylor Swift"
40,"Wait there in the pouring rain","Chorus","Taylor Swift"
41,"Come back for more","Chorus","Taylor Swift"
42,"And don't you leave 'cause I know","Chorus","Taylor Swift"
43,"All I need is on the other side of the door","Chorus","Taylor Swift"
44,"With your face and the beautiful eyes","Outro","Taylor Swift"
45,"And the conversation with the little white lies","Outro","Taylor Swift"
46,"And the faded picture of a beautiful night","Outro","Taylor Swift"
47,"You carried me from your car up the stairs","Outro","Taylor Swift"
48,"And I broke down crying, was she worth this mess?","Outro","Taylor Swift"
49,"After everything and that little black dress","Outro","Taylor Swift"
50,"After everything I must confess, I need you","Outro","Taylor Swift"
