"line","lyric","element","element_artist"
1,"He is sensible and so incredible","Verse 1","Taylor Swift"
2,"And all my single friends are jealous","Verse 1","Taylor Swift"
3,"He says everything I need to hear and it's like","Verse 1","Taylor Swift"
4,"I couldn't ask for anything better","Verse 1","Taylor Swift"
5,"He opens up my door and I get into his car","Verse 1","Taylor Swift"
6,"And he says you look beautiful tonight","Verse 1","Taylor Swift"
7,"And I feel perfectly fine","Verse 1","Taylor Swift"
8,"But I miss screaming and fighting and kissing in the rain","Chorus","Taylor Swift"
9,"And it's 2AM and I'm cursing your name","Chorus","Taylor Swift"
10,"You're so in love that you act insane","Chorus","Taylor Swift"
11,"And that's the way I loved you","Chorus","Taylor Swift"
12,"Breaking down and coming undone","Chorus","Taylor Swift"
13,"It's a roller coaster kind of rush","Chorus","Taylor Swift"
14,"And I never knew I could feel that much","Chorus","Taylor Swift"
15,"And that's the way I loved you","Chorus","Taylor Swift"
16,"He respects my space","Verse 2","Taylor Swift"
17,"And never makes me wait","Verse 2","Taylor Swift"
18,"And he calls exactly when he says he will","Verse 2","Taylor Swift"
19,"He's close to my mother","Verse 2","Taylor Swift"
20,"Talks business with my father","Verse 2","Taylor Swift"
21,"He's charming and endearing","Verse 2","Taylor Swift"
22,"And I'm comfortable","Verse 2","Taylor Swift"
23,"But I miss screaming and fighting and kissing in the rain","Chorus","Taylor Swift"
24,"It's 2AM and I'm cursing your name","Chorus","Taylor Swift"
25,"You're so in love that you acted insane","Chorus","Taylor Swift"
26,"And that's the way I loved you","Chorus","Taylor Swift"
27,"Breaking down and coming undone","Chorus","Taylor Swift"
28,"It's a roller coaster kind of rush","Chorus","Taylor Swift"
29,"And I never knew I could feel that much","Chorus","Taylor Swift"
30,"And that's the way I loved you","Chorus","Taylor Swift"
31,"He can't see the smile I'm faking","Bridge","Taylor Swift"
32,"And my heart's not breaking","Bridge","Taylor Swift"
33,"'Cause I'm not feeling anything at all","Bridge","Taylor Swift"
34,"And you were wild and crazy","Bridge","Taylor Swift"
35,"Just so frustrating","Bridge","Taylor Swift"
36,"Intoxicating, complicated","Bridge","Taylor Swift"
37,"Got away by some mistake and now","Bridge","Taylor Swift"
38,"I miss screaming and fighting and kissing in the rain","Chorus","Taylor Swift"
39,"It's 2AM and I'm cursing your name","Chorus","Taylor Swift"
40,"I'm so in love that I acted insane","Chorus","Taylor Swift"
41,"And that's the way I loved you","Chorus","Taylor Swift"
42,"Breaking down and coming undone","Chorus","Taylor Swift"
43,"It's a roller coaster kind of rush","Chorus","Taylor Swift"
44,"And I never knew I could feel that much","Chorus","Taylor Swift"
45,"And that's the way I loved you oh, oh","Chorus","Taylor Swift"
46,"And that's the way I loved you oh, oh","Outro","Taylor Swift"
47,"Never knew I could feel that much","Outro","Taylor Swift"
48,"And that's the way I loved you","Outro","Taylor Swift"
