"line","lyric","element","element_artist"
1,"It was so nice throwing big parties","Verse 1","Taylor Swift"
2,"Jump into the pool from the balcony","Verse 1","Taylor Swift"
3,"Everyone swimming in a champagne sea","Verse 1","Taylor Swift"
4,"And there are no rules when you show up here","Verse 1","Taylor Swift"
5,"Bass beat rattling the chandelier","Verse 1","Taylor Swift"
6,"Feeling so Gatsby for that whole year","Verse 1","Taylor Swift"
7,"So why'd you have to rain on my parade?","Pre-Chorus","Taylor Swift"
8,"I'm shaking my head and locking the gates","Pre-Chorus","Taylor Swift"
9,"This is why we can't have nice things, darling","Chorus","Taylor Swift"
10,"Because you break them","Chorus","Taylor Swift"
11,"I had to take them away","Chorus","Taylor Swift"
12,"This is why we can't have nice things, honey (Oh)","Chorus","Taylor Swift"
13,"Did you think I wouldn't hear all the things you said about me?","Chorus","Taylor Swift"
14,"This is why we can't have nice things","Chorus","Taylor Swift"
15,"It was so nice being friends again","Verse 2","Taylor Swift"
16,"There I was, giving you a second chance","Verse 2","Taylor Swift"
17,"But you stabbed me in the back while shaking my hand","Verse 2","Taylor Swift"
18,"And therein lies the issue","Verse 2","Taylor Swift"
19,"Friends don't try to trick you","Verse 2","Taylor Swift"
20,"Get you on the phone and mind-twist you","Verse 2","Taylor Swift"
21,"And so I took an axe to a mended fence","Verse 2","Taylor Swift"
22,"But I'm not the only friend you've lost lately (Mm-mm)","Pre-Chorus","Taylor Swift"
23,"If only you weren't so shady","Pre-Chorus","Taylor Swift"
24,"This is why we can't have nice things, darling (Yeah)","Chorus","Taylor Swift"
25,"Because you break them","Chorus","Taylor Swift"
26,"I had to take them away","Chorus","Taylor Swift"
27,"This is why we can't have nice (Nice things) things (Baby), honey","Chorus","Taylor Swift"
28,"Did you think I wouldn't hear all the things you said about me?","Chorus","Taylor Swift"
29,"This is why we can't have","Chorus","Taylor Swift"
30,"Here's a toast to my real friends","Bridge","Taylor Swift"
31,"They don't care about the he-said, she-said","Bridge","Taylor Swift"
32,"And here's to my baby","Bridge","Taylor Swift"
33,"He ain't reading what they call me lately","Bridge","Taylor Swift"
34,"And here's to my mama","Bridge","Taylor Swift"
35,"Had to listen to all this drama","Bridge","Taylor Swift"
36,"And here's to you","Bridge","Taylor Swift"
37,"'Cause forgiveness is a nice thing to do","Bridge","Taylor Swift"
38,"Haha, I can't even say it with a straight face","Bridge","Taylor Swift"
39,"This is why we can't have nice things, darling (Darling)","Chorus","Taylor Swift"
40,"Because you break them","Chorus","Taylor Swift"
41,"I had to take them away","Chorus","Taylor Swift"
42,"This is why we can't have nice (Uh-uh) things (Oh no), honey (Baby, oh)","Chorus","Taylor Swift"
43,"Did you think I wouldn't hear all the things you said about me?","Chorus","Taylor Swift"
44,"This is why we can't have nice things, darling","Chorus","Taylor Swift"
45,"(And here's to my real friends)","Chorus","Taylor Swift"
46,"Because you break them","Chorus","Taylor Swift"
47,"I had to take them","Chorus","Taylor Swift"
48,"(And here's to my baby)","Chorus","Taylor Swift"
49,"Nice things, honey","Chorus","Taylor Swift"
50,"(He didn't care about that he-said, she-said)","Chorus","Taylor Swift"
51,"Did you think I wouldn't hear all the things you said about me?","Chorus","Taylor Swift"
52,"This is why we can't have nice things","Chorus","Taylor Swift"
