"line","lyric","element","element_artist"
1,"He said the way my blue eyes shined","Verse 1","Taylor Swift"
2,"Put those Georgia stars to shame that night","Verse 1","Taylor Swift"
3,"I said, ""That's a lie""","Verse 1","Taylor Swift"
4,"Just a boy in a Chevy truck","Verse 1","Taylor Swift"
5,"That had a tendency of gettin' stuck","Verse 1","Taylor Swift"
6,"On backroads at night","Verse 1","Taylor Swift"
7,"And I was right there beside him all summer long","Verse 1","Taylor Swift"
8,"And then the time we woke up to find that summer gone","Verse 1","Taylor Swift"
9,"But when you think Tim McGraw","Chorus","Taylor Swift"
10,"I hope you think my favorite song","Chorus","Taylor Swift"
11,"The one we danced to all night long","Chorus","Taylor Swift"
12,"The moon like a spotlight on the lake","Chorus","Taylor Swift"
13,"When you think happiness","Chorus","Taylor Swift"
14,"I hope you think that little black dress","Chorus","Taylor Swift"
15,"Think of my head on your chest","Chorus","Taylor Swift"
16,"And my old faded blue jeans","Chorus","Taylor Swift"
17,"When you think Tim McGraw","Chorus","Taylor Swift"
18,"I hope you think of me","Chorus","Taylor Swift"
19,"September saw a month of tears","Verse 2","Taylor Swift"
20,"And thankin' God that you weren't here","Verse 2","Taylor Swift"
21,"To see me like that","Verse 2","Taylor Swift"
22,"But in a box beneath my bed","Verse 2","Taylor Swift"
23,"Is a letter that you never read","Verse 2","Taylor Swift"
24,"From three summers back","Verse 2","Taylor Swift"
25,"It's hard not to find it all a little bittersweet","Verse 2","Taylor Swift"
26,"And lookin' back on all of that, it's nice to believe","Verse 2","Taylor Swift"
27,"When you think Tim McGraw","Chorus","Taylor Swift"
28,"I hope you think my favorite song","Chorus","Taylor Swift"
29,"The one we danced to all night long","Chorus","Taylor Swift"
30,"The moon like a spotlight on the lake","Chorus","Taylor Swift"
31,"When you think happiness","Chorus","Taylor Swift"
32,"I hope you think that little black dress","Chorus","Taylor Swift"
33,"Think of my head on your chest","Chorus","Taylor Swift"
34,"And my old faded blue jeans","Chorus","Taylor Swift"
35,"When you think Tim McGraw","Chorus","Taylor Swift"
36,"I hope you think of me","Chorus","Taylor Swift"
37,"And I'm back for the first time since then","Bridge","Taylor Swift"
38,"I'm standin' on your street","Bridge","Taylor Swift"
39,"And there's a letter left on your doorstep","Bridge","Taylor Swift"
40,"And the first thing that you'll read is:","Bridge","Taylor Swift"
41,"""When you think Tim McGraw","Bridge","Taylor Swift"
42,"I hope you think my favorite song","Bridge","Taylor Swift"
43,"Someday you'll turn your radio on","Bridge","Taylor Swift"
44,"I hope it takes you back to that place""","Bridge","Taylor Swift"
45,"When you think happiness","Chorus","Taylor Swift"
46,"I hope you think that little black dress","Chorus","Taylor Swift"
47,"Think of my head on your chest","Chorus","Taylor Swift"
48,"And my old faded blue jeans","Chorus","Taylor Swift"
49,"When you think Tim McGraw","Chorus","Taylor Swift"
50,"I hope you think of me","Chorus","Taylor Swift"
51,"Oh, think of me","Chorus","Taylor Swift"
52,"Mmmm","Chorus","Taylor Swift"
53,"He said the way my blue eyes shine","Outro","Taylor Swift"
54,"Put those Georgia stars to shame that night","Outro","Taylor Swift"
55,"I said, ""That's a lie""","Outro","Taylor Swift"
