"line","lyric","element","element_artist"
1,"Today was a fairytale","Verse 1","Taylor Swift"
2,"You were the prince","Verse 1","Taylor Swift"
3,"I used to be a damsel in distress","Verse 1","Taylor Swift"
4,"You took me by the hand and you picked me up at six","Verse 1","Taylor Swift"
5,"Today was a fairytale","Verse 1","Taylor Swift"
6,"Today was a fairytale","Verse 1","Taylor Swift"
7,"Today was a fairytale","Verse 1","Taylor Swift"
8,"I wore a dress","Verse 1","Taylor Swift"
9,"You wore a dark gray t-shirt","Verse 1","Taylor Swift"
10,"You told me I was pretty when I looked like a mess","Verse 1","Taylor Swift"
11,"Today was a fairytale","Verse 1","Taylor Swift"
12,"Time slows down","Pre-Chorus","Taylor Swift"
13,"Whenever you're around","Pre-Chorus","Taylor Swift"
14,"Can you feel this magic in the air?","Chorus","Taylor Swift"
15,"It must have been the way you kissed me","Chorus","Taylor Swift"
16,"Fell in love when I saw you standing there","Chorus","Taylor Swift"
17,"It must have been the way","Chorus","Taylor Swift"
18,"Today was a fairytale","Chorus","Taylor Swift"
19,"It must have been the way","Chorus","Taylor Swift"
20,"Today was a fairytale","Chorus","Taylor Swift"
21,"Today was a fairytale","Verse 2","Taylor Swift"
22,"You've got a smile","Verse 2","Taylor Swift"
23,"That takes me to another planet","Verse 2","Taylor Swift"
24,"Every move you make, everything you say is right","Verse 2","Taylor Swift"
25,"Today was a fairytale","Verse 2","Taylor Swift"
26,"Today was a fairytale","Verse 2","Taylor Swift"
27,"All that I can say","Verse 2","Taylor Swift"
28,"Is now it's getting so much clearer","Verse 2","Taylor Swift"
29,"Nothing made sense 'til the time I saw your face","Verse 2","Taylor Swift"
30,"Today was a fairytale","Verse 2","Taylor Swift"
31,"Time slows down","Pre-Chorus","Taylor Swift"
32,"Whenever you're around, yeah","Pre-Chorus","Taylor Swift"
33,"But can you feel this magic in the air?","Chorus","Taylor Swift"
34,"It must have been the way you kissed me","Chorus","Taylor Swift"
35,"Fell in love when I saw you standing there","Chorus","Taylor Swift"
36,"It must have been the way","Chorus","Taylor Swift"
37,"Today was a fairytale","Chorus","Taylor Swift"
38,"It must have been the way","Chorus","Taylor Swift"
39,"Today was a fairytale","Chorus","Taylor Swift"
40,"Time slows down","Bridge","Taylor Swift"
41,"Whenever you're around","Bridge","Taylor Swift"
42,"I can feel my heart","Bridge","Taylor Swift"
43,"It's beating in my chest","Bridge","Taylor Swift"
44,"Did you feel it?","Bridge","Taylor Swift"
45,"I can't put this down","Bridge","Taylor Swift"
46,"But can you feel this magic in the air?","Chorus","Taylor Swift"
47,"It must have been the way you kissed me","Chorus","Taylor Swift"
48,"Fell in love when I saw you standing there","Chorus","Taylor Swift"
49,"It must have been the way","Chorus","Taylor Swift"
50,"But can you feel this magic in the air?","Chorus","Taylor Swift"
51,"It must have been the way you kissed me","Chorus","Taylor Swift"
52,"Fell in love when I saw you standing there","Chorus","Taylor Swift"
53,"It must have been the way","Chorus","Taylor Swift"
54,"Today was a fairytale","Chorus","Taylor Swift"
55,"It must have been the way","Chorus","Taylor Swift"
56,"Today was a fairytale","Chorus","Taylor Swift"
57,"Oh, oh, yeah, oh-oh","Outro","Taylor Swift"
58,"Today was a fairytale","Outro","Taylor Swift"
