"line","lyric","element","element_artist"
1,"Put your lips close to mine","Verse 1","Taylor Swift"
2,"As long as they don't touch","Verse 1","Taylor Swift"
3,"Out of focus, eye to eye","Verse 1","Taylor Swift"
4,"'Til the gravity's too much","Verse 1","Taylor Swift"
5,"And I'll do anything you say","Verse 1","Taylor Swift"
6,"If you say it with your hands","Verse 1","Taylor Swift"
7,"And I'd be smart to walk away","Verse 1","Taylor Swift"
8,"But you're quicksand","Verse 1","Taylor Swift"
9,"This slope is treacherous","Chorus","Taylor Swift"
10,"This path is reckless","Chorus","Taylor Swift"
11,"This slope is treacherous","Chorus","Taylor Swift"
12,"And I-I-I like it","Chorus","Taylor Swift"
13,"I can't decide if it's a choice","Verse 2","Taylor Swift"
14,"Getting swept away","Verse 2","Taylor Swift"
15,"I hear the sound of my own voice","Verse 2","Taylor Swift"
16,"Asking you to stay","Verse 2","Taylor Swift"
17,"All we are is skin and bone","Verse 2","Taylor Swift"
18,"Trained to get along","Verse 2","Taylor Swift"
19,"Forever going with the flow","Verse 2","Taylor Swift"
20,"But you're friction","Verse 2","Taylor Swift"
21,"This slope is treacherous","Chorus","Taylor Swift"
22,"This path is reckless","Chorus","Taylor Swift"
23,"This slope is treacherous","Chorus","Taylor Swift"
24,"I, I, I like it (Oh)","Chorus","Taylor Swift"
25,"Two headlights shine through the sleepless night","Bridge","Taylor Swift"
26,"And I will get you, get you alone","Bridge","Taylor Swift"
27,"Your name has echoed through my mind","Bridge","Taylor Swift"
28,"And I just think you should, think you should know","Bridge","Taylor Swift"
29,"That nothing safe is worth the drive","Bridge","Taylor Swift"
30,"And I would follow you, follow you home","Bridge","Taylor Swift"
31,"I'll follow you, follow you home","Bridge","Taylor Swift"
32,"This hope is treacherous","Chorus","Taylor Swift"
33,"This daydream is dangerous","Chorus","Taylor Swift"
34,"This hope is treacherous","Chorus","Taylor Swift"
35,"I-I-I, I-I-I, I-I-I","Chorus","Taylor Swift"
36,"Two headlights shine through the sleepless night","Bridge","Taylor Swift"
37,"And I will get you, get you alone","Bridge","Taylor Swift"
38,"Your name has echoed through my mind","Bridge","Taylor Swift"
39,"And I just think you should, think you should know","Bridge","Taylor Swift"
40,"That nothing safe is worth the drive","Bridge","Taylor Swift"
41,"And I would follow you, follow you home","Bridge","Taylor Swift"
42,"I'll follow you, follow you home","Bridge","Taylor Swift"
43,"I'll follow you, follow you home","Bridge","Taylor Swift"
44,"I'll follow you, follow you home","Bridge","Taylor Swift"
45,"This slope is treacherous","Outro","Taylor Swift"
46,"I-I-I like it","Outro","Taylor Swift"
