"line","lyric","element","element_artist"
1,"I remember what you wore on the first day","Verse 1","Taylor Swift"
2,"You came into my life and I thought","Verse 1","Taylor Swift"
3,"Hey, you know, this could be something","Verse 1","Taylor Swift"
4,"'Cause everything you do and words you say","Verse 1","Taylor Swift"
5,"You know that it all takes my breath away","Verse 1","Taylor Swift"
6,"And now I'm left with nothing","Verse 1","Taylor Swift"
7,"So maybe it's true that I can't live without you","Chorus","Taylor Swift"
8,"And maybe two is better than one","Chorus","Taylor Swift"
9,"But there's so much time to figure out the rest of my life","Chorus","Taylor Swift"
10,"And you've already got me coming undone","Chorus","Taylor Swift"
11,"And I'm thinking two is better than one","Chorus","Taylor Swift"
12,"I remember every look upon your face","Verse 2","Taylor Swift"
13,"The way you roll your eyes, the way you taste","Verse 2","Taylor Swift"
14,"You make it hard for breathing","Verse 2","Taylor Swift"
15,"'Cause when I close my eyes and drift away","Verse 2","Taylor Swift"
16,"I think of you and everything's okay","Verse 2","Taylor Swift"
17,"I'm finally now believing","Verse 2","Taylor Swift"
18,"Then maybe it's true that I can't live without you","Chorus","Taylor Swift"
19,"And maybe two is better than one","Chorus","Taylor Swift"
20,"But there's so much time to figure out the rest of my life","Chorus","Taylor Swift"
21,"And you've already got me coming undone","Chorus","Taylor Swift"
22,"And I'm thinking two is better than one","Chorus","Taylor Swift"
23,"Yeah, yeah","Chorus","Taylor Swift"
24,"I remember what you wore on the first day","Bridge","Taylor Swift"
25,"You came into my life and I thought, hey (Hey, hey)","Bridge","Taylor Swift"
26,"Maybe it's true that I can't live without you","Chorus","Taylor Swift"
27,"And maybe two is better than one","Chorus","Taylor Swift"
28,"But there's so much time to figure out the rest of my life","Chorus","Taylor Swift"
29,"And you've already got me coming undone","Chorus","Taylor Swift"
30,"And I'm thinking, ooh, I can't live without you","Outro","Taylor Swift"
31,"'Cause, baby, two is better than one","Outro","Taylor Swift"
32,"There's so much time to figure out the rest of my life","Outro","Taylor Swift"
33,"But I'll figure out with all that's said and done","Outro","Taylor Swift"
34,"Two is better than one","Outro","Taylor Swift"
35,"Two is better than one","Outro","Taylor Swift"
