"line","lyric","element","element_artist"
1,"Draw the cat eye, sharp enough to kill a man","Verse 1","Taylor Swift"
2,"You did some bad things, but I'm the worst of them","Verse 1","Taylor Swift"
3,"Sometimes I wonder which one'll be your last lie","Verse 1","Taylor Swift"
4,"They say looks can kill and I might try","Verse 1","Taylor Swift"
5,"I don't dress for women","Verse 1","Taylor Swift"
6,"I don't dress for men","Verse 1","Taylor Swift"
7,"Lately I've been dressin' for revenge","Verse 1","Taylor Swift"
8,"I don't start shit, but I can tell you how it ends","Chorus","Taylor Swift"
9,"Don't get sad, get even","Chorus","Taylor Swift"
10,"So on the weekends","Chorus","Taylor Swift"
11,"I don't dress for friends","Chorus","Taylor Swift"
12,"Lately I've been dressin' for revenge","Chorus","Taylor Swift"
13,"She needed cold hard proof, so I gave her some","Verse 2","Taylor Swift"
14,"She had the envelope, where you think she got it from?","Verse 2","Taylor Swift"
15,"Now she gets the house, gets the kids, gets the pride","Verse 2","Taylor Swift"
16,"Picture me thick as thieves with your ex-wife","Verse 2","Taylor Swift"
17,"And she looks so pretty","Verse 2","Taylor Swift"
18,"Drivin' in your Benz","Verse 2","Taylor Swift"
19,"Lately she's been dressin' for revenge","Verse 2","Taylor Swift"
20,"She don't start shit, but she can tell you how it ends","Chorus","Taylor Swift"
21,"Don't get sad, get even","Chorus","Taylor Swift"
22,"So on the weekends","Chorus","Taylor Swift"
23,"She don't dress for friends","Chorus","Taylor Swift"
24,"Lately she's been dressing for revenge","Chorus","Taylor Swift"
25,"Ladies always rise above","Bridge","Taylor Swift"
26,"Ladies know what people want","Bridge","Taylor Swift"
27,"Someone sweet and kind and fun","Bridge","Taylor Swift"
28,"The lady simply had enough","Bridge","Taylor Swift"
29,"Well, he was doin' lines and crossin' all of mine","Verse 3","Taylor Swift"
30,"Someone told his white collar crimes to the FBI","Verse 3","Taylor Swift"
31,"And I don't dress for villains","Verse 3","Taylor Swift"
32,"Or for innocents","Verse 3","Taylor Swift"
33,"On my vigilante shit again","Verse 3","Taylor Swift"
34,"I don't start shit, but I can tell you how it ends","Chorus","Taylor Swift"
35,"Don't get sad, get even","Chorus","Taylor Swift"
36,"So on the weekends","Chorus","Taylor Swift"
37,"I don't dress for friends","Chorus","Taylor Swift"
38,"Lately I've been dressin' for revenge","Chorus","Taylor Swift"
