"line","lyric","element","element_artist"
1,"Walking through a crowd, the village is aglow","Verse 1","Taylor Swift"
2,"Kaleidoscope of loud heartbeats under coats","Verse 1","Taylor Swift"
3,"Everybody here wanted something more","Verse 1","Taylor Swift"
4,"Searching for a sound we hadn't heard before","Verse 1","Taylor Swift"
5,"And it said","Verse 1","Taylor Swift"
6,"Welcome to New York, it's been waiting for you","Chorus","Taylor Swift"
7,"Welcome to New York, welcome to New York","Chorus","Taylor Swift"
8,"Welcome to New York, it's been waiting for you","Chorus","Taylor Swift"
9,"Welcome to New York, welcome to New York","Chorus","Taylor Swift"
10,"It's a new soundtrack, I could dance to this beat, beat, forevermore","Chorus","Taylor Swift"
11,"The lights are so bright but they never blind me, me","Chorus","Taylor Swift"
12,"Welcome to New York, it's been waiting for you","Chorus","Taylor Swift"
13,"Welcome to New York, welcome to New York","Chorus","Taylor Swift"
14,"When we first dropped our bags on apartment floors","Verse 2","Taylor Swift"
15,"Took our broken hearts, put them in a drawer","Verse 2","Taylor Swift"
16,"Everybody here was someone else before","Verse 2","Taylor Swift"
17,"And you can want who you want","Verse 2","Taylor Swift"
18,"Boys and boys and girls and girls","Verse 2","Taylor Swift"
19,"Welcome to New York, it's been waiting for you","Chorus","Taylor Swift"
20,"Welcome to New York, welcome to New York","Chorus","Taylor Swift"
21,"Welcome to New York, it's been waiting for you","Chorus","Taylor Swift"
22,"Welcome to New York, welcome to New York","Chorus","Taylor Swift"
23,"It's a new soundtrack, I could dance to this beat, beat, forevermore","Chorus","Taylor Swift"
24,"The lights are so bright, but they never blind me, me","Chorus","Taylor Swift"
25,"Welcome to New York (New York), it's been waiting for you","Chorus","Taylor Swift"
26,"Welcome to New York, welcome to New York","Chorus","Taylor Swift"
27,"Like any great love, it keeps you guessing","Bridge","Taylor Swift"
28,"Like any real love, it's ever-changing","Bridge","Taylor Swift"
29,"Like any true love, it drives you crazy","Bridge","Taylor Swift"
30,"But you know you wouldn't change anything, anything, anything","Bridge","Taylor Swift"
31,"Welcome to New York, it's been waiting for you","Chorus","Taylor Swift"
32,"Welcome to New York, welcome to New York","Chorus","Taylor Swift"
33,"Welcome to New York, it's been waiting for you","Chorus","Taylor Swift"
34,"Welcome to New York, welcome to New York","Chorus","Taylor Swift"
35,"It's a new soundtrack, I could dance to this beat","Chorus","Taylor Swift"
36,"The lights are so bright, but they never blind me","Chorus","Taylor Swift"
37,"Welcome to New York (New soundtrack)","Chorus","Taylor Swift"
38,"It's been waiting for you","Chorus","Taylor Swift"
39,"Welcome to New York","Chorus","Taylor Swift"
40,"The lights are so bright but they never blind me","Chorus","Taylor Swift"
41,"Welcome to New York","Chorus","Taylor Swift"
42,"So bright, they never blind me","Chorus","Taylor Swift"
43,"Welcome to New York","Chorus","Taylor Swift"
44,"Welcome to New York","Chorus","Taylor Swift"
