"line","lyric","element","element_artist"
1,"When Emma falls in love, she paces the floor","Verse 1","Taylor Swift"
2,"Closes the blinds and locks the door","Verse 1","Taylor Swift"
3,"When Emma falls in love, she calls up her mom","Verse 1","Taylor Swift"
4,"Jokes about the ways that this one could go wrong","Verse 1","Taylor Swift"
5,"She waits and takes her time","Verse 1","Taylor Swift"
6,"'Cause Little Miss Sunshine always thinks it's gonna rain","Verse 1","Taylor Swift"
7,"When Emma falls in love, I know","Verse 1","Taylor Swift"
8,"That boy will never be the same","Verse 1","Taylor Swift"
9,"'Cause she's the kind of book that you can't put down","Chorus","Taylor Swift"
10,"Like if Cleopatra grew up in a small town","Chorus","Taylor Swift"
11,"And all the bad boys would be good boys","Chorus","Taylor Swift"
12,"If they only had a chance to love her","Chorus","Taylor Swift"
13,"And to tell you the truth, sometimes I wish I was her","Chorus","Taylor Swift"
14,"When Emma falls in love, it's all on her face","Verse 2","Taylor Swift"
15,"Hangs in the air like stars in outer space","Verse 2","Taylor Swift"
16,"When Emma falls in love, she disappears","Verse 2","Taylor Swift"
17,"And we all just laugh after seein' it all these years","Verse 2","Taylor Swift"
18,"When Emma falls apart, it's when she's alone","Verse 2","Taylor Swift"
19,"She takes on the pain and bears it on her own","Verse 2","Taylor Swift"
20,"'Cause when Emma falls in love, she's in it for keeps","Verse 2","Taylor Swift"
21,"She won't walk away unless she knows she absolutely has to leave","Verse 2","Taylor Swift"
22,"And she's the kind of book that you can't put down","Chorus","Taylor Swift"
23,"Like if Cleopatra grew up in a small town","Chorus","Taylor Swift"
24,"And all the bad boys would be good boys","Chorus","Taylor Swift"
25,"If they only had a chance to love her","Chorus","Taylor Swift"
26,"And to tell you the truth, sometimes I wish I was her","Chorus","Taylor Swift"
27,"Well, she's so New York when she's in L.A.","Bridge","Taylor Swift"
28,"She won't lose herself in love the way that I did","Bridge","Taylor Swift"
29,"'Cause she'll call you out, she'll put you in your place","Bridge","Taylor Swift"
30,"When Emma falls in love, I'm learning","Bridge","Taylor Swift"
31,"Emma met a boy with eyes like a man","Verse 3","Taylor Swift"
32,"Turns out her heart fits right in the palm of his hand","Verse 3","Taylor Swift"
33,"Now he'll be her shelter when it rains","Verse 3","Taylor Swift"
34,"Little does he know, his whole world's about to change","Verse 3","Taylor Swift"
35,"'Cause she's the kind of book that you can't put down","Chorus","Taylor Swift"
36,"Like if Cleopatra grew up in a small town","Chorus","Taylor Swift"
37,"And all the bad boys would be good boys","Chorus","Taylor Swift"
38,"If they only had a chance to love her","Chorus","Taylor Swift"
39,"And to tell you the truth, sometimes I wish I was her","Chorus","Taylor Swift"
40,"Yeah, between me and you, sometimes I wish I was her","Outro","Taylor Swift"
