"line","lyric","element","element_artist"
1,"One look, dark room","Verse 1","Taylor Swift"
2,"Meant just for you","Verse 1","Taylor Swift"
3,"Time moved too fast, you play it back","Verse 1","Taylor Swift"
4,"Buttons on a coat, lighthearted joke","Verse 1","Taylor Swift"
5,"No proof, not much, but you saw enough","Verse 1","Taylor Swift"
6,"Small talk, he drives","Verse 1","Taylor Swift"
7,"Coffee at midnight","Verse 1","Taylor Swift"
8,"The light reflects the chain on your neck","Verse 1","Taylor Swift"
9,"He says, ""Look up""","Verse 1","Taylor Swift"
10,"And your shoulders brush","Verse 1","Taylor Swift"
11,"No proof, one touch, but you felt enough","Verse 1","Taylor Swift"
12,"You can hear it in the silence (Silence), silence (Silence), you","Chorus","Taylor Swift"
13,"You can feel it on the way home (Way home), way home (Way home), you","Chorus","Taylor Swift"
14,"You can see it with the lights out (Lights out), lights out (Lights out)","Chorus","Taylor Swift"
15,"You are in love, true love","Chorus","Taylor Swift"
16,"You are in love","Chorus","Taylor Swift"
17,"Morning, his place","Verse 2","Taylor Swift"
18,"Burnt toast, Sunday","Verse 2","Taylor Swift"
19,"You keep his shirt, he keeps his word","Verse 2","Taylor Swift"
20,"And for once, you let go","Verse 2","Taylor Swift"
21,"Of your fears and your ghosts","Verse 2","Taylor Swift"
22,"One step, not much, but it said enough","Verse 2","Taylor Swift"
23,"You kiss on sidewalks","Verse 2","Taylor Swift"
24,"You fight and you talk","Verse 2","Taylor Swift"
25,"One night, he wakes","Verse 2","Taylor Swift"
26,"Strange look on his face","Verse 2","Taylor Swift"
27,"Pauses, then says ""You're my best friend""","Verse 2","Taylor Swift"
28,"And you knew what it was, he is in love","Verse 2","Taylor Swift"
29,"You can hear it in the silence (Silence), silence (Silence), you","Chorus","Taylor Swift"
30,"You can feel it on the way home (Way home), way home (Way home), you","Chorus","Taylor Swift"
31,"You can see it with the lights out (Lights out), lights out (Lights out)","Chorus","Taylor Swift"
32,"You are in love, true love","Chorus","Taylor Swift"
33,"And so it goes","Bridge","Taylor Swift"
34,"You two are dancing in a snow globe, 'round and 'round","Bridge","Taylor Swift"
35,"And he keeps a picture of you in his office downtown","Bridge","Taylor Swift"
36,"And you understand now","Bridge","Taylor Swift"
37,"Why they lost their minds and fought the wars","Bridge","Taylor Swift"
38,"And why I've spent my whole life trying to put it into words","Bridge","Taylor Swift"
39,"'Cause you can hear it in the silence","Breakdown","Taylor Swift"
40,"You can feel it on the way home","Breakdown","Taylor Swift"
41,"You can see it with the lights out","Breakdown","Taylor Swift"
42,"You are in love, true love","Breakdown","Taylor Swift"
43,"You are in love","Breakdown","Taylor Swift"
44,"You can hear it in the silence (Silence), silence (Silence), you","Chorus","Taylor Swift"
45,"You can feel it on the way home (Way home), way home (Way home), you","Chorus","Taylor Swift"
46,"You can see it with the lights out (Lights out), lights out (Lights out)","Chorus","Taylor Swift"
47,"You are in love, true love","Chorus","Taylor Swift"
48,"You are in love","Chorus","Taylor Swift"
49,"You can hear it in the silence (Silence), silence (Silence), you","Chorus","Taylor Swift"
50,"You can feel it on the way home (Way home), way home (Way home), you","Chorus","Taylor Swift"
51,"You can see it with the lights out (Lights out), lights out (Lights out)","Chorus","Taylor Swift"
52,"You are in love, true love","Chorus","Taylor Swift"
53,"You are in love","Chorus","Taylor Swift"
