"line","lyric","element","element_artist"
1,"One look, dark room, meant just for you","Verse 1","Taylor Swift"
2,"Time moved too fast, you play it back","Verse 1","Taylor Swift"
3,"Buttons on a coat, lighthearted joke","Verse 1","Taylor Swift"
4,"No proof, not much, but you saw enough","Verse 1","Taylor Swift"
5,"Small talk, he drives, coffee at midnight","Verse 1","Taylor Swift"
6,"The light reflects the chain on your neck","Verse 1","Taylor Swift"
7,"He says, ""Look up"" and your shoulders brush","Verse 1","Taylor Swift"
8,"No proof, one touch, but you felt enough","Verse 1","Taylor Swift"
9,"You can hear it in the silence (Silence), silence (Silence), you","Chorus","Taylor Swift"
10,"You can feel it on the way home (Way home), way home (Way home), you","Chorus","Taylor Swift"
11,"You can see it with the lights out (Lights out), lights out (Lights out)","Chorus","Taylor Swift"
12,"You are in love, true love, you are in love","Chorus","Taylor Swift"
13,"Morning, his place, burnt toast, Sunday","Verse 2","Taylor Swift"
14,"You keep his shirt, he keeps his word","Verse 2","Taylor Swift"
15,"And for once, you let go of your fears and your ghosts","Verse 2","Taylor Swift"
16,"One step, not much, but it said enough","Verse 2","Taylor Swift"
17,"You kiss on sidewalks, you fight and you talk","Verse 2","Taylor Swift"
18,"One night, he wakes, strange look on his face","Verse 2","Taylor Swift"
19,"Pauses, then says, ""You're my best friend""","Verse 2","Taylor Swift"
20,"And you knew what it was, he is in love","Verse 2","Taylor Swift"
21,"You can hear it in the silence (Silence), silence (Silence), you","Chorus","Taylor Swift"
22,"You can feel it on the way home (Way home), way home (Way home), you","Chorus","Taylor Swift"
23,"You can see it with the lights out (Lights out), lights out (Lights out)","Chorus","Taylor Swift"
24,"You are in love, true love, you are in love","Chorus","Taylor Swift"
25,"And so it goes","Bridge","Taylor Swift"
26,"You two are dancing in a snow globe 'round and 'round","Bridge","Taylor Swift"
27,"And he keeps a picture of you in his office downtown","Bridge","Taylor Swift"
28,"And you understand now","Bridge","Taylor Swift"
29,"Why they lost their minds and fought the wars","Bridge","Taylor Swift"
30,"And why I've spent my whole life trying to put it into words","Bridge","Taylor Swift"
31,"'Cause you can hear it in the silence","Interlude","Taylor Swift"
32,"You can feel it on the way home","Interlude","Taylor Swift"
33,"You can see it with the lights out","Interlude","Taylor Swift"
34,"You are in love, true love, you are in love","Interlude","Taylor Swift"
35,"You can hear it in the silence (Silence), silence (Silence), you","Chorus","Taylor Swift"
36,"You can feel it on the way home (Way home), way home (Way home), you","Chorus","Taylor Swift"
37,"You can see it with the lights out (Lights out), lights out (Lights out)","Chorus","Taylor Swift"
38,"You are in love, true love, you are in love (Ah)","Chorus","Taylor Swift"
39,"You can hear it in the silence (Silence), silence (Silence), you (Ah)","Chorus","Taylor Swift"
40,"You can feel it on the way home (Way home), way home (Way home), you (Ah)","Chorus","Taylor Swift"
41,"You can see it with the lights out (Lights out), lights out (Lights out)","Chorus","Taylor Swift"
42,"You are in love, true love, you are in love","Chorus","Taylor Swift"
