"line","lyric","element","element_artist"
1,"You're on the phone with your girlfriend, she's upset","Verse 1","Taylor Swift"
2,"She's going off about something that you said","Verse 1","Taylor Swift"
3,"'Cause she doesn't get your humor like I do","Verse 1","Taylor Swift"
4,"I'm in my room, it's a typical Tuesday night","Verse 1","Taylor Swift"
5,"I'm listening to the kind of music she doesn't like","Verse 1","Taylor Swift"
6,"And she'll never know your story like I do","Verse 1","Taylor Swift"
7,"'Cause she wears short skirts, I wear T-shirts","Pre-Chorus","Taylor Swift"
8,"She's Cheer Captain and I'm on the bleachers","Pre-Chorus","Taylor Swift"
9,"Dreaming 'bout the day when you wake up and find","Pre-Chorus","Taylor Swift"
10,"That what you're looking for has been here the whole time","Pre-Chorus","Taylor Swift"
11,"If you could see that I'm the one who understands you","Chorus","Taylor Swift"
12,"Been here all along, so why can't you see?","Chorus","Taylor Swift"
13,"You belong with me, you belong with me","Chorus","Taylor Swift"
14,"Walking the streets with you and your worn-out jeans","Verse 2","Taylor Swift"
15,"I can't help thinking this is how it ought to be","Verse 2","Taylor Swift"
16,"Laughing on a park bench, thinking to myself","Verse 2","Taylor Swift"
17,"Hey, isn't this easy?","Verse 2","Taylor Swift"
18,"And you've got a smile that could light up this whole town","Verse 2","Taylor Swift"
19,"I haven't seen it in a while since she brought you down","Verse 2","Taylor Swift"
20,"You say you're fine, I know you better than that","Verse 2","Taylor Swift"
21,"Hey, whatcha doing with a girl like that?","Verse 2","Taylor Swift"
22,"She wears high heels, I wear sneakers","Pre-Chorus","Taylor Swift"
23,"She's Cheer Captain and I'm on the bleachers","Pre-Chorus","Taylor Swift"
24,"Dreaming about the day when you wake up and find","Pre-Chorus","Taylor Swift"
25,"That what you're looking for has been here the whole time","Pre-Chorus","Taylor Swift"
26,"If you could see that I'm the one who understands you","Chorus","Taylor Swift"
27,"Been here all along, so why can't you see?","Chorus","Taylor Swift"
28,"You belong with me","Chorus","Taylor Swift"
29,"Standing by and waiting at your back door","Chorus","Taylor Swift"
30,"All this time how could you not know, baby?","Chorus","Taylor Swift"
31,"You belong with me, you belong with me","Chorus","Taylor Swift"
32,"Oh, I remember you driving to my house","Bridge","Taylor Swift"
33,"In the middle of the night","Bridge","Taylor Swift"
34,"I'm the one who makes you laugh","Bridge","Taylor Swift"
35,"When you know you're 'bout to cry","Bridge","Taylor Swift"
36,"I know your favorite songs","Bridge","Taylor Swift"
37,"And you tell me 'bout your dreams","Bridge","Taylor Swift"
38,"Think I know where you belong","Bridge","Taylor Swift"
39,"Think I know it's with me","Bridge","Taylor Swift"
40,"Can't you see that I'm the one who understands you","Chorus","Taylor Swift"
41,"Been here all along, so why can't you see?","Chorus","Taylor Swift"
42,"You belong with me","Chorus","Taylor Swift"
43,"Standing by and waiting at your back door","Chorus","Taylor Swift"
44,"All this time how could you not know, baby?","Chorus","Taylor Swift"
45,"You belong with me, you belong with me","Chorus","Taylor Swift"
46,"You belong with me","Outro","Taylor Swift"
47,"Have you ever thought just maybe","Outro","Taylor Swift"
48,"You belong with me?","Outro","Taylor Swift"
49,"You belong with me","Outro","Taylor Swift"
