"line","lyric","element","element_artist"
1,"Summer went away, still, the yearning stays","Verse 1","Taylor Swift"
2,"I play it cool with the best of them","Verse 1","Taylor Swift"
3,"I wait patiently, he's gonna notice me","Verse 1","Taylor Swift"
4,"It's okay, we're the best of friends","Verse 1","Taylor Swift"
5,"Anyway","Verse 1","Taylor Swift"
6,"I hear it in your voice, you're smoking with your boys","Verse 1","Taylor Swift"
7,"I touch my phone as if it's your face","Verse 1","Taylor Swift"
8,"I didn't choose this town, I dream of getting out","Verse 1","Taylor Swift"
9,"There's just one who could make me stay","Verse 1","Taylor Swift"
10,"All my days","Verse 1","Taylor Swift"
11,"From sprinkler splashes to fireplace ashes","Pre-Chorus","Taylor Swift"
12,"I waited ages to see you there","Pre-Chorus","Taylor Swift"
13,"I search the party of better bodies","Pre-Chorus","Taylor Swift"
14,"Just to learn that you never cared","Pre-Chorus","Taylor Swift"
15,"You're on your own, kid","Chorus","Taylor Swift"
16,"You always have been","Chorus","Taylor Swift"
17,"I see the great escape, so long, Daisy May","Verse 2","Taylor Swift"
18,"I picked the petals, he loves me not","Verse 2","Taylor Swift"
19,"Something different bloomed, writing in my room","Verse 2","Taylor Swift"
20,"I play my songs in the parking lot","Verse 2","Taylor Swift"
21,"I'll run away","Verse 2","Taylor Swift"
22,"From sprinkler splashes to fireplace ashes","Pre-Chorus","Taylor Swift"
23,"I called a taxi to take me there","Pre-Chorus","Taylor Swift"
24,"I search the party of better bodies","Pre-Chorus","Taylor Swift"
25,"Just to learn that my dreams aren't rare","Pre-Chorus","Taylor Swift"
26,"You're on your own, kid","Chorus","Taylor Swift"
27,"You always have been","Chorus","Taylor Swift"
28,"From sprinkler splashes to fireplace ashes","Bridge","Taylor Swift"
29,"I gave my blood, sweat, and tears for this","Bridge","Taylor Swift"
30,"I hosted parties and starved my body","Bridge","Taylor Swift"
31,"Like I'd be saved by a perfect kiss","Bridge","Taylor Swift"
32,"The jokes weren't funny, I took the money","Bridge","Taylor Swift"
33,"My friends from home don't know what to say","Bridge","Taylor Swift"
34,"I looked around in a blood-soaked gown","Bridge","Taylor Swift"
35,"And I saw something they can't take away","Bridge","Taylor Swift"
36,"'Cause there were pages turned with the bridges burned","Bridge","Taylor Swift"
37,"Everything you lose is a step you take","Bridge","Taylor Swift"
38,"So, make the friendship bracelets, take the moment and taste it","Bridge","Taylor Swift"
39,"You've got no reason to be afraid","Bridge","Taylor Swift"
40,"You're on your own, kid","Chorus","Taylor Swift"
41,"Yeah, you can face this","Chorus","Taylor Swift"
42,"You're on your own, kid","Chorus","Taylor Swift"
43,"You always have been","Chorus","Taylor Swift"
