"line","lyric","element","element_artist"
1,"Why would you wanna break a perfectly good heart?","Chorus","Taylor Swift"
2,"Why would you wanna take our love and tear it all apart, now?","Chorus","Taylor Swift"
3,"Why would you wanna make the very first scar?","Chorus","Taylor Swift"
4,"Why would you wanna break a perfectly good heart?","Chorus","Taylor Swift"
5,"Maybe I should've seen the signs","Verse","Taylor Swift"
6,"Should've read the writing on the wall","Verse","Taylor Swift"
7,"And realized by the distance in your eyes that I would be the one to fall","Verse","Taylor Swift"
8,"No matter what you say, I still can't believe","Verse","Taylor Swift"
9,"That you would walk away","Verse","Taylor Swift"
10,"It don't make sense to me, but","Verse","Taylor Swift"
11,"Why would you wanna break a perfectly good heart?","Chorus","Taylor Swift"
12,"Why would you wanna take our love and tear it all apart, now?","Chorus","Taylor Swift"
13,"Why would you wanna make the very first scar?","Chorus","Taylor Swift"
14,"Why would you wanna break a perfectly good heart?","Chorus","Taylor Swift"
15,"It's not unbroken anymore","Bridge","Taylor Swift"
16,"How do I get it back the way it was before?","Bridge","Taylor Swift"
17,"Why would you wanna break a perfectly good heart?","Chorus","Taylor Swift"
18,"Why would you wanna take our love and tear it all apart, now?","Chorus","Taylor Swift"
19,"Why would you wanna make the very first scar?","Chorus","Taylor Swift"
20,"Why would you wanna break? Why would you wanna break it?","Chorus","Taylor Swift"
21,"Why would you wanna break a perfectly good heart?","Chorus","Taylor Swift"
22,"Why would you wanna take our love and tear it all apart, now?","Chorus","Taylor Swift"
23,"Why would you wanna make the very first scar?","Chorus","Taylor Swift"
24,"Why would you wanna break a perfectly good heart?","Chorus","Taylor Swift"
