"line","lyric","element","element_artist"
1,"I blew things out of proportion, now you're blue","Verse 1","Taylor Swift"
2,"Put you in jail for something you didn't do","Verse 1","Taylor Swift"
3,"I pinned your hands behind your back, oh","Verse 1","Taylor Swift"
4,"Thought I had reason to attack, but no","Verse 1","Taylor Swift"
5,"Fighting with a true love is boxing with no gloves","Pre-Chorus 1","Taylor Swift"
6,"Chemistry 'til it blows up, 'til there's no us","Pre-Chorus 1","Taylor Swift"
7,"Why'd I have to break what I love so much?","Pre-Chorus 1","Taylor Swift"
8,"It's on your face, and I'm to blame, I need to say","Pre-Chorus 1","Taylor Swift"
9,"Hey, it's all me, in my head","Chorus","Taylor Swift"
10,"I'm the one who burned us down","Chorus","Taylor Swift"
11,"But it's not what I meant","Chorus","Taylor Swift"
12,"Sorry that I hurt you","Chorus","Taylor Swift"
13,"I don't wanna do, I don't wanna do this to you (Ooh)","Chorus","Taylor Swift"
14,"I don't wanna lose, I don't wanna lose this with you (Ooh)","Chorus","Taylor Swift"
15,"I need to say, hey, it's all me, just don't go","Chorus","Taylor Swift"
16,"Meet me in the afterglow","Chorus","Taylor Swift"
17,"It's so excruciating to see you low","Verse 2","Taylor Swift"
18,"Just wanna lift you up and not let you go","Verse 2","Taylor Swift"
19,"This ultraviolet morning light below","Verse 2","Taylor Swift"
20,"Tells me this love is worth the fight, oh","Verse 2","Taylor Swift"
21,"I lived like an island, punished you with silence","Pre-Chorus 2","Taylor Swift"
22,"Went off like sirens, just crying","Pre-Chorus 2","Taylor Swift"
23,"Why'd I have to break what I love so much?","Pre-Chorus 2","Taylor Swift"
24,"It's on your face, don't walk away, I need to say","Pre-Chorus 2","Taylor Swift"
25,"Hey, it's all me, in my head","Chorus","Taylor Swift"
26,"I'm the one who burned us down","Chorus","Taylor Swift"
27,"But it's not what I meant","Chorus","Taylor Swift"
28,"I'm sorry that I hurt you","Chorus","Taylor Swift"
29,"I don't wanna do, I don't wanna do this to you (Ooh)","Chorus","Taylor Swift"
30,"I don't wanna lose, I don't wanna lose this with you (Ooh)","Chorus","Taylor Swift"
31,"I need to say, hey, it's all me, just don't go","Chorus","Taylor Swift"
32,"Meet me in the afterglow","Chorus","Taylor Swift"
33,"Tell me that you're still mine","Bridge","Taylor Swift"
34,"Tell me that we'll be just fine","Bridge","Taylor Swift"
35,"Even when I lose my mind","Bridge","Taylor Swift"
36,"I need to say","Bridge","Taylor Swift"
37,"Tell me that it's not my fault","Bridge","Taylor Swift"
38,"Tell me that I'm all you want","Bridge","Taylor Swift"
39,"Even when I break your heart","Bridge","Taylor Swift"
40,"I need to say","Bridge","Taylor Swift"
41,"Hey, it's all me, in my head","Chorus","Taylor Swift"
42,"I'm the one who burned us down","Chorus","Taylor Swift"
43,"But it's not what I meant","Chorus","Taylor Swift"
44,"Sorry that I hurt you","Chorus","Taylor Swift"
45,"I don't wanna do, I don't wanna do this to you (Ooh)","Chorus","Taylor Swift"
46,"I don't wanna lose, I don't wanna lose this with you (Ooh)","Chorus","Taylor Swift"
47,"I need to say, hey, it's all me, just don't go","Chorus","Taylor Swift"
48,"Meet me in the afterglow","Chorus","Taylor Swift"
