"line","lyric","element","element_artist"
1,"When you think of all the late nights","Verse 1","Taylor Swift"
2,"Lame fights over the phone","Verse 1","Taylor Swift"
3,"Wake up in the mornin' with someone","Verse 1","Taylor Swift"
4,"But feelin' alone","Verse 1","Taylor Swift"
5,"A heart is drawn around your name","Refrain","Taylor Swift"
6,"In someone's handwriting, not mine","Refrain","Taylor Swift"
7,"We're sneakin' out into town","Refrain","Taylor Swift"
8,"Holdin' hands, just killin' time","Refrain","Taylor Swift"
9,"Your past and mine are parallel lines","Pre-Chorus","Taylor Swift"
10,"Stars all aligned and they intertwined","Pre-Chorus","Taylor Swift"
11,"And taught you","Pre-Chorus","Taylor Swift"
12,"The way you call me ""baby""","Pre-Chorus","Taylor Swift"
13,"Treat me like a lady","Pre-Chorus","Taylor Swift"
14,"All that I can say is","Pre-Chorus","Taylor Swift"
15,"All of the girls you loved before (Ooh)","Chorus","Taylor Swift"
16,"Made you the one I've fallen for","Chorus","Taylor Swift"
17,"Every dead-end street led you straight to me","Chorus","Taylor Swift"
18,"Now you're all I need, I'm so thankful for","Chorus","Taylor Swift"
19,"All of the girls you loved before","Chorus","Taylor Swift"
20,"But I love you more","Chorus","Taylor Swift"
21,"When I think of all the makeup","Verse 2","Taylor Swift"
22,"Fake love out on the town (Ooh)","Verse 2","Taylor Swift"
23,"Cryin' in the bathroom for some dude","Verse 2","Taylor Swift"
24,"Whose name I cannot remember now","Verse 2","Taylor Swift"
25,"Secret jokes all alone","Refrain","Taylor Swift"
26,"No one's home, sixteen and wild (Ooh)","Refrain","Taylor Swift"
27,"We're breakin' up, makin' up","Refrain","Taylor Swift"
28,"Leave without sayin' goodbye (Ooh)","Refrain","Taylor Swift"
29,"And just know that","Pre-Chorus","Taylor Swift"
30,"It's everything that made me","Pre-Chorus","Taylor Swift"
31,"Now I call you ""baby""","Pre-Chorus","Taylor Swift"
32,"That's why you're so amazing","Pre-Chorus","Taylor Swift"
33,"All of the girls you loved before (Ooh)","Chorus","Taylor Swift"
34,"Made you the one I've fallen for","Chorus","Taylor Swift"
35,"Every dead-end street led you straight to me","Chorus","Taylor Swift"
36,"Now you're all I need, I'm so thankful for","Chorus","Taylor Swift"
37,"All of the girls you loved before","Chorus","Taylor Swift"
38,"But I love you more","Chorus","Taylor Swift"
39,"Your mother brought you up loyal and kind","Bridge","Taylor Swift"
40,"Teenage love taught you there's good in goodbye","Bridge","Taylor Swift"
41,"Every woman that you knew brought you here","Bridge","Taylor Swift"
42,"I wanna teach you how forever feels like","Bridge","Taylor Swift"
43,"The girls you loved before (Ooh)","Chorus","Taylor Swift"
44,"Made you the one I've fallen for","Chorus","Taylor Swift"
45,"Every dead-end street (Dead-end street) led you straight to me (Straight to me)","Chorus","Taylor Swift"
46,"Now you're all I need (All I need), I'm so thankful for","Chorus","Taylor Swift"
47,"All of the girls you loved before","Chorus","Taylor Swift"
48,"But I love you more","Chorus","Taylor Swift"
49,"(I love you more)","Outro","Taylor Swift"
50,"(I love you more)","Outro","Taylor Swift"
