"line","lyric","element","element_artist"
1,"Well, she was an American girl","Verse 1","Taylor Swift"
2,"Raised on promises","Verse 1","Taylor Swift"
3,"She couldn't help thinking that there was a little more to life","Verse 1","Taylor Swift"
4,"Somewhere else","Verse 1","Taylor Swift"
5,"After all it was a great big world","Verse 1","Taylor Swift"
6,"With lots of places to run to","Verse 1","Taylor Swift"
7,"And if she had to die trying","Verse 1","Taylor Swift"
8,"She had one little promise she was going to keep","Verse 1","Taylor Swift"
9,"Oh yeah, all right","Chorus","Taylor Swift"
10,"Take it easy baby","Chorus","Taylor Swift"
11,"Make it last all night","Chorus","Taylor Swift"
12,"She was an American girl","Chorus","Taylor Swift"
13,"Well, it was kind of cold that night","Verse 2","Taylor Swift"
14,"She stood alone on her balcony","Verse 2","Taylor Swift"
15,"She could see the cars roll by","Verse 2","Taylor Swift"
16,"Out on 441","Verse 2","Taylor Swift"
17,"Like waves crashing on the beach","Verse 2","Taylor Swift"
18,"And for one desperate moment there","Verse 2","Taylor Swift"
19,"He crept back in her memory","Verse 2","Taylor Swift"
20,"God, it's so painful","Verse 2","Taylor Swift"
21,"It's something that's so close but still so far out of reach","Verse 2","Taylor Swift"
22,"Oh yeah, all right","Chorus","Taylor Swift"
23,"Take it easy baby","Chorus","Taylor Swift"
24,"Make it last all night","Chorus","Taylor Swift"
25,"She was an American girl","Chorus","Taylor Swift"
26,"Oh yeah, all right","Chorus","Taylor Swift"
27,"Take it easy baby","Chorus","Taylor Swift"
28,"Make it last all night","Chorus","Taylor Swift"
29,"Oh yeah, all right","Chorus","Taylor Swift"
30,"Take it easy baby","Chorus","Taylor Swift"
31,"Oh, take it easy now","Chorus","Taylor Swift"
32,"Oh yeah, all right","Outro","Taylor Swift"
33,"She was an American girl","Outro","Taylor Swift"
