"line","lyric","element","element_artist"
1,"I have this thing where I get older, but just never wiser","Verse 1","Taylor Swift"
2,"Midnights become my afternoons","Verse 1","Taylor Swift"
3,"When my depression works the graveyard shift, all of the people","Verse 1","Taylor Swift"
4,"I've ghosted stand there in the room","Verse 1","Taylor Swift"
5,"I should not be left to my own devices","Pre-Chorus","Taylor Swift"
6,"They come with prices and vices","Pre-Chorus","Taylor Swift"
7,"I end up in crisis","Pre-Chorus","Taylor Swift"
8,"(Tale as old as time)","Pre-Chorus","Taylor Swift"
9,"I wake up screaming from dreaming","Pre-Chorus","Taylor Swift"
10,"One day, I'll watch as you're leaving","Pre-Chorus","Taylor Swift"
11,"'Cause you got tired of my scheming","Pre-Chorus","Taylor Swift"
12,"(For the last time)","Pre-Chorus","Taylor Swift"
13,"It's me, hi","Chorus","Taylor Swift"
14,"I'm the problem, it's me","Chorus","Taylor Swift"
15,"At teatime, everybody agrees","Chorus","Taylor Swift"
16,"I'll stare directly at the sun, but never in the mirror","Chorus","Taylor Swift"
17,"It must be exhausting always rooting for the anti-hero","Chorus","Taylor Swift"
18,"Sometimes, I feel like everybody is a sexy baby","Verse 2","Taylor Swift"
19,"And I'm a monster on the hill","Verse 2","Taylor Swift"
20,"Too big to hang out, slowly lurching toward your favorite city","Verse 2","Taylor Swift"
21,"Pierced through the heart, but never killed","Verse 2","Taylor Swift"
22,"Did you hear my covert narcissism I disguise as altruism","Pre-Chorus","Taylor Swift"
23,"Like some kind of congressman?","Pre-Chorus","Taylor Swift"
24,"(A tale as old as time)","Pre-Chorus","Taylor Swift"
25,"I wake up screaming from dreaming","Pre-Chorus","Taylor Swift"
26,"One day, I'll watch as you're leaving","Pre-Chorus","Taylor Swift"
27,"And life will lose all its meaning","Pre-Chorus","Taylor Swift"
28,"(For the last time)","Pre-Chorus","Taylor Swift"
29,"It's me, hi","Chorus","Taylor Swift"
30,"I'm the problem, it's me (I'm the problem, it's me)","Chorus","Taylor Swift"
31,"At teatime, everybody agrees","Chorus","Taylor Swift"
32,"I'll stare directly at the sun, but never in the mirror","Chorus","Taylor Swift"
33,"It must be exhausting always rooting for the anti-hero","Chorus","Taylor Swift"
34,"I have this dream my daughter-in-law kills me for the money","Bridge","Taylor Swift"
35,"She thinks I left them in the will","Bridge","Taylor Swift"
36,"The family gathers around and reads it","Bridge","Taylor Swift"
37,"And then someone screams out","Bridge","Taylor Swift"
38,"""She's laughing up at us from hell""","Bridge","Taylor Swift"
39,"It's me, hi","Breakdown","Taylor Swift"
40,"I'm the problem, it's me","Breakdown","Taylor Swift"
41,"It's me, hi","Breakdown","Taylor Swift"
42,"I'm the problem, it's me","Breakdown","Taylor Swift"
43,"It's me, hi","Breakdown","Taylor Swift"
44,"Everybody agrees, everybody agrees","Breakdown","Taylor Swift"
45,"It's me, hi (Hi)","Chorus","Taylor Swift"
46,"I'm the problem, it's me (I'm the problem, it's me)","Chorus","Taylor Swift"
47,"At teatime (Teatime), everybody agrees (Everybody agrees)","Chorus","Taylor Swift"
48,"I'll stare directly at the sun, but never in the mirror","Chorus","Taylor Swift"
49,"It must be exhausting always rooting for the anti-hero","Chorus","Taylor Swift"
