"line","lyric","element","element_artist"
1,"Salt air, and the rust on your door","Verse 1","Taylor Swift"
2,"I never needed anything more","Verse 1","Taylor Swift"
3,"Whispers of ""Are you sure?""","Verse 1","Taylor Swift"
4,"""Never have I ever before""","Verse 1","Taylor Swift"
5,"But I can see us lost in the memory","Chorus","Taylor Swift"
6,"August slipped away into a moment in time","Chorus","Taylor Swift"
7,"'Cause it was never mine","Chorus","Taylor Swift"
8,"And I can see us twisted in bedsheets","Chorus","Taylor Swift"
9,"August sipped away like a bottle of wine","Chorus","Taylor Swift"
10,"'Cause you were never mine","Chorus","Taylor Swift"
11,"Your back beneath the sun","Verse 2","Taylor Swift"
12,"Wishin' I could write my name on it","Verse 2","Taylor Swift"
13,"Will you call when you're back at school?","Verse 2","Taylor Swift"
14,"I remember thinkin' I had you","Verse 2","Taylor Swift"
15,"But I can see us lost in the memory","Chorus","Taylor Swift"
16,"August slipped away into a moment in time","Chorus","Taylor Swift"
17,"'Cause it was never mine","Chorus","Taylor Swift"
18,"And I can see us twisted in bedsheets","Chorus","Taylor Swift"
19,"August sipped away like a bottle of wine","Chorus","Taylor Swift"
20,"'Cause you were never mine","Chorus","Taylor Swift"
21,"Back when we were still changin' for the better","Bridge","Taylor Swift"
22,"Wanting was enough","Bridge","Taylor Swift"
23,"For me, it was enough","Bridge","Taylor Swift"
24,"To live for the hope of it all","Bridge","Taylor Swift"
25,"Cancel plans just in case you'd call","Bridge","Taylor Swift"
26,"And say, ""Meet me behind the mall""","Bridge","Taylor Swift"
27,"So much for summer love and saying ""us""","Bridge","Taylor Swift"
28,"'Cause you weren't mine to lose","Bridge","Taylor Swift"
29,"You weren't mine to lose, no","Bridge","Taylor Swift"
30,"But I can see us lost in the memory","Chorus","Taylor Swift"
31,"August slipped away into a moment in time","Chorus","Taylor Swift"
32,"'Cause it was never mine","Chorus","Taylor Swift"
33,"And I can see us twisted in bedsheets","Chorus","Taylor Swift"
34,"August sipped away like a bottle of wine","Chorus","Taylor Swift"
35,"'Cause you were never mine","Chorus","Taylor Swift"
36,"'Cause you were never mine","Outro","Taylor Swift"
37,"Never mine","Outro","Taylor Swift"
38,"But do you remember?","Outro","Taylor Swift"
39,"Remember when I pulled up and said ""Get in the car""","Outro","Taylor Swift"
40,"And then canceled my plans just in case you'd call?","Outro","Taylor Swift"
41,"Back when I was livin' for the hope of it all, for the hope of it all","Outro","Taylor Swift"
42,"""Meet me behind the mall""","Outro","Taylor Swift"
43,"(Remember when I pulled up and said ""Get in the car"")","Outro","Taylor Swift"
44,"(And then canceled my plans just in case you'd call?)","Outro","Taylor Swift"
45,"(Back when I was livin' for the hope of it all, for the hope of it all)","Outro","Taylor Swift"
46,"(""Meet me behind the mall"")","Outro","Taylor Swift"
47,"Remember when I pulled up and said ""Get in the car""","Outro","Taylor Swift"
48,"And then canceled my plans just in case you'd call?","Outro","Taylor Swift"
49,"Back when I was livin' for the hope of it all (For the hope of it all)","Outro","Taylor Swift"
50,"For the hope of it all, for the hope of it all","Outro","Taylor Swift"
51,"(For the hope of it all, for the hope of it all)","Outro","Taylor Swift"
