"line","lyric","element","element_artist"
1,"What about your promises, promises?","Intro","Taylor Swift"
2,"What about your promises, promises, promises? (No)","Intro","Taylor Swift"
3,"What a shame","Verse 1","Taylor Swift"
4,"Didn't wanna be the one that got away, yeah","Verse 1","Taylor Swift"
5,"Big mistake, you broke the sweetest promise","Verse 1","Taylor Swift"
6,"That you never should have made","Verse 1","Taylor Swift"
7,"I'm here on the kitchen floor","Pre-Chorus","Taylor Swift"
8,"You call, but I won't hear it","Pre-Chorus","Taylor Swift"
9,"You said, ""No one else""","Pre-Chorus","Taylor Swift"
10,"How could you do this, babe? (What about your promises, promises?)","Pre-Chorus","Taylor Swift"
11,"You really blew this, babe","Chorus","Taylor Swift"
12,"We ain't getting through this one, babe","Chorus","Taylor Swift"
13,"This is the last time I'll ever call you, babe (This is the last time, this is the last time)","Chorus","Taylor Swift"
14,"This is the last time I'll ever call you, babe","Chorus","Taylor Swift"
15,"(What about your promises, promises, promises?)","Chorus","Taylor Swift"
16,"What a waste","Verse 2","Taylor Swift"
17,"Takin' down the pictures and the plans we made, yeah","Verse 2","Taylor Swift"
18,"And it's strange how your face doesn't look so innocent","Verse 2","Taylor Swift"
19,"Your secret has its consequence and that's on you, babe","Verse 2","Taylor Swift"
20,"I break down every time you call","Pre-Chorus","Taylor Swift"
21,"We're a wreck, you're the wrecking ball","Pre-Chorus","Taylor Swift"
22,"We said, ""No one else""","Pre-Chorus","Taylor Swift"
23,"How could you do this, babe? (What about your promises, promises?)","Pre-Chorus","Taylor Swift"
24,"You really blew this, babe","Chorus","Taylor Swift"
25,"We ain't getting through this one, babe","Chorus","Taylor Swift"
26,"This is the last time I'll ever call you, babe (This is the last time, this is the last time)","Chorus","Taylor Swift"
27,"This is the last time I'll ever call you","Chorus","Taylor Swift"
28,"Since you admitted it, I keep picturing","Bridge","Taylor Swift"
29,"Her lips on your neck, I can't unsee it","Bridge","Taylor Swift"
30,"I hate that because of you, I can't love you, babe","Bridge","Taylor Swift"
31,"What a shame, didn't want to be the one that got away","Bridge","Taylor Swift"
32,"How could you do this, babe?","Bridge","Taylor Swift"
33,"You really blew this, babe","Chorus","Taylor Swift"
34,"We ain't getting through this one, babe","Chorus","Taylor Swift"
35,"This is the last time I'll ever call you, babe (This is the last time, this is the last time)","Chorus","Taylor Swift"
36,"This is the last time I'll ever call you, babe","Chorus","Taylor Swift"
37,"I'm here on the kitchen floor, you call but I won't hear it","Outro","Taylor Swift"
38,"You said, ""No one else""","Outro","Taylor Swift"
39,"We ain't getting through this one, babe","Outro","Taylor Swift"
40,"I break down every time you call","Outro","Taylor Swift"
41,"We're a wreck, you're the wrecking ball","Outro","Taylor Swift"
42,"You said, ""No one else""","Outro","Taylor Swift"
43,"This is the last time I'll ever call you, babe","Outro","Taylor Swift"
