"line","lyric","element","element_artist"
1,"'Cause, baby, now we got bad blood","Chorus","Taylor Swift"
2,"You know it used to be mad love","Chorus","Taylor Swift"
3,"So take a look what you've done","Chorus","Taylor Swift"
4,"'Cause, baby, now we got bad blood, hey","Chorus","Taylor Swift"
5,"Now we got problems","Chorus","Taylor Swift"
6,"And I don't think we can solve them","Chorus","Taylor Swift"
7,"You made a really deep cut","Chorus","Taylor Swift"
8,"And, baby, now we got bad blood, hey","Chorus","Taylor Swift"
9,"Did you have to do this?","Verse 1","Taylor Swift"
10,"I was thinking that you could be trusted","Verse 1","Taylor Swift"
11,"Did you have to ruin","Verse 1","Taylor Swift"
12,"What was shiny? Now it's all rusted","Verse 1","Taylor Swift"
13,"Did you have to hit me","Verse 1","Taylor Swift"
14,"Where I'm weak? Baby, I couldn't breathe","Verse 1","Taylor Swift"
15,"And rub it in so deep","Verse 1","Taylor Swift"
16,"Salt in the wound like you're laughin' right at me","Verse 1","Taylor Swift"
17,"Oh, it's so sad to","Pre-Chorus","Taylor Swift"
18,"Think about the good times","Pre-Chorus","Taylor Swift"
19,"You and I","Pre-Chorus","Taylor Swift"
20,"'Cause, baby, now we got bad blood","Chorus","Taylor Swift"
21,"You know it used to be mad love","Chorus","Taylor Swift"
22,"So take a look what you've done","Chorus","Taylor Swift"
23,"'Cause, baby, now we got bad blood, hey","Chorus","Taylor Swift"
24,"Now we got problems","Chorus","Taylor Swift"
25,"And I don't think we can solve them","Chorus","Taylor Swift"
26,"You made a really deep cut","Chorus","Taylor Swift"
27,"And, baby, now we got bad blood, hey","Chorus","Taylor Swift"
28,"Did you think we'd be fine?","Verse 2","Taylor Swift"
29,"Still got scars on my back from your knife","Verse 2","Taylor Swift"
30,"So don't think it's in the past","Verse 2","Taylor Swift"
31,"These kinda wounds, they last and they last","Verse 2","Taylor Swift"
32,"Now, did you think it all through?","Verse 2","Taylor Swift"
33,"All these things will catch up to you","Verse 2","Taylor Swift"
34,"And time can heal, but this won't","Verse 2","Taylor Swift"
35,"So if you're comin' my way, just don't","Verse 2","Taylor Swift"
36,"Oh, it's so sad to","Pre-Chorus","Taylor Swift"
37,"Think about the good times","Pre-Chorus","Taylor Swift"
38,"You and I","Pre-Chorus","Taylor Swift"
39,"'Cause, baby, now we got bad blood","Chorus","Taylor Swift"
40,"You know it used to be mad love","Chorus","Taylor Swift"
41,"So take a look what you've done","Chorus","Taylor Swift"
42,"'Cause, baby, now we've got bad blood, hey","Chorus","Taylor Swift"
43,"Now we got problems","Chorus","Taylor Swift"
44,"And I don't think we can solve them","Chorus","Taylor Swift"
45,"You made a really deep cut","Chorus","Taylor Swift"
46,"And, baby, now we've got bad blood, hey","Chorus","Taylor Swift"
47,"Band-aids don't fix bullet holes","Bridge","Taylor Swift"
48,"You say sorry just for show","Bridge","Taylor Swift"
49,"If you live like that, you live with ghosts (Ghosts)","Bridge","Taylor Swift"
50,"Band-aids don't fix bullet holes (Hey)","Bridge","Taylor Swift"
51,"You say sorry just for show (Hey)","Bridge","Taylor Swift"
52,"If you live like that, you live with ghosts (Hey), mmm","Bridge","Taylor Swift"
53,"If you love like that, blood runs cold","Bridge","Taylor Swift"
54,"'Cause, baby, now we got bad blood","Chorus","Taylor Swift"
55,"You know it used to be mad love (Mad love)","Chorus","Taylor Swift"
56,"So take a look what you've done","Chorus","Taylor Swift"
57,"'Cause, baby, now we got bad blood, hey (Bad blood)","Chorus","Taylor Swift"
58,"Now we got problems","Chorus","Taylor Swift"
59,"And I don't think we can solve them (Think we can solve them)","Chorus","Taylor Swift"
60,"You made a really deep cut","Chorus","Taylor Swift"
61,"And, baby, now we got bad blood, hey ('Cause now we got bad blood)","Chorus","Taylor Swift"
62,"'Cause, baby, now we got bad blood","Chorus","Taylor Swift"
63,"You know it used to be mad love","Chorus","Taylor Swift"
64,"So take a look what you've done (Look what you've done)","Chorus","Taylor Swift"
65,"'Cause, baby, now we got bad blood, hey (Ooh, woah, no)","Chorus","Taylor Swift"
66,"Now we got problems","Chorus","Taylor Swift"
67,"And I don't think we can solve them","Chorus","Taylor Swift"
68,"You made a really deep cut","Chorus","Taylor Swift"
69,"And, baby, now we got bad blood, hey","Chorus","Taylor Swift"
