"line","lyric","element","element_artist"
1,"Betty, I won't make assumptions","Verse 1","Taylor Swift"
2,"About why you switched your homeroom, but","Verse 1","Taylor Swift"
3,"I think it's 'cause of me","Verse 1","Taylor Swift"
4,"Betty, one time I was riding on my skateboard","Verse 1","Taylor Swift"
5,"When I passed your house","Verse 1","Taylor Swift"
6,"It's like I couldn't breathe","Verse 1","Taylor Swift"
7,"You heard the rumors from Inez","Pre-Chorus","Taylor Swift"
8,"You can't believe a word she says","Pre-Chorus","Taylor Swift"
9,"Most times, but this time it was true","Pre-Chorus","Taylor Swift"
10,"The worst thing that I ever did","Pre-Chorus","Taylor Swift"
11,"Was what I did to you","Pre-Chorus","Taylor Swift"
12,"But if I just showed up at your party","Chorus","Taylor Swift"
13,"Would you have me? Would you want me?","Chorus","Taylor Swift"
14,"Would you tell me to go fuck myself","Chorus","Taylor Swift"
15,"Or lead me to the garden?","Chorus","Taylor Swift"
16,"In the garden, would you trust me","Chorus","Taylor Swift"
17,"If I told you it was just a summer thing?","Chorus","Taylor Swift"
18,"I'm only seventeen, I don't know anything","Chorus","Taylor Swift"
19,"But I know I miss you","Chorus","Taylor Swift"
20,"Betty, I know where it all went wrong","Verse 2","Taylor Swift"
21,"Your favorite song was playing","Verse 2","Taylor Swift"
22,"From the far side of the gym","Verse 2","Taylor Swift"
23,"I was nowhere to be found","Verse 2","Taylor Swift"
24,"I hate the crowds, you know that","Verse 2","Taylor Swift"
25,"Plus, I saw you dance with him","Verse 2","Taylor Swift"
26,"You heard the rumors from Inez","Pre-Chorus","Taylor Swift"
27,"You can't believe a word she says","Pre-Chorus","Taylor Swift"
28,"Most times, but this time it was true","Pre-Chorus","Taylor Swift"
29,"The worst thing that I ever did","Pre-Chorus","Taylor Swift"
30,"Was what I did to you","Pre-Chorus","Taylor Swift"
31,"But if I just showed up at your party","Chorus","Taylor Swift"
32,"Would you have me? Would you want me?","Chorus","Taylor Swift"
33,"Would you tell me to go fuck myself","Chorus","Taylor Swift"
34,"Or lead me to the garden?","Chorus","Taylor Swift"
35,"In the garden, would you trust me","Chorus","Taylor Swift"
36,"If I told you it was just a summer thing?","Chorus","Taylor Swift"
37,"I'm only seventeen, I don't know anything","Chorus","Taylor Swift"
38,"But I know I miss you","Chorus","Taylor Swift"
39,"I was walking home on broken cobblestones","Bridge","Taylor Swift"
40,"Just thinking of you when she pulled up like","Bridge","Taylor Swift"
41,"A figment of my worst intentions","Bridge","Taylor Swift"
42,"She said ""James, get in, let's drive""","Bridge","Taylor Swift"
43,"Those days turned into nights","Bridge","Taylor Swift"
44,"Slept next to her, but","Bridge","Taylor Swift"
45,"I dreamt of you all summer long","Bridge","Taylor Swift"
46,"Betty, I'm here on your doorstep","Verse 3","Taylor Swift"
47,"And I planned it out for weeks now","Verse 3","Taylor Swift"
48,"But it's finally sinkin' in","Verse 3","Taylor Swift"
49,"Betty, right now is the last time","Verse 3","Taylor Swift"
50,"I can dream about what happens when","Verse 3","Taylor Swift"
51,"You see my face again","Verse 3","Taylor Swift"
52,"The only thing I wanna do","Pre-Chorus","Taylor Swift"
53,"Is make it up to you","Pre-Chorus","Taylor Swift"
54,"So I showed up at your party","Pre-Chorus","Taylor Swift"
55,"Yeah, I showed up at your party","Pre-Chorus","Taylor Swift"
56,"Yeah, I showed up at your party","Chorus","Taylor Swift"
57,"Will you have me? Will you love me?","Chorus","Taylor Swift"
58,"Will you kiss me on the porch","Chorus","Taylor Swift"
59,"In front of all your stupid friends?","Chorus","Taylor Swift"
60,"If you kiss me, will it be just like I dreamed it?","Chorus","Taylor Swift"
61,"Will it patch your broken wings?","Chorus","Taylor Swift"
62,"I'm only seventeen, I don't know anything","Chorus","Taylor Swift"
63,"But I know I miss you","Chorus","Taylor Swift"
64,"Standing in your cardigan","Outro","Taylor Swift"
65,"Kissin' in my car again","Outro","Taylor Swift"
66,"Stopped at a streetlight","Outro","Taylor Swift"
67,"You know I miss you","Outro","Taylor Swift"
