"line","lyric","element","element_artist"
1,"No words appear before me in the aftermath","Verse 1","Taylor Swift"
2,"Salt streams out my eyes and into my ears","Verse 1","Taylor Swift"
3,"Every single thing I touch becomes sick with sadness","Verse 1","Taylor Swift"
4,"'Cause it's all over now, all out to sea","Verse 1","Taylor Swift"
5,"Goodbye, goodbye, goodbye","Chorus","Taylor Swift"
6,"You were bigger than the whole sky","Chorus","Taylor Swift"
7,"You were more than just a short time","Chorus","Taylor Swift"
8,"And I've got a lot to pine about","Chorus","Taylor Swift"
9,"I've got a lot to live without","Chorus","Taylor Swift"
10,"I'm never gonna meet","Chorus","Taylor Swift"
11,"What could've been, would've been","Chorus","Taylor Swift"
12,"What should've been you","Chorus","Taylor Swift"
13,"What could've been, would've been you","Chorus","Taylor Swift"
14,"Did some bird flap its wings over in Asia?","Verse 2","Taylor Swift"
15,"Did some force take you because I didn't pray?","Verse 2","Taylor Swift"
16,"Every single thing to come has turned into ashes","Verse 2","Taylor Swift"
17,"'Cause it's all over, it's not meant to be","Verse 2","Taylor Swift"
18,"So I'll say words I don't believe","Verse 2","Taylor Swift"
19,"Goodbye, goodbye, goodbye","Chorus","Taylor Swift"
20,"You were bigger than the whole sky","Chorus","Taylor Swift"
21,"You were more than just a short time","Chorus","Taylor Swift"
22,"And I've got a lot to pine about","Chorus","Taylor Swift"
23,"I've got a lot to live without","Chorus","Taylor Swift"
24,"I'm never gonna meet","Chorus","Taylor Swift"
25,"What could've been, would've been","Chorus","Taylor Swift"
26,"What should've been you","Chorus","Taylor Swift"
27,"What could've been, would've been you","Bridge","Taylor Swift"
28,"What could've been, would've been","Bridge","Taylor Swift"
29,"What should've been you","Bridge","Taylor Swift"
30,"What could've been, would've been you","Bridge","Taylor Swift"
31,"(What could've been, would've been you)","Bridge","Taylor Swift"
32,"Goodbye, goodbye, goodbye","Chorus","Taylor Swift"
33,"You were bigger than the whole sky","Chorus","Taylor Swift"
34,"You were more than just a short time","Chorus","Taylor Swift"
35,"And I've got a lot to pine about","Chorus","Taylor Swift"
36,"I've got a lot to live without","Chorus","Taylor Swift"
37,"I'm never gonna meet","Chorus","Taylor Swift"
38,"What could've been, would've been","Chorus","Taylor Swift"
39,"What should've been you","Chorus","Taylor Swift"
