"line","lyric","element","element_artist"
1,"The way I woke up was old","Verse 1","Taylor Swift"
2,"Was all fucking choke","Verse 1","Taylor Swift"
3,"And it ain't easier after a week","Verse 1","Taylor Swift"
4,"Were on a long byway standing still","Verse 1","Taylor Swift"
5,"Well, if you cannot tell I'll tell you right away","Chorus","Taylor Swift"
6,"If I'll stay a spell, or if I cannot stay","Chorus","Taylor Swift"
7,"I am less at ease, not the best at these","Chorus","Taylor Swift"
8,"See the forest trees, call what's these what's these","Chorus","Taylor Swift"
9,"What's these (What's these)","Post-Chorus","Taylor Swift"
10,"Hey Madeline, thanks","Verse 2","Taylor Swift"
11,"For to case out the fog, for Jennifer","Verse 2","Taylor Swift"
12,"Seems she needed you badly","Verse 2","Taylor Swift"
13,"So I beg on knees","Chorus","Taylor Swift"
14,"Can we share IDs?","Chorus","Taylor Swift"
15,"Will you always need?","Chorus","Taylor Swift"
16,"We have common needs","Chorus","Taylor Swift"
17,"We can sure deplete","Chorus","Taylor Swift"
18,"We can be replete","Chorus","Taylor Swift"
19,"Address table needs","Chorus","Taylor Swift"
20,"It is swift your speed","Chorus","Taylor Swift"
21,"The way I wake up now, is a brand new way","Verse 3","Taylor Swift"
22,"And no it ain't that way, like it was before","Verse 3","Taylor Swift"
23,"So I cannot leave","Chorus","Taylor Swift"
24,"Yes I must here stay","Chorus","Taylor Swift"
25,"Cause I know what's good","Chorus","Taylor Swift"
26,"And I'll die that way","Chorus","Taylor Swift"
27,"No I cannot seem","Chorus","Taylor Swift"
28,"To get a moment's peace","Chorus","Taylor Swift"
29,"If there's a man like me","Chorus","Taylor Swift"
30,"His birch ain't my tree","Chorus","Taylor Swift"
31,"The way I woke up now","Outro","Taylor Swift"
32,"Is a brand new way","Outro","Taylor Swift"
33,"It ain't what it was before","Outro","Taylor Swift"
