"line","lyric","element","element_artist"
1,"I wish I was strong enough to lift not one but both of us","Chorus","Taylor Swift"
2,"Some day I will be strong enough to lift not one but both of us","Chorus","Taylor Swift"
3,"Uhh","Verse 1","Taylor Swift"
4,"Ever thought about losing it","Verse 1","Taylor Swift"
5,"When your money's all gone and you lose your whip","Verse 1","Taylor Swift"
6,"You might lose your grip when the landlord tell you that you due for rent","Verse 1","Taylor Swift"
7,"And the grass so green on the other side","Verse 1","Taylor Swift"
8,"Make a nigga wanna run straight through the fence","Verse 1","Taylor Swift"
9,"Open up the fridge 'bout 20 times","Verse 1","Taylor Swift"
10,"But you still can't find no food in it","Verse 1","Taylor Swift"
11,"That's foolishness","Verse 1","Taylor Swift"
12,"And sometimes I wonder, why we care so much about the way we look","Verse 1","Taylor Swift"
13,"And the way we talk and the way we act and the clothes we bought","Verse 1","Taylor Swift"
14,"How much that cost?","Verse 1","Taylor Swift"
15,"Does it even really matter?","Verse 1","Taylor Swift"
16,"'Cause if life is a uphill battle","Verse 1","Taylor Swift"
17,"But y'all tryna climb with the same ol' ladder","Verse 1","Taylor Swift"
18,"In the same boat, with the same ol' paddle","Verse 1","Taylor Swift"
19,"Why so shallow? I'm just askin'","Verse 1","Taylor Swift"
20,"What's the pattern to the madness?","Verse 1","Taylor Swift"
21,"Everybody ain't a number one draft pick","Verse 1","Taylor Swift"
22,"Most of us ain't Hollywood actors","Verse 1","Taylor Swift"
23,"But if it's all for one, and one for all","Verse 1","Taylor Swift"
24,"Then maybe one day, we all could ball","Verse 1","Taylor Swift"
25,"Do it one time for the underdogs","Verse 1","Taylor Swift"
26,"Sincerely yours, from one of y'all","Verse 1","Taylor Swift"
27,"I wish I was strong enough to lift not one but both of us","Chorus","Taylor Swift"
28,"Some day I will be strong enough to lift not one but both of us","Chorus","Taylor Swift"
29,"I could feel your pain, I could feel your struggle","Verse 2","Taylor Swift"
30,"You just wanna live, but everything's so low","Verse 2","Taylor Swift"
31,"That you could drown in a puddle","Verse 2","Taylor Swift"
32,"That's why I gotta hold us up, yeah, hold us up","Verse 2","Taylor Swift"
33,"For all the times no one's ever spoke for us","Verse 2","Taylor Swift"
34,"To every single time that they play this song","Verse 2","Taylor Swift"
35,"You can say that that's what Bobby Ray wrote for us","Verse 2","Taylor Swift"
36,"When the tides get too high","Verse 2","Taylor Swift"
37,"And the sea up underneath gets so deep","Verse 2","Taylor Swift"
38,"And you feel like you're just another person","Verse 2","Taylor Swift"
39,"Getting lost in the crowd, way up high in the nosebleeds","Verse 2","Taylor Swift"
40,"Uh, because we've both been there, both of us","Verse 2","Taylor Swift"
41,"But we still stand tall with our shoulders up","Verse 2","Taylor Swift"
42,"And even though we always against the odds","Verse 2","Taylor Swift"
43,"These are the things that've molded us","Verse 2","Taylor Swift"
44,"And if life hadn't chosen us","Verse 2","Taylor Swift"
45,"Sometimes I wonder where I would've wound up","Verse 2","Taylor Swift"
46,"'Cause if it was up to me, I'd make a new blueprint","Verse 2","Taylor Swift"
47,"Then build it from the ground up, hey","Verse 2","Taylor Swift"
48,"But if it's all for one, and one for all","Verse 2","Taylor Swift"
49,"Then maybe one day, we all could ball","Verse 2","Taylor Swift"
50,"Do it one time for the underdogs","Verse 2","Taylor Swift"
51,"From Bobby Ray, to all of y'all","Verse 2","Taylor Swift"
52,"I wish I was strong enough to lift not one but both of us","Chorus","Taylor Swift"
53,"Some day I will be strong enough to lift not one but both of us","Chorus","Taylor Swift"
