"line","lyric","element","element_artist"
1,"I see your face in my mind as I drive away","Verse 1","Taylor Swift"
2,"'Cause none of us thought it was gonna end that way","Verse 1","Taylor Swift"
3,"People are people and sometimes we change our minds","Verse 1","Taylor Swift"
4,"But it's killing me to see you go after all this time","Verse 1","Taylor Swift"
5,"Mm-mm, mm-mm-mm-mm","Break","Taylor Swift"
6,"Mm-mm, mm-mm-mm-mm","Break","Taylor Swift"
7,"The music starts playing like the end of a sad movie","Verse 2","Taylor Swift"
8,"It's the kind of ending you don't really wanna see","Verse 2","Taylor Swift"
9,"'Cause it's tragedy and it'll only bring you down","Verse 2","Taylor Swift"
10,"Now I don't know what to be without you around","Verse 2","Taylor Swift"
11,"And we know it's never simple, never easy","Pre-Chorus","Taylor Swift"
12,"Never a clean break, no one here to save me","Pre-Chorus","Taylor Swift"
13,"You're the only thing I know like the back of my hand","Pre-Chorus","Taylor Swift"
14,"And I can't breathe without you, but I have to","Chorus","Taylor Swift"
15,"Breathe without you, but I have to","Chorus","Taylor Swift"
16,"Never wanted this, never wanna see you hurt","Verse 3","Taylor Swift"
17,"Every little bump in the road, I tried to swerve","Verse 3","Taylor Swift"
18,"But people are people and sometimes it doesn't work out","Verse 3","Taylor Swift"
19,"And nothin' we say is gonna save us from the fallout","Verse 3","Taylor Swift"
20,"And we know it's never simple, never easy","Pre-Chorus","Taylor Swift"
21,"Never a clean break, no one here to save me","Pre-Chorus","Taylor Swift"
22,"You're the only thing I know like the back of my hand","Pre-Chorus","Taylor Swift"
23,"And I can't breathe without you, but I have to","Chorus","Taylor Swift"
24,"Breathe without you but I have to","Chorus","Taylor Swift"
25,"It's 2 A.M., feeling like I just lost a friend","Bridge","Taylor Swift"
26,"Hope you know it's not easy, easy for me","Bridge","Taylor Swift"
27,"It's 2 A.M., feeling like I just lost a friend","Bridge","Taylor Swift"
28,"Hope you know this ain't easy, easy for me","Bridge","Taylor Swift"
29,"And we know it's never simple, never easy","Pre-Chorus","Taylor Swift"
30,"Never a clean break, no one here to save me, oh","Pre-Chorus","Taylor Swift"
31,"I can't breathe without you, but I have to","Chorus","Taylor Swift"
32,"Breathe without you, but I have to","Chorus","Taylor Swift"
33,"Breathe without you, but I have to","Chorus","Taylor Swift"
34,"Breathe without you, but I have to","Chorus","Taylor Swift"
35,"I'm sorry, I'm sorry (Mmm)","Outro","Taylor Swift"
36,"I'm sorry, (Yeah, yeah) I'm sorry","Outro","Taylor Swift"
37,"I'm sorry, I'm sorry (Ooh, ooh)","Outro","Taylor Swift"
38,"I'm sorry","Outro","Taylor Swift"
