"line","lyric","element","element_artist"
1,"It wasn't just like a movie","Verse 1","Taylor Swift"
2,"The rain didn't soak through my clothes, down to my skin","Verse 1","Taylor Swift"
3,"I'm drivin' away and I, I guess you could say","Verse 1","Taylor Swift"
4,"This is the last time I'll drive this way again","Verse 1","Taylor Swift"
5,"Lost in the gray and I try to grab at the fray","Verse 1","Taylor Swift"
6,"'Cause I, I still love you but I can't","Verse 1","Taylor Swift"
7,"Bye bye to everything I thought was on my side","Chorus","Taylor Swift"
8,"Bye bye baby","Chorus","Taylor Swift"
9,"I want you back but it's come down to nothing","Chorus","Taylor Swift"
10,"And all I have is your sympathy","Chorus","Taylor Swift"
11,"'Cause you took me home but you just couldn't keep me","Chorus","Taylor Swift"
12,"Bye bye baby","Chorus","Taylor Swift"
13,"Bye bye baby","Chorus","Taylor Swift"
14,"The picture frame is empty","Verse 2","Taylor Swift"
15,"On the dresser, vacant just like me","Verse 2","Taylor Swift"
16,"I see your writing on the dash","Verse 2","Taylor Swift"
17,"Then back to your hesitation","Verse 2","Taylor Swift"
18,"I was so sure of everything","Verse 2","Taylor Swift"
19,"Everything I thought we'd always have","Verse 2","Taylor Swift"
20,"Guess I never doubted it","Verse 2","Taylor Swift"
21,"Then the here and the now floods in","Verse 2","Taylor Swift"
22,"Feels like I'm becoming a part of your past","Verse 2","Taylor Swift"
23,"Bye bye to everything I thought was on my side","Chorus","Taylor Swift"
24,"Bye bye baby","Chorus","Taylor Swift"
25,"I want you back but it's come down to nothing","Chorus","Taylor Swift"
26,"And all I have is your sympathy","Chorus","Taylor Swift"
27,"'Cause you took me home but you just couldn't keep me","Chorus","Taylor Swift"
28,"Bye bye baby","Chorus","Taylor Swift"
29,"And there's so much that I can't touch","Verse 3","Taylor Swift"
30,"You're all I want but it's not enough this time","Verse 3","Taylor Swift"
31,"And all the pages are just slipping through my hands","Verse 3","Taylor Swift"
32,"And I'm so scared of how this ends","Verse 3","Taylor Swift"
33,"Bye bye to everything I thought was on my side","Chorus","Taylor Swift"
34,"Bye bye baby","Chorus","Taylor Swift"
35,"I want you back but it's come down to nothing","Chorus","Taylor Swift"
36,"And all I have is your sympathy","Chorus","Taylor Swift"
37,"'Cause you took me home but you just couldn't keep me","Chorus","Taylor Swift"
38,"Bye bye to everything I thought was on my side","Chorus","Taylor Swift"
39,"Bye bye baby","Chorus","Taylor Swift"
40,"I want you back but it's come down to nothing","Chorus","Taylor Swift"
41,"And all I have is your sympathy","Chorus","Taylor Swift"
42,"'Cause you took me home but you just couldn't keep me","Chorus","Taylor Swift"
43,"Oh, you took me home, I thought you were gonna keep me","Chorus","Taylor Swift"
44,"Bye bye baby","Chorus","Taylor Swift"
45,"Bye bye baby","Chorus","Taylor Swift"
