"line","lyric","element","element_artist"
1,"Oh, Carolina creeks running through my veins","Verse 1","Taylor Swift"
2,"Lost I was born, lonesome I came","Verse 1","Taylor Swift"
3,"Lonesome I'll always stay","Verse 1","Taylor Swift"
4,"Carolina knows why, for years, I roam","Verse 1","Taylor Swift"
5,"Free as these birds, light as whispers","Verse 1","Taylor Swift"
6,"Carolina knows","Verse 1","Taylor Swift"
7,"And you didn't see me here","Pre-Chorus","Taylor Swift"
8,"No, they never did see me here","Pre-Chorus","Taylor Swift"
9,"And she's in my dreams","Pre-Chorus","Taylor Swift"
10,"Into the mist, into the clouds","Chorus","Taylor Swift"
11,"Don't leave","Chorus","Taylor Swift"
12,"I make a fist, I'll make it count","Chorus","Taylor Swift"
13,"And there are places I will never, ever go","Chorus","Taylor Swift"
14,"And things that only Carolina will ever know","Chorus","Taylor Swift"
15,"Carolina stains on the dress she left","Verse 2","Taylor Swift"
16,"Indelible scars, pivotal marks","Verse 2","Taylor Swift"
17,"Blue as the life she fled","Verse 2","Taylor Swift"
18,"Carolina pines, won't you cover me?","Verse 2","Taylor Swift"
19,"Hide me like robes down the back road","Verse 2","Taylor Swift"
20,"Muddy these webs we weave","Verse 2","Taylor Swift"
21,"And you didn't see me here","Pre-Chorus","Taylor Swift"
22,"Oh, they never did see me","Pre-Chorus","Taylor Swift"
23,"And she's in my dreams","Pre-Chorus","Taylor Swift"
24,"Into the mist, into the clouds","Chorus","Taylor Swift"
25,"Don't leave","Chorus","Taylor Swift"
26,"I make a fist, I'll make it count","Chorus","Taylor Swift"
27,"And there are places I will never, ever go","Chorus","Taylor Swift"
28,"And things that only Carolina will ever know","Chorus","Taylor Swift"
29,"And you didn't see me here","Refrain","Taylor Swift"
30,"They never did see me here","Refrain","Taylor Swift"
31,"No, you didn't see me here","Refrain","Taylor Swift"
32,"They never saw me","Refrain","Taylor Swift"
33,"Oh, Carolina knows why for years they've said","Verse 3","Taylor Swift"
34,"That I was guilty as sin and sleep in a liar's bed","Verse 3","Taylor Swift"
35,"But the sleep comes fast and I'll meet no ghosts","Verse 3","Taylor Swift"
36,"It's between me, the sand, and the sea","Verse 3","Taylor Swift"
37,"Carolina knows","Verse 3","Taylor Swift"
