"line","lyric","element","element_artist"
1,"(Once, I had an empire)","Intro","Taylor Swift"
2,"(Once, I had an empire)","Intro","Taylor Swift"
3,"(Once, I had an empire)","Intro","Taylor Swift"
4,"Once, I had an empire in a golden age","Verse 1","Taylor Swift"
5,"I was held up so high, I used to be great","Verse 1","Taylor Swift"
6,"They used to cheer when they saw my face","Verse 1","Taylor Swift"
7,"Now, I fear I have fallen from grace","Verse 1","Taylor Swift"
8,"And I feel like my castle's crumbling down","Chorus","Taylor Swift"
9,"And I watch all my bridges burn to the ground","Chorus","Taylor Swift"
10,"And you don't want to know me, I will just let you down","Chorus","Taylor Swift"
11,"You don't wanna know me now","Chorus","Taylor Swift"
12,"Once, I was the great hope for a dynasty","Verse 2","Taylor Swift"
13,"Crowds would hang on my words and they trusted me","Verse 2","Taylor Swift"
14,"Their faith was strong, but I pushed it too far","Verse 2","Taylor Swift"
15,"I held that grudge 'til it tore me apart","Verse 2","Taylor Swift"
16,"Power went to my head and I couldn't stop","Pre-Chorus","Taylor Swift"
17,"Ones I loved tried to help, so I ran them off","Pre-Chorus","Taylor Swift"
18,"And here I sit alone behind walls of regret","Pre-Chorus","Taylor Swift"
19,"Falling down like promises that I never kept","Pre-Chorus","Taylor Swift"
20,"And I feel like my castle's crumbling down","Chorus","Taylor Swift"
21,"And I watch all my bridges burn to the ground","Chorus","Taylor Swift"
22,"And you don't want to know me, I will just let you down","Chorus","Taylor Swift"
23,"You don't wanna know me now","Chorus","Taylor Swift"
24,"My foes and friends watch my reign end","Bridge","Taylor Swift"
25,"I don't know how it could've ended this way","Bridge","Taylor Swift"
26,"Smoke billows from my ships in the harbor","Bridge","Taylor Swift"
27,"People look at me like I'm a monster","Bridge","Taylor Swift"
28,"Now they're screamin' at the palace's front gates","Bridge","Taylor Swift"
29,"Used to chant my name","Bridge","Taylor Swift"
30,"Now they're screaming that they hate me","Bridge","Taylor Swift"
31,"Never wanted you to hate me","Bridge","Taylor Swift"
32,"My castle's crumbling down","Chorus","Taylor Swift"
33,"And I watch all my bridges burn to the ground","Chorus","Taylor Swift"
34,"And you don't want to know me, I will just let you down (Just let you down)","Chorus","Taylor Swift"
35,"My castle's crumbling down","Chorus","Taylor Swift"
36,"You don't wanna know me now, now","Chorus","Taylor Swift"
37,"(Once, I had an empire)","Outro","Taylor Swift"
38,"(Once, I had an empire)","Outro","Taylor Swift"
39,"(Once, I had an empire)","Outro","Taylor Swift"
