"line","lyric","element","element_artist"
1,"You booked the night train for a reason","Verse 1","Taylor Swift"
2,"So you could sit there in this hurt","Verse 1","Taylor Swift"
3,"Bustling crowds or silent sleepers","Verse 1","Taylor Swift"
4,"You're not sure which is worse","Verse 1","Taylor Swift"
5,"Because I dropped your hand while dancing","Chorus","Taylor Swift"
6,"Left you out there standing","Chorus","Taylor Swift"
7,"Crestfallen on the landing","Chorus","Taylor Swift"
8,"Champagne problems","Chorus","Taylor Swift"
9,"Your mom's ring in your pocket","Chorus","Taylor Swift"
10,"My picture in your wallet","Chorus","Taylor Swift"
11,"Your heart was glass, I dropped it","Chorus","Taylor Swift"
12,"Champagne problems","Chorus","Taylor Swift"
13,"You told your family for a reason","Verse 2","Taylor Swift"
14,"You couldn't keep it in","Verse 2","Taylor Swift"
15,"Your sister splashed out on the bottle","Verse 2","Taylor Swift"
16,"Now no one's celebrating","Verse 2","Taylor Swift"
17,"Dom Pérignon, you brought it","Chorus","Taylor Swift"
18,"No crowd of friends applauded","Chorus","Taylor Swift"
19,"Your hometown skeptics called it","Chorus","Taylor Swift"
20,"Champagne problems","Chorus","Taylor Swift"
21,"You had a speech, you're speechless","Chorus","Taylor Swift"
22,"Love slipped beyond your reaches","Chorus","Taylor Swift"
23,"And I couldn't give a reason","Chorus","Taylor Swift"
24,"Champagne problems","Chorus","Taylor Swift"
25,"Your Midas touch on the Chevy door","Bridge","Taylor Swift"
26,"November flush and your flannel cure","Bridge","Taylor Swift"
27,"""This dorm was once a madhouse""","Bridge","Taylor Swift"
28,"I made a joke, ""Well, it's made for me""","Bridge","Taylor Swift"
29,"How evergreen, our group of friends","Bridge","Taylor Swift"
30,"Don't think we'll say that word again","Bridge","Taylor Swift"
31,"And soon they'll have the nerve to deck the halls","Bridge","Taylor Swift"
32,"That we once walked through","Bridge","Taylor Swift"
33,"One for the money, two for the show","Bridge","Taylor Swift"
34,"I never was ready so I watch you go","Bridge","Taylor Swift"
35,"Sometimes you just don't know the answer","Bridge","Taylor Swift"
36,"'Til someone's on their knees and asks you","Bridge","Taylor Swift"
37,"""She would've made such a lovely bride","Bridge","Taylor Swift"
38,"What a shame she's fucked in the head,"" they said","Bridge","Taylor Swift"
39,"But you'll find the real thing instead","Bridge","Taylor Swift"
40,"She'll patch up your tapestry that I shred","Bridge","Taylor Swift"
41,"And hold your hand while dancing","Chorus","Taylor Swift"
42,"Never leave you standing","Chorus","Taylor Swift"
43,"Crestfallen on the landing","Chorus","Taylor Swift"
44,"With champagne problems","Chorus","Taylor Swift"
45,"Your mom's ring in your pocket","Chorus","Taylor Swift"
46,"Her picture in your wallet","Chorus","Taylor Swift"
47,"You won't remember all my","Chorus","Taylor Swift"
48,"Champagne problems","Chorus","Taylor Swift"
49,"You won't remember all my","Outro","Taylor Swift"
50,"Champagne problems","Outro","Taylor Swift"
