"line","lyric","element","element_artist"
1,"What if ribbons and bows didn't mean a thing?","Verse 1","Taylor Swift"
2,"Would the song still survive without five golden rings?","Verse 1","Taylor Swift"
3,"Would you still wanna kiss without mistletoe?","Verse 1","Taylor Swift"
4,"What would happen if God never let it snow?","Verse 1","Taylor Swift"
5,"What would happen if Christmas carols told a lie?","Verse 1","Taylor Swift"
6,"Tell me, what would you find?","Verse 1","Taylor Swift"
7,"You'd see that today holds something special","Chorus","Taylor Swift"
8,"Something holy, not superficial","Chorus","Taylor Swift"
9,"So here's to the birthday boy who saved our lives","Chorus","Taylor Swift"
10,"It's something we all try to ignore","Chorus","Taylor Swift"
11,"And put a wreath up on your door","Chorus","Taylor Swift"
12,"So here's something you should know that is for sure","Chorus","Taylor Swift"
13,"Christmas must be something more","Chorus","Taylor Swift"
14,"What if angels did not pay attention to","Verse 2","Taylor Swift"
15,"All the things that we wished they would always do?","Verse 2","Taylor Swift"
16,"What if happiness came in a cardboard box?","Verse 2","Taylor Swift"
17,"Then I think there is something we all forgot","Verse 2","Taylor Swift"
18,"What would happen if presents all went away?","Verse 2","Taylor Swift"
19,"Tell me, what would you find?","Verse 2","Taylor Swift"
20,"You'd see that today holds something special","Chorus","Taylor Swift"
21,"Something holy, not superficial","Chorus","Taylor Swift"
22,"So here's to the birthday boy who saved our lives","Chorus","Taylor Swift"
23,"It's something we all try to ignore","Chorus","Taylor Swift"
24,"And put a wreath up on your door","Chorus","Taylor Swift"
25,"So here's something you should know that is for sure","Chorus","Taylor Swift"
26,"Christmas must be something more","Chorus","Taylor Swift"
27,"We get so caught up in all of it","Bridge","Taylor Swift"
28,"Business and relationships","Bridge","Taylor Swift"
29,"Hundred-mile-an-hour lives","Bridge","Taylor Swift"
30,"And it's this time of year","Bridge","Taylor Swift"
31,"And everybody's here","Bridge","Taylor Swift"
32,"It seems the last thing on your mind","Bridge","Taylor Swift"
33,"Is that the day holds something special","Chorus","Taylor Swift"
34,"Something holy, not superficial","Chorus","Taylor Swift"
35,"So here's to Jesus Christ who saved our lives","Chorus","Taylor Swift"
36,"It's something we all try to ignore","Chorus","Taylor Swift"
37,"And put a wreath up on your door","Chorus","Taylor Swift"
38,"But here's something you should know that is for sure","Chorus","Taylor Swift"
39,"Christmas must be something","Chorus","Taylor Swift"
40,"Christmas must be something","Chorus","Taylor Swift"
41,"Christmas must be something more","Chorus","Taylor Swift"
42,"There's gotta be more","Outro","Taylor Swift"
43,"There's gotta be more","Outro","Taylor Swift"
