"line","lyric","element","element_artist"
1,"My winter nights are taken up by static","Intro","Taylor Swift"
2,"Stress and holiday shopping traffic","Intro","Taylor Swift"
3,"But I close my eyes and I'm somewhere else","Intro","Taylor Swift"
4,"Just like magic","Intro","Taylor Swift"
5,"In my heart is a Christmas tree farm","Verse 1","Taylor Swift"
6,"Where the people would come","Verse 1","Taylor Swift"
7,"To dance under sparkling lights","Verse 1","Taylor Swift"
8,"Bundled up in their mittens and coats","Verse 1","Taylor Swift"
9,"And the cider would flow","Verse 1","Taylor Swift"
10,"And I just wanna be there tonight","Verse 1","Taylor Swift"
11,"Sweet dreams of holly and ribbon","Pre-Chorus","Taylor Swift"
12,"Mistakes are forgiven","Pre-Chorus","Taylor Swift"
13,"And everythin' is icy and blue","Pre-Chorus","Taylor Swift"
14,"And you would be there too","Pre-Chorus","Taylor Swift"
15,"Under the mistletoe","Chorus","Taylor Swift"
16,"Watchin' the fire glow","Chorus","Taylor Swift"
17,"And tellin' me, ""I love you""","Chorus","Taylor Swift"
18,"Just bein' in your arms","Chorus","Taylor Swift"
19,"Takes me back to that little farm","Chorus","Taylor Swift"
20,"Where every wish comes true","Chorus","Taylor Swift"
21,"In my heart is a Christmas tree farm","Verse 2","Taylor Swift"
22,"There's a light in the barn","Verse 2","Taylor Swift"
23,"We run inside out from the cold","Verse 2","Taylor Swift"
24,"In the town, kids are dreamin' of sleighs","Verse 2","Taylor Swift"
25,"And they're warm and they're safe","Verse 2","Taylor Swift"
26,"They wake to see a blanket of snow","Verse 2","Taylor Swift"
27,"Sweet dreams of holly and ribbon","Pre-Chorus","Taylor Swift"
28,"Mistakes are forgiven","Pre-Chorus","Taylor Swift"
29,"And everythin' is icy and blue","Pre-Chorus","Taylor Swift"
30,"And you would be there too","Pre-Chorus","Taylor Swift"
31,"Under the mistletoe","Chorus","Taylor Swift"
32,"Watchin' the fire glow","Chorus","Taylor Swift"
33,"And tellin' me, ""I love you""","Chorus","Taylor Swift"
34,"Just bein' in your arms","Chorus","Taylor Swift"
35,"Takes me back to that little farm","Chorus","Taylor Swift"
36,"Where every wish comes true","Chorus","Taylor Swift"
37,"Baby, yeah","Chorus","Taylor Swift"
38,"And when I'm feelin' alone","Bridge","Taylor Swift"
39,"You remind me of home","Bridge","Taylor Swift"
40,"Oh, baby, baby, Merry Christmas","Bridge","Taylor Swift"
41,"And when the world isn't fair","Bridge","Taylor Swift"
42,"I pretend that we're there","Bridge","Taylor Swift"
43,"Baby, baby, Merry Christmas (To you)","Bridge","Taylor Swift"
44,"Under the mistletoe (To you)","Chorus","Taylor Swift"
45,"Watching the fire glow","Chorus","Taylor Swift"
46,"And tellin' me, ""I love you""","Chorus","Taylor Swift"
47,"Oh, baby, baby, Merry Christmas","Outro","Taylor Swift"
48,"Oh, baby, baby, Merry Christmas (Darling)","Outro","Taylor Swift"
49,"Oh, baby, baby, Merry Christmas","Outro","Taylor Swift"
50,"I love you","Outro","Taylor Swift"
51,"Oh, baby, baby, Merry Christmas","Outro","Taylor Swift"
52,"Oh, baby, baby, Merry Christmas (I just want you to know)","Outro","Taylor Swift"
53,"Oh, baby, baby, Merry Christmas","Outro","Taylor Swift"
54,"Where every wish comes true","Outro","Taylor Swift"
55,"I love you","Outro","Taylor Swift"
