"line","lyric","element","element_artist"
1,"The drought was the very worst (Oh-oh, oh-oh)","Verse 1","Taylor Swift"
2,"When the flowers that we'd grown together died of thirst","Verse 1","Taylor Swift"
3,"It was months and months of back and forth (Oh-oh, oh-oh)","Verse 1","Taylor Swift"
4,"You're still all over me","Verse 1","Taylor Swift"
5,"Like a wine-stained dress I can't wear anymore","Verse 1","Taylor Swift"
6,"Hung my head as I lost the war","Pre-Chorus 1","Taylor Swift"
7,"And the sky turned black like a perfect storm","Pre-Chorus 1","Taylor Swift"
8,"Rain came pouring down","Chorus","Taylor Swift"
9,"When I was drowning, that's when I could finally breathe","Chorus","Taylor Swift"
10,"And by morning","Chorus","Taylor Swift"
11,"Gone was any trace of you, I think I am finally clean","Chorus","Taylor Swift"
12,"(Oh, oh, oh, oh)","Chorus","Taylor Swift"
13,"There was nothing left to do (Oh-oh, oh-oh)","Verse 2","Taylor Swift"
14,"When the butterflies turned to","Verse 2","Taylor Swift"
15,"Dust that covered my whole room","Verse 2","Taylor Swift"
16,"So I punched a hole in the roof (Oh-oh, oh-oh)","Verse 2","Taylor Swift"
17,"Let the flood carry away all my pictures of you","Verse 2","Taylor Swift"
18,"The water filled my lungs, I screamed so loud","Pre-Chorus 2","Taylor Swift"
19,"But no one heard a thing","Pre-Chorus 2","Taylor Swift"
20,"Rain came pouring down","Chorus","Taylor Swift"
21,"When I was drowning, that's when I could finally breathe","Chorus","Taylor Swift"
22,"And by morning","Chorus","Taylor Swift"
23,"Gone was any trace of you, I think I am finally clean","Chorus","Taylor Swift"
24,"(Oh, oh, oh, oh)","Chorus","Taylor Swift"
25,"I think I am finally clean","Chorus","Taylor Swift"
26,"(Oh, oh)","Chorus","Taylor Swift"
27,"Oh, oh, oh, oh, oh-oh","Chorus","Taylor Swift"
28,"Said, I think I am finally clean","Chorus","Taylor Swift"
29,"(Oh, oh)","Chorus","Taylor Swift"
30,"Oh, oh, oh, oh, oh-oh","Chorus","Taylor Swift"
31,"Ten months sober, I must admit","Bridge","Taylor Swift"
32,"Just because you're clean, don't mean you don't miss it","Bridge","Taylor Swift"
33,"Ten months older, I won't give in","Bridge","Taylor Swift"
34,"Now that I'm clean, I'm never gonna risk it","Bridge","Taylor Swift"
35,"The drought was the very worst (Oh-oh, oh-oh)","Breakdown","Taylor Swift"
36,"When the flowers that we'd grown together died of thirst","Breakdown","Taylor Swift"
37,"(Oh)","Breakdown","Taylor Swift"
38,"The rain came pouring down","Chorus","Taylor Swift"
39,"When I was drowning, that's when I could finally breathe","Chorus","Taylor Swift"
40,"And by morning","Chorus","Taylor Swift"
41,"Gone was any trace of you, I think I am finally clean","Chorus","Taylor Swift"
42,"Rain came pouring down","Chorus","Taylor Swift"
43,"When I was drowning, that's when I could finally breathe","Chorus","Taylor Swift"
44,"And by morning","Chorus","Taylor Swift"
45,"Gone was any trace of you, I think I am finally clean","Chorus","Taylor Swift"
46,"(Oh, oh)","Outro","Taylor Swift"
47,"Finally clean","Outro","Taylor Swift"
48,"Think I'm finally clean","Outro","Taylor Swift"
49,"(Oh, oh)","Outro","Taylor Swift"
50,"Oh-oh, oh-oh","Outro","Taylor Swift"
51,"(Oh, oh, oh)","Outro","Taylor Swift"
52,"Think I'm finally clean","Outro","Taylor Swift"
