"line","lyric","element","element_artist"
1,"The drought was the very worst, ah-ah, ah-ah","Verse 1","Taylor Swift"
2,"When the flowers that we'd grown together died of thirst","Verse 1","Taylor Swift"
3,"It was months and months of back and forth, ah-ah, ah-ah","Verse 1","Taylor Swift"
4,"You're still all over me like a wine-stained dress I can't wear anymore","Verse 1","Taylor Swift"
5,"Hung my head as I lost the war","Pre-Chorus","Taylor Swift"
6,"And the sky turned black like a perfect storm","Pre-Chorus","Taylor Swift"
7,"The rain came pouring down","Chorus","Taylor Swift"
8,"When I was drownin', that's when I could finally breathe","Chorus","Taylor Swift"
9,"And by mornin', gone was any trace of you","Chorus","Taylor Swift"
10,"I think I am finally clean","Chorus","Taylor Swift"
11,"There was nothin' left to do, ah-ah, ah-ah","Verse 2","Taylor Swift"
12,"When the butterflies turned to dust that covered my whole room","Verse 2","Taylor Swift"
13,"So I punched a hole in the roof, ah-ah, ah-ah","Verse 2","Taylor Swift"
14,"Let the flood carry away all my pictures of you","Verse 2","Taylor Swift"
15,"The water filled my lungs","Pre-Chorus","Taylor Swift"
16,"I screamed so loud, but no one heard a thing","Pre-Chorus","Taylor Swift"
17,"The rain came pourin' down","Chorus","Taylor Swift"
18,"When I was drownin', that's when I could finally breathe","Chorus","Taylor Swift"
19,"And by mornin', gone was any trace of you","Chorus","Taylor Swift"
20,"I think I am finally clean","Chorus","Taylor Swift"
21,"I think I am finally clean","Post-Chorus","Taylor Swift"
22,"Ah-ah-ah-ah-ah","Post-Chorus","Taylor Swift"
23,"Said I think I am finally clean","Post-Chorus","Taylor Swift"
24,"Ah-ah-ah","Post-Chorus","Taylor Swift"
25,"Ten months sober, I must admit","Bridge","Taylor Swift"
26,"Just because you're clean, don't mean you don't miss it","Bridge","Taylor Swift"
27,"Ten months older, I won't give in","Bridge","Taylor Swift"
28,"Now that I'm clean, I'm never gonna risk it","Bridge","Taylor Swift"
29,"The drought was the very worst, ah-ah, ah-ah","Bridge","Taylor Swift"
30,"When the flowers that we'd grown together died of thirst","Bridge","Taylor Swift"
31,"The rain came pourin' down","Chorus","Taylor Swift"
32,"When I was drownin', that's when I could finally breathe","Chorus","Taylor Swift"
33,"And by mornin', gone was any trace of you","Chorus","Taylor Swift"
34,"I think I am finally clean","Chorus","Taylor Swift"
35,"The rain came pourin' down","Chorus","Taylor Swift"
36,"When I was drownin', that's when I could finally breathe","Chorus","Taylor Swift"
37,"And by mornin', gone was any trace of you","Chorus","Taylor Swift"
38,"I think I am finally clean","Chorus","Taylor Swift"
39,"Finally clean","Outro","Taylor Swift"
40,"Think I'm finally clean","Outro","Taylor Swift"
41,"Ah-ah, ah-ah","Outro","Taylor Swift"
42,"Think I'm finally clean","Outro","Taylor Swift"
