"line","lyric","element","element_artist"
1,"You have a way of coming easily to me","Verse 1","Taylor Swift"
2,"And when you take, you take the very best of me","Verse 1","Taylor Swift"
3,"So I start a fight cause I need to feel something","Verse 1","Taylor Swift"
4,"And you do what you want 'cause I'm not what you wanted","Verse 1","Taylor Swift"
5,"Oh, what a shame, what a rainy ending given to a perfect day","Chorus","Taylor Swift"
6,"Just walk away, ain't no use defending words that you will never say","Chorus","Taylor Swift"
7,"And now that I'm sitting here thinking it through","Chorus","Taylor Swift"
8,"I've never been anywhere cold as you","Chorus","Taylor Swift"
9,"You put up walls and paint them all a shade of gray","Verse 2","Taylor Swift"
10,"And I stood there loving you and wished them all away","Verse 2","Taylor Swift"
11,"And you come away with a great little story","Verse 2","Taylor Swift"
12,"Of a mess of a dreamer with the nerve to adore you","Verse 2","Taylor Swift"
13,"Oh, what a shame, what a rainy ending given to a perfect day","Chorus","Taylor Swift"
14,"So just walk away, ain't no use defending words that you will never say","Chorus","Taylor Swift"
15,"And now that I'm sitting here thinking it through","Chorus","Taylor Swift"
16,"I've never been anywhere cold as you","Chorus","Taylor Swift"
17,"You never did give a damn thing, honey, but I cried, cried for you","Bridge","Taylor Swift"
18,"And I know you wouldn't have told nobody if I died, died for you","Bridge","Taylor Swift"
19,"(Died for you)","Bridge","Taylor Swift"
20,"Oh, what a shame, what a rainy ending given to a perfect day","Chorus","Taylor Swift"
21,"Every smile you fake is so condescending","Chorus","Taylor Swift"
22,"Counting all the scars you made","Chorus","Taylor Swift"
23,"And now that I'm sitting here thinking it through","Chorus","Taylor Swift"
24,"I've never been anywhere cold as you","Chorus","Taylor Swift"
