"line","lyric","element","element_artist"
1,"You said it in a simple way","Verse 1","Taylor Swift"
2,"4 AM, the second day","Verse 1","Taylor Swift"
3,"How strange that I don't know you at all","Verse 1","Taylor Swift"
4,"Stumbled through the long goodbye","Verse 1","Taylor Swift"
5,"One last kiss, then catch your flight","Verse 1","Taylor Swift"
6,"Right when I was just about to fall","Verse 1","Taylor Swift"
7,"I told myself, don't get attached","Pre-Chorus","Taylor Swift"
8,"But in my mind, I play it back","Pre-Chorus","Taylor Swift"
9,"Spinning faster than the plane that took you","Pre-Chorus","Taylor Swift"
10,"And this is when the feeling sinks in","Chorus","Taylor Swift"
11,"I don't wanna miss you like this","Chorus","Taylor Swift"
12,"Come back, be here, come back, be here","Chorus","Taylor Swift"
13,"I guess you're in New York today","Chorus","Taylor Swift"
14,"I don't wanna need you this way","Chorus","Taylor Swift"
15,"Come back, be here, come back, be here","Chorus","Taylor Swift"
16,"The delicate beginning rush","Verse 2","Taylor Swift"
17,"The feeling you can know so much","Verse 2","Taylor Swift"
18,"Without knowing anything at all","Verse 2","Taylor Swift"
19,"And now that I can put this down","Verse 2","Taylor Swift"
20,"If I had known what I know now","Verse 2","Taylor Swift"
21,"I never would've played so nonchalant","Verse 2","Taylor Swift"
22,"Taxi cabs and busy streets","Pre-Chorus","Taylor Swift"
23,"That never bring you back to me","Pre-Chorus","Taylor Swift"
24,"I can't help but wish you took me with you","Pre-Chorus","Taylor Swift"
25,"And this is when the feeling sinks in","Chorus","Taylor Swift"
26,"I don't wanna miss you like this","Chorus","Taylor Swift"
27,"Come back, be here, come back, be here","Chorus","Taylor Swift"
28,"I guess you're in London today","Chorus","Taylor Swift"
29,"And I don't wanna need you this way","Chorus","Taylor Swift"
30,"Come back, be here, come back, be here","Chorus","Taylor Swift"
31,"This is falling in love in the cruelest way","Bridge","Taylor Swift"
32,"This is falling for you when you are worlds away","Bridge","Taylor Swift"
33,"In New York, be here","Bridge","Taylor Swift"
34,"But you're in London, and I break down","Bridge","Taylor Swift"
35,"'Cause it's not fair that you're not around","Bridge","Taylor Swift"
36,"This is when the feeling sinks in","Chorus","Taylor Swift"
37,"I don't wanna miss you like this","Chorus","Taylor Swift"
38,"Come back, be here, come back, be here","Chorus","Taylor Swift"
39,"I guess you're in New York today","Chorus","Taylor Swift"
40,"And I don't wanna need you this way","Chorus","Taylor Swift"
41,"Come back, be here, come back, be here","Chorus","Taylor Swift"
42,"Oh-oh, oh-oh","Outro","Taylor Swift"
43,"I don't wanna miss you like this","Outro","Taylor Swift"
44,"Oh-oh, oh-oh","Outro","Taylor Swift"
45,"Come back, be here","Outro","Taylor Swift"
46,"Come back, be here","Outro","Taylor Swift"
