"line","lyric","element","element_artist"
1,"(Yeah, yeah, yeah, yeah)","Intro","Taylor Swift"
2,"Fever dream high in the quiet of the night","Verse 1","Taylor Swift"
3,"You know that I caught it (Oh yeah, you're right, I want it)","Verse 1","Taylor Swift"
4,"Bad, bad boy, shiny toy with a price","Verse 1","Taylor Swift"
5,"You know that I bought it (Oh yeah, you're right, I want it)","Verse 1","Taylor Swift"
6,"Killing me slow, out the window","Pre-Chorus","Taylor Swift"
7,"I'm always waiting for you to be waiting below","Pre-Chorus","Taylor Swift"
8,"Devils roll the dice, angels roll their eyes","Pre-Chorus","Taylor Swift"
9,"What doesn't kill me makes me want you more","Pre-Chorus","Taylor Swift"
10,"And it's new, the shape of your body","Chorus","Taylor Swift"
11,"It's blue, the feeling I've got","Chorus","Taylor Swift"
12,"And it's ooh, whoa oh","Chorus","Taylor Swift"
13,"It's a cruel summer","Chorus","Taylor Swift"
14,"It's cool, that's what I tell 'em","Chorus","Taylor Swift"
15,"No rules in breakable heaven","Chorus","Taylor Swift"
16,"But ooh, whoa oh","Chorus","Taylor Swift"
17,"It's a cruel summer","Chorus","Taylor Swift"
18,"With you","Chorus","Taylor Swift"
19,"Hang your head low in the glow of the vending machine","Verse 2","Taylor Swift"
20,"I'm not dying (Oh yeah, you're right, I want it)","Verse 2","Taylor Swift"
21,"We say that we'll just screw it up in these trying times","Verse 2","Taylor Swift"
22,"We're not trying (Oh yeah, you're right, I want it)","Verse 2","Taylor Swift"
23,"So cut the headlights, summer's a knife","Pre-Chorus 2","Taylor Swift"
24,"I'm always waiting for you just to cut to the bone","Pre-Chorus 2","Taylor Swift"
25,"Devils roll the dice, angels roll their eyes","Pre-Chorus 2","Taylor Swift"
26,"And if I bleed, you'll be the last to know","Pre-Chorus 2","Taylor Swift"
27,"Oh, it's new, the shape of your body","Chorus","Taylor Swift"
28,"It's blue, the feeling I've got","Chorus","Taylor Swift"
29,"And it's ooh, whoa oh","Chorus","Taylor Swift"
30,"It's a cruel summer","Chorus","Taylor Swift"
31,"It's cool, that's what I tell 'em","Chorus","Taylor Swift"
32,"No rules in breakable heaven","Chorus","Taylor Swift"
33,"But ooh, whoa oh","Chorus","Taylor Swift"
34,"It's a cruel summer","Chorus","Taylor Swift"
35,"With you","Chorus","Taylor Swift"
36,"I'm drunk in the back of the car","Bridge","Taylor Swift"
37,"And I cried like a baby coming home from the bar (Oh)","Bridge","Taylor Swift"
38,"Said, ""I'm fine,"" but it wasn't true","Bridge","Taylor Swift"
39,"I don't wanna keep secrets just to keep you","Bridge","Taylor Swift"
40,"And I snuck in through the garden gate","Bridge","Taylor Swift"
41,"Every night that summer just to seal my fate (Oh)","Bridge","Taylor Swift"
42,"And I scream, ""For whatever it's worth","Bridge","Taylor Swift"
43,"I love you, ain't that the worst thing you ever heard?""","Bridge","Taylor Swift"
44,"He looks up, grinning like a devil","Bridge","Taylor Swift"
45,"It's new, the shape of your body","Chorus","Taylor Swift"
46,"It's blue, the feeling I've got","Chorus","Taylor Swift"
47,"And it's ooh, whoa oh","Chorus","Taylor Swift"
48,"It's a cruel summer","Chorus","Taylor Swift"
49,"It's cool, that's what I tell 'em","Chorus","Taylor Swift"
50,"No rules in breakable heaven","Chorus","Taylor Swift"
51,"But ooh, whoa oh","Chorus","Taylor Swift"
52,"It's a cruel summer","Chorus","Taylor Swift"
53,"With you","Chorus","Taylor Swift"
54,"I'm drunk in the back of the car","Outro","Taylor Swift"
55,"And I cried like a baby coming home from the bar (Oh)","Outro","Taylor Swift"
56,"Said, ""I'm fine,"" but it wasn't true","Outro","Taylor Swift"
57,"I don't wanna keep secrets just to keep you","Outro","Taylor Swift"
58,"And I snuck in through the garden gate","Outro","Taylor Swift"
59,"Every night that summer just to seal my fate (Oh)","Outro","Taylor Swift"
60,"And I scream, ""For whatever it's worth","Outro","Taylor Swift"
61,"I love you, ain't that the worst thing you ever heard?""","Outro","Taylor Swift"
62,"(Yeah, yeah, yeah, yeah)","Outro","Taylor Swift"
