"line","lyric","element","element_artist"
1,"I, I loved you in secret","Verse 1","Taylor Swift"
2,"First sight, yeah, we love without reason","Verse 1","Taylor Swift"
3,"Oh, twenty-five years old","Verse 1","Taylor Swift"
4,"Oh, how were you to know? And","Verse 1","Taylor Swift"
5,"My, my love had been frozen","Verse 1","Taylor Swift"
6,"Deep blue, but you painted me golden","Verse 1","Taylor Swift"
7,"Oh, and you held me close","Verse 1","Taylor Swift"
8,"Oh, how was I to know? I-","Verse 1","Taylor Swift"
9,"Could've spent forever with your hands in my pockets","Pre-Chorus","Taylor Swift"
10,"Picture of your face in an invisible locket","Pre-Chorus","Taylor Swift"
11,"You said there was nothing in the world that could stop it","Pre-Chorus","Taylor Swift"
12,"I had a bad feeling","Pre-Chorus","Taylor Swift"
13,"And darling, you had turned my bed into a sacred oasis","Pre-Chorus","Taylor Swift"
14,"People started talking, putting us through our paces","Pre-Chorus","Taylor Swift"
15,"I knew there was no one in the world who could take it","Pre-Chorus","Taylor Swift"
16,"I had a bad feeling","Pre-Chorus","Taylor Swift"
17,"But we were dancing","Chorus","Taylor Swift"
18,"Dancing with our hands tied, hands tied","Chorus","Taylor Swift"
19,"Yeah, we were dancing","Chorus","Taylor Swift"
20,"Like it was the first time, first time","Chorus","Taylor Swift"
21,"Yeah, we were dancing","Chorus","Taylor Swift"
22,"Dancing with our hands tied, hands tied","Chorus","Taylor Swift"
23,"Yeah, we were dancing","Chorus","Taylor Swift"
24,"And I had a bad feeling","Chorus","Taylor Swift"
25,"But we were dancing","Chorus","Taylor Swift"
26,"I, I loved you in spite of","Verse 2","Taylor Swift"
27,"Deep fears that the world would divide us","Verse 2","Taylor Swift"
28,"So, baby, can we dance?","Verse 2","Taylor Swift"
29,"Oh, through an avalanche? And","Verse 2","Taylor Swift"
30,"Say, say that we got it","Verse 2","Taylor Swift"
31,"I'm a mess, but I'm the mess that you wanted","Verse 2","Taylor Swift"
32,"Oh, 'cause it's gravity","Verse 2","Taylor Swift"
33,"Oh, keeping you with me, I-","Verse 2","Taylor Swift"
34,"Could've spent forever with your hands in my pockets","Pre-Chorus","Taylor Swift"
35,"Picture of your face in an invisible locket","Pre-Chorus","Taylor Swift"
36,"You said there was nothing in the world that could stop it","Pre-Chorus","Taylor Swift"
37,"I had a bad feeling","Pre-Chorus","Taylor Swift"
38,"But we were dancing","Chorus","Taylor Swift"
39,"Dancing with our hands tied, hands tied","Chorus","Taylor Swift"
40,"Yeah, we were dancing","Chorus","Taylor Swift"
41,"Like it was the first time, first time","Chorus","Taylor Swift"
42,"Yeah, we were dancing","Chorus","Taylor Swift"
43,"Dancing with our hands tied, hands tied","Chorus","Taylor Swift"
44,"Yeah, we were dancing","Chorus","Taylor Swift"
45,"(Knew we had our hands tied)","Chorus","Taylor Swift"
46,"And I had a bad feeling","Chorus","Taylor Swift"
47,"But we were dancing","Chorus","Taylor Swift"
48,"I'd kiss you as the lights went out","Bridge","Taylor Swift"
49,"Swaying as the room burned down","Bridge","Taylor Swift"
50,"I'd hold you as the water rushes in","Bridge","Taylor Swift"
51,"If I could dance with you again","Bridge","Taylor Swift"
52,"I'd kiss you as the lights went out","Bridge","Taylor Swift"
53,"Swaying as the room burned down","Bridge","Taylor Swift"
54,"I'd hold you as the water rushes in","Bridge","Taylor Swift"
55,"If I could dance with you again (Again)","Bridge","Taylor Swift"
56,"Dancing with our hands tied, hands tied","Chorus","Taylor Swift"
57,"Oh, yeah, we were dancing","Chorus","Taylor Swift"
58,"Like it was the first time, first time (First time, first time)","Chorus","Taylor Swift"
59,"Yeah, we were dancing (Oh)","Chorus","Taylor Swift"
60,"Dancing with our hands tied, hands tied","Chorus","Taylor Swift"
61,"(Dancing with our hands tied)","Chorus","Taylor Swift"
62,"Yeah, we were dancing (Ooh)","Chorus","Taylor Swift"
63,"And I had a bad feeling (Had a bad feeling)","Chorus","Taylor Swift"
64,"But we were dancing","Chorus","Taylor Swift"
65,"(Ooh-ooh, ooh-ooh)","Outro","Taylor Swift"
66,"Hands tied, hands tied (Dancing)","Outro","Taylor Swift"
