"line","lyric","element","element_artist"
1,"Long were the nights","Verse 1","Taylor Swift"
2,"When my days once revolved around you","Verse 1","Taylor Swift"
3,"Counting my footsteps","Verse 1","Taylor Swift"
4,"Prayin' the floor won't fall through again","Verse 1","Taylor Swift"
5,"And my mother accused me of losin' my mind","Verse 1","Taylor Swift"
6,"But I swore I was fine","Verse 1","Taylor Swift"
7,"You paint me a blue sky","Verse 1","Taylor Swift"
8,"Then go back to turn it to rain","Verse 1","Taylor Swift"
9,"And I lived in your chess game","Verse 1","Taylor Swift"
10,"But you change the rules every day","Verse 1","Taylor Swift"
11,"Wonderin' which version of you","Verse 1","Taylor Swift"
12,"I might get on the phone tonight","Verse 1","Taylor Swift"
13,"Well, I stopped pickin' up","Verse 1","Taylor Swift"
14,"And this song is to let you know why","Verse 1","Taylor Swift"
15,"Dear John, I see it all now that you're gone","Chorus","Taylor Swift"
16,"Don't you think I was too young to be messed with?","Chorus","Taylor Swift"
17,"The girl in the dress cried the whole way home","Chorus","Taylor Swift"
18,"I shoulda known","Chorus","Taylor Swift"
19,"Well, maybe it's me and my blind optimism to blame","Verse 2","Taylor Swift"
20,"Or maybe it's you and your sick need","Verse 2","Taylor Swift"
21,"To give love and take it away","Verse 2","Taylor Swift"
22,"And you'll add my name to your long list of traitors","Verse 2","Taylor Swift"
23,"Who don't understand","Verse 2","Taylor Swift"
24,"And I'll look back and regret how I ignored when they said","Verse 2","Taylor Swift"
25,"""Run as fast as you can""","Verse 2","Taylor Swift"
26,"Dear John, I see it all now that you're gone","Chorus","Taylor Swift"
27,"Don't you think I was too young to be messed with?","Chorus","Taylor Swift"
28,"The girl in the dress cried the whole way home","Chorus","Taylor Swift"
29,"Dear John, I see it all now, it was wrong","Chorus","Taylor Swift"
30,"Don't you think nineteen's too young to be played by","Chorus","Taylor Swift"
31,"Your dark, twisted games when I loved you so?","Chorus","Taylor Swift"
32,"I shoulda known","Chorus","Taylor Swift"
33,"You are an expert at ""Sorry"" and keepin' lines blurry","Bridge","Taylor Swift"
34,"Never impressed by me acing your tests","Bridge","Taylor Swift"
35,"All the girls that you run dry have tired, lifeless eyes","Bridge","Taylor Swift"
36,"'Cause you burned them out","Bridge","Taylor Swift"
37,"But I took your matches before fire could catch me","Bridge","Taylor Swift"
38,"So don't look now","Bridge","Taylor Swift"
39,"I'm shining like fireworks over your sad, empty town","Bridge","Taylor Swift"
40,"Oh","Bridge","Taylor Swift"
41,"Dear John, I see it all now that you're gone","Chorus","Taylor Swift"
42,"Don't you think I was too young to be messed with?","Chorus","Taylor Swift"
43,"The girl in the dress cried the whole way home","Chorus","Taylor Swift"
44,"I see it all now that you're gone","Chorus","Taylor Swift"
45,"Don't you think I was too young to be messed with?","Chorus","Taylor Swift"
46,"The girl in the dress wrote you a song","Chorus","Taylor Swift"
47,"You shoulda known","Chorus","Taylor Swift"
48,"You shoulda known","Outro","Taylor Swift"
49,"Don't you think I was too young?","Outro","Taylor Swift"
50,"You shoulda known","Outro","Taylor Swift"
