"line","lyric","element","element_artist"
1,"My, my, my, my","Intro","Taylor Swift"
2,"My, my, my, my","Intro","Taylor Swift"
3,"My, my, my, my","Intro","Taylor Swift"
4,"My, my, my, my","Intro","Taylor Swift"
5,"My, my, my, my","Intro","Taylor Swift"
6,"My, my, my, my","Intro","Taylor Swift"
7,"My, my, my, my","Intro","Taylor Swift"
8,"My, my, my, my","Intro","Taylor Swift"
9,"Saying goodbye is death by a thousand cuts","Chorus","Taylor Swift"
10,"Flashbacks waking me up","Chorus","Taylor Swift"
11,"I get drunk, but it's not enough","Chorus","Taylor Swift"
12,"'Cause the morning comes and you're not my baby","Chorus","Taylor Swift"
13,"I look through the windows of this love","Chorus","Taylor Swift"
14,"Even though we boarded them up","Chorus","Taylor Swift"
15,"Chandelier's still flickering here","Chorus","Taylor Swift"
16,"'Cause I can't pretend it's okay when it's not","Chorus","Taylor Swift"
17,"It's death by a thousand cuts","Chorus","Taylor Swift"
18,"I dress to kill my time, I take the long way home","Verse 1","Taylor Swift"
19,"I ask the traffic lights if it'll be alright","Verse 1","Taylor Swift"
20,"They say, ""I don't know""","Verse 1","Taylor Swift"
21,"And what once was ours is no one's now","Verse 1","Taylor Swift"
22,"I see you everywhere, the only thing we share","Verse 1","Taylor Swift"
23,"Is this small town","Verse 1","Taylor Swift"
24,"You said it was a great love, one for the ages","Verse 1","Taylor Swift"
25,"But if the story's over, why am I still writing pages?","Verse 1","Taylor Swift"
26,"'Cause saying goodbye is death by a thousand cuts","Chorus","Taylor Swift"
27,"Flashbacks waking me up","Chorus","Taylor Swift"
28,"I get drunk, but it's not enough","Chorus","Taylor Swift"
29,"'Cause the morning comes and you're not my baby","Chorus","Taylor Swift"
30,"I look through the windows of this love","Chorus","Taylor Swift"
31,"Even though we boarded them up","Chorus","Taylor Swift"
32,"Chandelier's still flickering here","Chorus","Taylor Swift"
33,"'Cause I can't pretend it's okay when it's not","Chorus","Taylor Swift"
34,"It's death by a thousand cuts","Chorus","Taylor Swift"
35,"My heart, my hips, my body, my love","Verse 2","Taylor Swift"
36,"Tryna find a part of me that you didn't touch","Verse 2","Taylor Swift"
37,"Gave up on me like I was a bad drug","Verse 2","Taylor Swift"
38,"Now I'm searching for signs in a haunted club","Verse 2","Taylor Swift"
39,"Our songs, our films, united we stand","Verse 2","Taylor Swift"
40,"Our country, guess it was a lawless land","Verse 2","Taylor Swift"
41,"Quiet my fears with the touch of your hand","Verse 2","Taylor Swift"
42,"Paper cut stings from our paper-thin plans","Verse 2","Taylor Swift"
43,"My time, my wine, my spirit, my trust","Verse 2","Taylor Swift"
44,"Tryna find a part of me you didn't take up","Verse 2","Taylor Swift"
45,"Gave you so much, but it wasn't enough","Verse 2","Taylor Swift"
46,"But I'll be alright, it's just a thousand cuts","Verse 2","Taylor Swift"
47,"I get drunk, but it's not enough","Chorus","Taylor Swift"
48,"'Cause you're not my baby","Chorus","Taylor Swift"
49,"I look through the windows of this love","Chorus","Taylor Swift"
50,"Even though we boarded them up","Chorus","Taylor Swift"
51,"Chandelier's still flickering here","Chorus","Taylor Swift"
52,"'Cause I can't pretend it's okay when it's not","Chorus","Taylor Swift"
53,"No, it's not","Chorus","Taylor Swift"
54,"It's death by a thousand cuts (You didn't touch)","Chorus","Taylor Swift"
55,"Tryna find a part of me that you didn't touch","Post-Chorus","Taylor Swift"
56,"My body, my love, my trust (It's death by a thousand cuts)","Post-Chorus","Taylor Swift"
57,"But it wasn't enough, it wasn't enough, no, no","Post-Chorus","Taylor Swift"
58,"I take the long way home","Outro","Taylor Swift"
59,"I ask the traffic lights if it'll be alright","Outro","Taylor Swift"
60,"They say, ""I don't know""","Outro","Taylor Swift"
