"line","lyric","element","element_artist"
1,"Hey, Dorothea, do you ever stop and think about me?","Verse 1","Taylor Swift"
2,"When we were younger down in the park","Verse 1","Taylor Swift"
3,"Honey, making a lark of the misery","Verse 1","Taylor Swift"
4,"You got shiny friends since you left town","Verse 1","Taylor Swift"
5,"A tiny screen's the only place I see you now","Verse 1","Taylor Swift"
6,"And I got nothing but well wishes for ya","Verse 1","Taylor Swift"
7,"Ooh, this place is the same as it ever was","Pre-Chorus","Taylor Swift"
8,"Ooh, but you won't like it that way","Pre-Chorus","Taylor Swift"
9,"It's never too late to come back to my side","Chorus","Taylor Swift"
10,"The stars in your eyes shined brighter in Tupelo","Chorus","Taylor Swift"
11,"And if you're ever tired of being known for who you know","Chorus","Taylor Swift"
12,"You know that you'll always know me, Dorothea (Uh-uh)","Chorus","Taylor Swift"
13,"Dorothea (Ah-ah)","Chorus","Taylor Swift"
14,"Ooh, you're a queen sellin' dreams, sellin' makeup and magazines","Post-Chorus","Taylor Swift"
15,"Ooh, from you, I'd buy anything","Post-Chorus","Taylor Swift"
16,"Hey, Dorothea, do you ever stop and think about me?","Verse 2","Taylor Swift"
17,"When it was calmer, skipping the prom just to piss off your mom and her pageant schemes","Verse 2","Taylor Swift"
18,"And damn, Dorothea, they all wanna be ya","Verse 2","Taylor Swift"
19,"But are you still the same soul I met under the bleachers? Well","Verse 2","Taylor Swift"
20,"Ooh, I guess I'll never know","Pre-Chorus","Taylor Swift"
21,"Ooh, and you'll go on with the show","Pre-Chorus","Taylor Swift"
22,"But it's never too late to come back to my side","Chorus","Taylor Swift"
23,"The stars in your eyes shined brighter in Tupelo","Chorus","Taylor Swift"
24,"And if you're ever tired of being known for who you know","Chorus","Taylor Swift"
25,"You know, you'll always know me, Dorothea (Uh-uh)","Chorus","Taylor Swift"
26,"Dorothea (Ah-ah)","Chorus","Taylor Swift"
27,"Ooh, ooh","Outro","Taylor Swift"
28,"Ooh-woo-ooh-ooh-ooh, ooh-ooh-ooh-ooh","Outro","Taylor Swift"
29,"Ooh, ooh","Outro","Taylor Swift"
30,"Ooh-woo-ooh-ooh-ooh, ooh-ooh-ooh","Outro","Taylor Swift"
31,"Dorothea (Ah-ah-ah)","Outro","Taylor Swift"
32,"Ah-ah","Outro","Taylor Swift"
33,"Ooh","Outro","Taylor Swift"
