"line","lyric","element","element_artist"
1,"Our secret moments in a crowded room","Verse 1","Taylor Swift"
2,"They got no idea about me and you","Verse 1","Taylor Swift"
3,"There is an indentation in the shape of you","Verse 1","Taylor Swift"
4,"Made your mark on me, a golden tattoo","Verse 1","Taylor Swift"
5,"All of this silence and patience, pining and anticipation","Pre-Chorus","Taylor Swift"
6,"My hands are shaking from holding back from you","Pre-Chorus","Taylor Swift"
7,"Ha, ah, ah","Pre-Chorus","Taylor Swift"
8,"All of this silence and patience, pining and desperately waiting","Pre-Chorus","Taylor Swift"
9,"My hands are shaking from all this","Pre-Chorus","Taylor Swift"
10,"Ah, ha, ha, ha-ah","Pre-Chorus","Taylor Swift"
11,"Say my name and everything just stops","Chorus","Taylor Swift"
12,"I don't want you like a best friend","Chorus","Taylor Swift"
13,"Only bought this dress so you could take it off","Chorus","Taylor Swift"
14,"Take it oh, ha, ha, ha-ah","Chorus","Taylor Swift"
15,"Carve your name into my bedpost","Chorus","Taylor Swift"
16,"'Cause I don't want you like a best friend","Chorus","Taylor Swift"
17,"Only bought this dress so you could take it off","Chorus","Taylor Swift"
18,"Take it oh, ha, ha, ha-ah","Chorus","Taylor Swift"
19,"Inescapable, I'm not even gonna try","Verse 2","Taylor Swift"
20,"And if I get burned, at least we were electrified","Verse 2","Taylor Swift"
21,"I'm spilling wine in the bathtub","Verse 2","Taylor Swift"
22,"You kiss my face and we're both drunk","Verse 2","Taylor Swift"
23,"Everyone thinks that they know us","Verse 2","Taylor Swift"
24,"But they know nothing about-","Verse 2","Taylor Swift"
25,"All of this silence and patience, pining and anticipation","Pre-Chorus","Taylor Swift"
26,"My hands are shaking from holding back from you","Pre-Chorus","Taylor Swift"
27,"Ha, ah, ah","Pre-Chorus","Taylor Swift"
28,"All of this silence and patience, pining and desperately waiting","Pre-Chorus","Taylor Swift"
29,"My hands are shaking from all this","Pre-Chorus","Taylor Swift"
30,"Ah, ha, ha, ha-ah","Pre-Chorus","Taylor Swift"
31,"Say my name and everything just stops","Chorus","Taylor Swift"
32,"I don't want you like a best friend","Chorus","Taylor Swift"
33,"Only bought this dress so you could take it off","Chorus","Taylor Swift"
34,"Take it oh, ha, ha, ha-ah","Chorus","Taylor Swift"
35,"Carve your name into my bedpost","Chorus","Taylor Swift"
36,"'Cause I don't want you like a best friend","Chorus","Taylor Swift"
37,"Only bought this dress so you could take it off","Chorus","Taylor Swift"
38,"Take it oh, ha, ha...","Chorus","Taylor Swift"
39,"Ha-ah-ah, ha-ah-ah, ha-ah-ah-ah","Post-Chorus","Taylor Swift"
40,"Only bought this dress so you could take it off","Post-Chorus","Taylor Swift"
41,"Ha-ah-ah, ha-ah-ah, ha-ah-ah-ah","Post-Chorus","Taylor Swift"
42,"Only bought this dress so you could take it off","Post-Chorus","Taylor Swift"
43,"Flashback when you met me","Bridge","Taylor Swift"
44,"Your buzzcut and my hair bleached","Bridge","Taylor Swift"
45,"Even in my worst times, you could see the best in me","Bridge","Taylor Swift"
46,"Flashback to my mistakes","Bridge","Taylor Swift"
47,"My rebounds, my earthquakes","Bridge","Taylor Swift"
48,"Even in my worst lies, you saw the truth in me","Bridge","Taylor Swift"
49,"And I woke up just in time","Bridge","Taylor Swift"
50,"Now I wake up by your side","Bridge","Taylor Swift"
51,"My one and only, my lifeline","Bridge","Taylor Swift"
52,"I woke up just in time","Bridge","Taylor Swift"
53,"Now I wake up by your side","Bridge","Taylor Swift"
54,"My hands shake, I can't explain this","Bridge","Taylor Swift"
55,"Ah, ha, ha, ha-ah","Bridge","Taylor Swift"
56,"Say my name and everything just stops...","Chorus","Taylor Swift"
57,"I don't want you like a best friend","Chorus","Taylor Swift"
58,"Only bought this dress so you could take it off","Chorus","Taylor Swift"
59,"Take it oh, ha, ha, ha-ah","Chorus","Taylor Swift"
60,"Carve your name into my bedpost","Chorus","Taylor Swift"
61,"'Cause I don't want you like a best friend","Chorus","Taylor Swift"
62,"Only bought this dress so you could take it off","Chorus","Taylor Swift"
63,"Take it oh, ha, ha, ha-ah","Chorus","Taylor Swift"
64,"There is an indentation in the shape of you","Outro","Taylor Swift"
65,"Only bought this dress so you could take it off","Outro","Taylor Swift"
66,"You made your mark on me, golden tattoo","Outro","Taylor Swift"
67,"Only bought this dress so you could take it off","Outro","Taylor Swift"
