"line","lyric","element","element_artist"
1,"Just breathe, just relax, it'll be okay","Verse 1","Taylor Swift"
2,"Just an hour 'til your car's in the driveway","Verse 1","Taylor Swift"
3,"Just the first time ever hangin' out with you tonight","Verse 1","Taylor Swift"
4,"I've got my money on things goin' badly","Verse 1","Taylor Swift"
5,"Got a history of stories ending sadly","Verse 1","Taylor Swift"
6,"Still hoping that the fire won't burn me","Verse 1","Taylor Swift"
7,"Just one time, just one time","Verse 1","Taylor Swift"
8,"All I know is this could either break my heart or bring it back to life","Chorus","Taylor Swift"
9,"Got a feelin' your electric touch could fill this ghost town up with life","Chorus","Taylor Swift"
10,"And I want you now, wanna need you forever","Chorus","Taylor Swift"
11,"In the heat of your electric touch, mmm","Chorus","Taylor Swift"
12,"I've been left in the rain lost and pining","Verse 2","Taylor Swift"
13,"I'm tryin' hard not to look like I'm trying","Verse 2","Taylor Swift"
14,"'Cause every time I tried hard for love, it fell apart (Woah)","Verse 2","Taylor Swift"
15,"I've gotten used to no one callin' my phone","Verse 2","Taylor Swift"
16,"I've grown accustomed to sleepin' alone","Verse 2","Taylor Swift"
17,"Still, I know that all it takes is to get it right","Verse 2","Taylor Swift"
18,"Just one time, just one time","Verse 2","Taylor Swift"
19,"All I know is this could either break my heart or bring it back to life","Chorus","Taylor Swift"
20,"Got a feelin' your electric touch could fill this ghost town up with life","Chorus","Taylor Swift"
21,"And I want you now, wanna need you forever","Chorus","Taylor Swift"
22,"In the heat of your electric touch, mmm","Chorus","Taylor Swift"
23,"I was thinking just one time (Just one time)","Bridge","Taylor Swift"
24,"Maybe the stars align (Just one time)","Bridge","Taylor Swift"
25,"And maybe I call you mine","Bridge","Taylor Swift"
26,"And you won't need space","Bridge","Taylor Swift"
27,"Or string me along while you decide","Bridge","Taylor Swift"
28,"And just one time (Just one time)","Bridge","Taylor Swift"
29,"Maybe the moment's right (The moment's right)","Bridge","Taylor Swift"
30,"It's 8:05 and I see two headlights","Bridge","Taylor Swift"
31,"All I know is this could either break my heart or bring it back to life","Chorus","Taylor Swift"
32,"Got a feelin' your electric touch (Ooh)","Chorus","Taylor Swift"
33,"All I know is this could either break my heart or bring it back to life","Chorus","Taylor Swift"
34,"Got a feelin' your electric touch could fill this ghost town up with life (Life)","Chorus","Taylor Swift"
35,"And I want you now, wanna need you forever","Chorus","Taylor Swift"
36,"In the heat of your electric touch, mmm","Chorus","Taylor Swift"
