"line","lyric","element","element_artist"
1,"Keep your helmet, keep your life, son","Verse 1","Taylor Swift"
2,"Just a flesh wound, here's your rifle","Verse 1","Taylor Swift"
3,"Crawling up the beaches now","Verse 1","Taylor Swift"
4,"""Sir, I think he's bleeding out""","Verse 1","Taylor Swift"
5,"And some things you just can't speak about","Verse 1","Taylor Swift"
6,"With you I serve, with you I fall down, down","Chorus","Taylor Swift"
7,"Watch you breathe in, watch you breathing out, out","Chorus","Taylor Swift"
8,"Something med school did not cover","Verse 2","Taylor Swift"
9,"Someone's daughter, someone's mother","Verse 2","Taylor Swift"
10,"Holds your hand through plastic now","Verse 2","Taylor Swift"
11,"""Doc, I think she's crashing out""","Verse 2","Taylor Swift"
12,"And some things you just can't speak about","Verse 2","Taylor Swift"
13,"Only twenty minutes to sleep","Bridge","Taylor Swift"
14,"But you dream of some epiphany","Bridge","Taylor Swift"
15,"Just one single glimpse of relief","Bridge","Taylor Swift"
16,"To make some sense of what you've seen","Bridge","Taylor Swift"
17,"With you I serve, with you I fall down, down (Down)","Chorus","Taylor Swift"
18,"Watch you breathe in, watch you breathing out, out","Chorus","Taylor Swift"
19,"With you I serve (With you I serve), with you I fall down (Down), down (Down)","Chorus","Taylor Swift"
20,"Watch you breathe in (Watch you breathe in), watch you breathing out (Out), out (Out)","Chorus","Taylor Swift"
21,"Only twenty minutes to sleep","Outro","Taylor Swift"
22,"But you dream of some epiphany","Outro","Taylor Swift"
23,"Just one single glimpse of relief","Outro","Taylor Swift"
24,"To make some sense of what you've seen","Outro","Taylor Swift"
