"line","lyric","element","element_artist"
1,"Gray November","Verse 1","Taylor Swift"
2,"I've been down since July","Verse 1","Taylor Swift"
3,"Motion capture","Verse 1","Taylor Swift"
4,"Put me in a bad light","Verse 1","Taylor Swift"
5,"I replay my footsteps on each stepping stone","Verse 1","Taylor Swift"
6,"Trying to find the one where I went wrong","Verse 1","Taylor Swift"
7,"Writing letters","Verse 1","Taylor Swift"
8,"Addressed to the fire","Verse 1","Taylor Swift"
9,"And I was catching my breath","Chorus","Taylor Swift"
10,"Staring out an open window","Chorus","Taylor Swift"
11,"Catching my death","Chorus","Taylor Swift"
12,"And I couldn't be sure","Chorus","Taylor Swift"
13,"I had a feeling so peculiar","Chorus","Taylor Swift"
14,"That this pain would be for","Chorus","Taylor Swift"
15,"Evermore","Chorus","Taylor Swift"
16,"Hey December","Verse 2","Taylor Swift"
17,"Guess I'm feeling unmoored","Verse 2","Taylor Swift"
18,"Can't remember","Verse 2","Taylor Swift"
19,"What I used to fight for","Verse 2","Taylor Swift"
20,"I rewind the tape, but all it does is pause","Verse 2","Taylor Swift"
21,"On the very moment all was lost","Verse 2","Taylor Swift"
22,"Sending signals","Verse 2","Taylor Swift"
23,"To be double-crossed","Verse 2","Taylor Swift"
24,"And I was catching my breath","Chorus","Taylor Swift"
25,"Barefoot in the wildest winter","Chorus","Taylor Swift"
26,"Catching my death","Chorus","Taylor Swift"
27,"And I couldn't be sure","Chorus","Taylor Swift"
28,"I had a feeling so peculiar","Chorus","Taylor Swift"
29,"That this pain would be for","Chorus","Taylor Swift"
30,"Evermore","Chorus","Taylor Swift"
31,"(Evermore)","Chorus","Taylor Swift"
32,"Can't not think of all the cost","Bridge 1","Taylor Swift"
33,"And the things that will be lost","Bridge 1","Taylor Swift"
34,"Oh, can we just get a pause?","Bridge 1","Taylor Swift"
35,"To be certain, we'll be tall again","Bridge 1","Taylor Swift"
36,"Whether weather be the frost","Bridge 1","Taylor Swift"
37,"Or the violence of the dog days","Bridge 1","Taylor Swift"
38,"I'm on waves, out being tossed","Bridge 1","Taylor Swift"
39,"Is there a line that I could just go cross?","Bridge 1","Taylor Swift"
40,"And when I was shipwrecked (Can't think of all the cost)","Bridge 2","Taylor Swift"
41,"I thought of you (All the things that will be lost now)","Bridge 2","Taylor Swift"
42,"In the cracks of light (Can we just get a pause?)","Bridge 2","Taylor Swift"
43,"I dreamed of you (To be certain we'll be tall again, if you think of all the costs)","Bridge 2","Taylor Swift"
44,"It was real enough (Whether weather be the frost)","Bridge 2","Taylor Swift"
45,"To get me through (Or the violence of the dog days)","Bridge 2","Taylor Swift"
46,"(Or the violence of the dog days)","Bridge 2","Taylor Swift"
47,"(Out on waves, being tossed)","Bridge 2","Taylor Swift"
48,"(I'm on waves, out being tossed)","Bridge 2","Taylor Swift"
49,"I swear (Is there a line that we can just go cross?)","Bridge 2","Taylor Swift"
50,"You were there","Bridge 2","Taylor Swift"
51,"And I was catching my breath","Chorus","Taylor Swift"
52,"Floors of a cabin creaking under my step","Chorus","Taylor Swift"
53,"And I couldn't be sure","Chorus","Taylor Swift"
54,"I had a feeling so peculiar","Chorus","Taylor Swift"
55,"This pain wouldn't be for","Chorus","Taylor Swift"
56,"Evermore","Chorus","Taylor Swift"
57,"Evermore","Chorus","Taylor Swift"
58,"Evermore","Chorus","Taylor Swift"
59,"This pain wouldn't be for evermore","Chorus","Taylor Swift"
60,"Evermore","Chorus","Taylor Swift"
