"line","lyric","element","element_artist"
1,"I can see you standing, honey","Verse 1","Taylor Swift"
2,"With his arms around your body","Verse 1","Taylor Swift"
3,"Laughin', but the joke's not funny at all","Verse 1","Taylor Swift"
4,"And it took you five whole minutes","Verse 1","Taylor Swift"
5,"To pack us up and leave me with it","Verse 1","Taylor Swift"
6,"Holdin' all this love out here in the hall","Verse 1","Taylor Swift"
7,"I think I've seen this film before","Chorus","Taylor Swift"
8,"And I didn't like the ending","Chorus","Taylor Swift"
9,"You're not my homeland anymore","Chorus","Taylor Swift"
10,"So what am I defending now?","Chorus","Taylor Swift"
11,"You were my town, now I'm in exile, seein' you out","Chorus","Taylor Swift"
12,"I think I've seen this film before","Chorus","Taylor Swift"
13,"Ooh, ooh, ooh","Post-Chorus","Taylor Swift"
14,"I can see you starin', honey","Verse 2","Taylor Swift"
15,"Like he's just your understudy","Verse 2","Taylor Swift"
16,"Like you'd get your knuckles bloody for me","Verse 2","Taylor Swift"
17,"Second, third, and hundredth chances","Verse 2","Taylor Swift"
18,"Balancin' on breaking branches","Verse 2","Taylor Swift"
19,"Those eyes add insult to injury","Verse 2","Taylor Swift"
20,"I think I've seen this film before","Chorus","Taylor Swift"
21,"And I didn't like the ending","Chorus","Taylor Swift"
22,"I'm not your problem anymore","Chorus","Taylor Swift"
23,"So who am I offending now?","Chorus","Taylor Swift"
24,"You were my crown, now I'm in exile, seein' you out","Chorus","Taylor Swift"
25,"I think I've seen this film before","Chorus","Taylor Swift"
26,"So I'm leaving out the side door","Chorus","Taylor Swift"
27,"So step right out, there is no amount","Bridge","Taylor Swift"
28,"Of crying I can do for you","Bridge","Taylor Swift"
29,"All this time","Bridge","Taylor Swift"
30,"We always walked a very thin line","Bridge","Taylor Swift"
31,"You didn't even hear me out (You didn't even hear me out)","Bridge","Taylor Swift"
32,"You never gave a warning sign (I gave so many signs)","Bridge","Taylor Swift"
33,"All this time","Bridge","Taylor Swift"
34,"I never learned to read your mind (Never learned to read my mind)","Bridge","Taylor Swift"
35,"I couldn't turn things around (You never turned things around)","Bridge","Taylor Swift"
36,"'Cause you never gave a warning sign (I gave so many signs)","Bridge","Taylor Swift"
37,"So many signs, so many signs","Bridge","Taylor Swift"
38,"You didn't even see the signs","Bridge","Taylor Swift"
39,"I think I've seen this film before","Chorus","Taylor Swift"
40,"And I didn't like the ending","Chorus","Taylor Swift"
41,"You're not my homeland anymore","Chorus","Taylor Swift"
42,"So what am I defending now?","Chorus","Taylor Swift"
43,"You were my town, now I'm in exile, seein' you out","Chorus","Taylor Swift"
44,"I think I've seen this film before","Chorus","Taylor Swift"
45,"So I'm leavin' out the side door","Chorus","Taylor Swift"
46,"So step right out, there is no amount","Outro","Taylor Swift"
47,"Of crying I can do for you","Outro","Taylor Swift"
48,"All this time","Outro","Taylor Swift"
49,"We always walked a very thin line","Outro","Taylor Swift"
50,"You didn't even hear me out (Didn't even hear me out)","Outro","Taylor Swift"
51,"You never gave a warning sign (I gave so many signs)","Outro","Taylor Swift"
52,"All this time","Outro","Taylor Swift"
53,"I never learned to read your mind (Never learned to read my mind)","Outro","Taylor Swift"
54,"I couldn't turn things around (You never turned things around)","Outro","Taylor Swift"
55,"'Cause you never gave a warning sign (I gave so many signs)","Outro","Taylor Swift"
56,"You never gave a warning sign (All this time)","Outro","Taylor Swift"
57,"(So many times) I never learned to read your mind","Outro","Taylor Swift"
58,"(So many signs) I couldn't turn things around (I couldn't turn things around)","Outro","Taylor Swift"
59,"'Cause you never gave a warning sign (You never gave a warning sign)","Outro","Taylor Swift"
60,"You never gave a warning sign","Outro","Taylor Swift"
61,"Ah, ah","Outro","Taylor Swift"
