"line","lyric","element","element_artist"
1,"Everybody's waiting","Intro","Taylor Swift"
2,"Everybody's watching","Intro","Taylor Swift"
3,"Even when you're sleeping","Intro","Taylor Swift"
4,"Keep your eyes open","Intro","Taylor Swift"
5,"The tricky thing","Verse 1","Taylor Swift"
6,"Is yesterday, we were just children","Verse 1","Taylor Swift"
7,"Playing soldiers, just pretending","Verse 1","Taylor Swift"
8,"Dreaming dreams with happy endings","Verse 1","Taylor Swift"
9,"In backyards","Verse 1","Taylor Swift"
10,"Winnin' battles with our wooden swords","Verse 1","Taylor Swift"
11,"But now we've stepped into a cruel world","Verse 1","Taylor Swift"
12,"Where everybody stands and keeps score","Verse 1","Taylor Swift"
13,"(Keep your eyes open)","Pre-Chorus","Taylor Swift"
14,"Everybody's waitin' for you to break down","Chorus","Taylor Swift"
15,"Everybody's watchin' to see the fallout","Chorus","Taylor Swift"
16,"Even when you're sleepin', sleepin'","Chorus","Taylor Swift"
17,"Keep your eyes open","Chorus","Taylor Swift"
18,"Keep your eyes open","Post-Chorus","Taylor Swift"
19,"Keep your eyes open","Post-Chorus","Taylor Swift"
20,"So, here you are","Verse 2","Taylor Swift"
21,"Two steps ahead and stayin' on guard","Verse 2","Taylor Swift"
22,"Every lesson forms a new scar","Verse 2","Taylor Swift"
23,"They never thought you'd make it this far","Verse 2","Taylor Swift"
24,"But turn around (Turn around)","Verse 2","Taylor Swift"
25,"Oh, they've surrounded you, it's a showdown (Showdown)","Verse 2","Taylor Swift"
26,"And nobody comes to save you now","Verse 2","Taylor Swift"
27,"But you got somethin' they don't","Verse 2","Taylor Swift"
28,"Yeah, you got somethin' they don't","Verse 2","Taylor Swift"
29,"You just gotta keep your eyes open","Pre-Chorus","Taylor Swift"
30,"See Taylor Swift Live","Pre-Chorus","Taylor Swift"
31,"Get tickets as low as $220","Pre-Chorus","Taylor Swift"
32,"Everybody's waitin' for you to break down","Chorus","Taylor Swift"
33,"Everybody's watchin' to see the fallout","Chorus","Taylor Swift"
34,"Even when you're sleepin', sleepin'","Chorus","Taylor Swift"
35,"Keep your eyes open","Chorus","Taylor Swift"
36,"Keep your eyes open","Post-Chorus","Taylor Swift"
37,"Keep your eyes","Post-Chorus","Taylor Swift"
38,"Keep your feet ready, heartbeat steady","Bridge","Taylor Swift"
39,"Keep your eyes open","Bridge","Taylor Swift"
40,"Keep your aim locked, the night goes dark","Bridge","Taylor Swift"
41,"Keep your eyes open","Bridge","Taylor Swift"
42,"(Keep your eyes open)","Bridge","Taylor Swift"
43,"(Keep your eyes open)","Bridge","Taylor Swift"
44,"(Keep your eyes open)","Bridge","Taylor Swift"
45,"(Keep your eyes open)","Bridge","Taylor Swift"
46,"Everybody's waitin' for you to break down","Chorus","Taylor Swift"
47,"Everybody's watchin' to see the fallout","Chorus","Taylor Swift"
48,"Even when you're sleepin', sleepin'","Chorus","Taylor Swift"
49,"Keep your eyes open","Chorus","Taylor Swift"
50,"Keep your eyes open","Post-Chorus","Taylor Swift"
51,"Keep your eyes open","Post-Chorus","Taylor Swift"
52,"Keep your eyes open","Post-Chorus","Taylor Swift"
53,"Keep your eyes open","Post-Chorus","Taylor Swift"
