"line","lyric","element","element_artist"
1,"We were crazy to think","Verse 1","Taylor Swift"
2,"Crazy to think that this could work","Verse 1","Taylor Swift"
3,"Remember how I said I'd die for you?","Verse 1","Taylor Swift"
4,"We were stupid to jump","Verse 1","Taylor Swift"
5,"In the ocean separating us","Verse 1","Taylor Swift"
6,"Remember how I'd fly to you?","Verse 1","Taylor Swift"
7,"And I can't talk to you when you're like this","Pre-Chorus","Taylor Swift"
8,"Staring out the window like I'm not your favorite town","Pre-Chorus","Taylor Swift"
9,"I'm New York City","Pre-Chorus","Taylor Swift"
10,"I still do it for you, babe","Pre-Chorus","Taylor Swift"
11,"They all warned us about times like this","Pre-Chorus","Taylor Swift"
12,"They say the road gets hard and you get lost","Pre-Chorus","Taylor Swift"
13,"When you're led by blind faith, blind faith","Pre-Chorus","Taylor Swift"
14,"But we might just get away with it","Chorus","Taylor Swift"
15,"Religion's in your lips","Chorus","Taylor Swift"
16,"Even if it's a false god","Chorus","Taylor Swift"
17,"We'd still worship","Chorus","Taylor Swift"
18,"We might just get away with it","Chorus","Taylor Swift"
19,"The altar is my hips","Chorus","Taylor Swift"
20,"Even if it's a false god","Chorus","Taylor Swift"
21,"We'd still worship this love","Chorus","Taylor Swift"
22,"We'd still worship this love","Chorus","Taylor Swift"
23,"We'd still worship this love","Chorus","Taylor Swift"
24,"I know heaven's a thing","Verse 2","Taylor Swift"
25,"I go there when you touch me, honey","Verse 2","Taylor Swift"
26,"Hell is when I fight with you","Verse 2","Taylor Swift"
27,"But we can patch it up good","Verse 2","Taylor Swift"
28,"Make confessions and we're begging for forgiveness","Verse 2","Taylor Swift"
29,"Got the wine for you","Verse 2","Taylor Swift"
30,"And you can't talk to me when I'm like this","Pre-Chorus","Taylor Swift"
31,"Daring you to leave me just so I can try and scare you","Pre-Chorus","Taylor Swift"
32,"You're the West Village","Pre-Chorus","Taylor Swift"
33,"You still do it for me, babe","Pre-Chorus","Taylor Swift"
34,"They all warned us about times like this","Pre-Chorus","Taylor Swift"
35,"They say the road gets hard and you get lost","Pre-Chorus","Taylor Swift"
36,"When you're led by blind faith, blind faith","Pre-Chorus","Taylor Swift"
37,"But we might just get away with it","Chorus","Taylor Swift"
38,"Religion's in your lips","Chorus","Taylor Swift"
39,"Even if it's a false god","Chorus","Taylor Swift"
40,"We'd still worship","Chorus","Taylor Swift"
41,"We might just get away with it","Chorus","Taylor Swift"
42,"The altar is my hips","Chorus","Taylor Swift"
43,"Even if it's a false god","Chorus","Taylor Swift"
44,"We'd still worship this love","Chorus","Taylor Swift"
45,"We'd still worship this love","Chorus","Taylor Swift"
46,"We'd still worship this love, ah","Chorus","Taylor Swift"
47,"Still worship this love","Outro","Taylor Swift"
48,"Even if it's a false god","Outro","Taylor Swift"
49,"Even if it's a false god","Outro","Taylor Swift"
50,"Still worship this love","Outro","Taylor Swift"
