"line","lyric","element","element_artist"
1,"There's something 'bout the way","Verse 1","Taylor Swift"
2,"The street looks when it's just rained","Verse 1","Taylor Swift"
3,"There's a glow off the pavement, you walk me to the car","Verse 1","Taylor Swift"
4,"And you know I wanna ask you to dance right there","Verse 1","Taylor Swift"
5,"In the middle of the parking lot, yeah","Verse 1","Taylor Swift"
6,"Oh, yeah","Verse 1","Taylor Swift"
7,"We're driving down the road, I wonder if you know","Verse 2","Taylor Swift"
8,"I'm trying so hard not to get caught up now","Verse 2","Taylor Swift"
9,"But you're just so cool, run your hands through your hair","Verse 2","Taylor Swift"
10,"Absent-mindedly making me want you","Verse 2","Taylor Swift"
11,"And I don't know how it gets better than this","Chorus","Taylor Swift"
12,"You take my hand and drag me head first, fearless","Chorus","Taylor Swift"
13,"And I don't know why but with you I'd dance","Chorus","Taylor Swift"
14,"In a storm in my best dress, fearless","Chorus","Taylor Swift"
15,"So, baby, drive slow 'til we run out of road in this one-horse town","Verse 3","Taylor Swift"
16,"I wanna stay right here, in this passenger's seat","Verse 3","Taylor Swift"
17,"You put your eyes on me","Verse 3","Taylor Swift"
18,"In this moment now, capture it, remember it","Verse 3","Taylor Swift"
19,"'Cause I don't know how it gets better than this","Chorus","Taylor Swift"
20,"You take my hand and drag me head first, fearless","Chorus","Taylor Swift"
21,"And I don't know why but with you I'd dance","Chorus","Taylor Swift"
22,"In a storm in my best dress, fearless","Chorus","Taylor Swift"
23,"Oh, oh","Chorus","Taylor Swift"
24,"Well, you stood there with me in the doorway","Bridge","Taylor Swift"
25,"My hands shake, I'm not usually this way but","Bridge","Taylor Swift"
26,"You pull me in and I'm a little more brave","Bridge","Taylor Swift"
27,"It's the first kiss, it's flawless, really something","Bridge","Taylor Swift"
28,"It's fearless","Bridge","Taylor Swift"
29,"Oh, yeah","Bridge","Taylor Swift"
30,"'Cause I don't know how it gets better than this","Chorus","Taylor Swift"
31,"You take my hand and drag me head first, fearless","Chorus","Taylor Swift"
32,"And I don't know why but with you I'd dance","Chorus","Taylor Swift"
33,"In a storm in my best dress, fearless","Chorus","Taylor Swift"
34,"'Cause I don't know how it gets better than this","Chorus","Taylor Swift"
35,"You take my hand and drag me head first, fearless","Chorus","Taylor Swift"
36,"And I don't know why but with you I'd dance","Chorus","Taylor Swift"
37,"In a storm in my best dress, fearless","Chorus","Taylor Swift"
38,"Oh, oh","Outro","Taylor Swift"
39,"Oh-oh, yeah","Outro","Taylor Swift"
