"line","lyric","element","element_artist"
1,"My cards are on the table, yours are in your hand","Verse 1","Taylor Swift"
2,"Chances are, tonight, you've already got plans","Verse 1","Taylor Swift"
3,"And chances are I will talk myself to sleep again","Verse 1","Taylor Swift"
4,"You give me just enough attention to keep my hopes too high","Verse 1","Taylor Swift"
5,"Wishful thoughts forget to mention when something's really not right","Verse 1","Taylor Swift"
6,"And I will block out these voices of reason in my head","Verse 1","Taylor Swift"
7,"And the voices say, ""You are not the exception","Pre-Chorus","Taylor Swift"
8,"You will never learn your lesson""","Pre-Chorus","Taylor Swift"
9,"Foolish one","Chorus","Taylor Swift"
10,"Stop checkin' your mailbox for confessions of love","Chorus","Taylor Swift"
11,"That ain't never gonna come","Chorus","Taylor Swift"
12,"You will take the long way, you will take the long way down","Chorus","Taylor Swift"
13,"You know how to keep me waitin'","Verse 2","Taylor Swift"
14,"I know how to act like I'm fine","Verse 2","Taylor Swift"
15,"Don't know what to call this situation","Verse 2","Taylor Swift"
16,"But I know I can't call you mine","Verse 2","Taylor Swift"
17,"And it's delicate, but I will do my best to seem bulletproof","Verse 2","Taylor Swift"
18,"'Cause when my head is on your shoulder","Verse 2","Taylor Swift"
19,"It starts thinkin' you'll come around","Verse 2","Taylor Swift"
20,"And maybe, someday, when we're older","Verse 2","Taylor Swift"
21,"This is something we'll laugh about","Verse 2","Taylor Swift"
22,"Over coffee every mornin' while you're watching the news","Verse 2","Taylor Swift"
23,"But then the voices say, ""You are not the exception","Pre-Chorus","Taylor Swift"
24,"You will never learn your lesson""","Pre-Chorus","Taylor Swift"
25,"Foolish one","Chorus","Taylor Swift"
26,"Stop checkin' your mailbox for confessions of love","Chorus","Taylor Swift"
27,"That ain't never gonna come","Chorus","Taylor Swift"
28,"You will take the long way, you will take the long way down","Chorus","Taylor Swift"
29,"Foolish one","Chorus","Taylor Swift"
30,"Stop checkin' your mailbox for confessions of love","Chorus","Taylor Swift"
31,"That ain't never gonna come","Chorus","Taylor Swift"
32,"You will learn the hard way instead of just walkin' out","Chorus","Taylor Swift"
33,"Now I'm slidin' down the wall with my head in my hands","Bridge","Taylor Swift"
34,"Sayin', ""How could I not see the signs?""","Bridge","Taylor Swift"
35,"Oh, you haven't written me or called","Bridge","Taylor Swift"
36,"But goodbye screamin' in the silence","Bridge","Taylor Swift"
37,"And the voices in my head are tellin' me why","Bridge","Taylor Swift"
38,"'Cause you got her on your arm and me in the wings","Bridge","Taylor Swift"
39,"I'll get your longing glances, but she'll get your ring","Bridge","Taylor Swift"
40,"And you will say you had the best of intentions","Bridge","Taylor Swift"
41,"And maybe I will finally learn my lesson","Bridge","Taylor Swift"
42,"Foolish one","Chorus","Taylor Swift"
43,"Stop checkin' your mailbox for confessions of love","Chorus","Taylor Swift"
44,"That ain't never gonna come","Chorus","Taylor Swift"
45,"You will take the long way, you will take the long way down","Chorus","Taylor Swift"
46,"Foolish one","Chorus","Taylor Swift"
47,"Stop checkin' your mailbox for confessions of love","Chorus","Taylor Swift"
48,"That ain't never gonna come","Chorus","Taylor Swift"
49,"You will learn the hard way instead of just walkin' out, oh-oh, oh, oh","Chorus","Taylor Swift"
50,"La-la-la-la-la, la-la-la-la, oh","Outro","Taylor Swift"
51,"La-la-la-la-la","Outro","Taylor Swift"
52,"Ain't never gonna come","Outro","Taylor Swift"
53,"Ooh, you will learn the hard way now","Outro","Taylor Swift"
54,"Foolish one","Outro","Taylor Swift"
55,"Sittin' 'round waiting for confessions of love","Outro","Taylor Swift"
56,"They ain't never gonna come","Outro","Taylor Swift"
57,"And thinkin' he's the one, you should've been walkin' out","Outro","Taylor Swift"
58,"Foolish one","Outro","Taylor Swift"
59,"The day is gonna come for your confessions of love","Outro","Taylor Swift"
60,"When all is said and done, he just wasn't the one","Outro","Taylor Swift"
61,"No, he just wasn't the one","Outro","Taylor Swift"
