"line","lyric","element","element_artist"
1,"He says he doesn't believe anything much he hears these days","Verse 1","Taylor Swift"
2,"He says, ""Why fall in love, just so you can watch it go away?""","Verse 1","Taylor Swift"
3,"He spends most of his nights wishing it was how it used to be","Verse 1","Taylor Swift"
4,"He spends most of his flights getting pulled down by gravity","Verse 1","Taylor Swift"
5,"I call, just checking up on him","Verse 1","Taylor Swift"
6,"He's up, 3 AM, pacing","Verse 1","Taylor Swift"
7,"He says, ""It's not just a phase I'm in""","Verse 1","Taylor Swift"
8,"My voice comes out begging","Verse 1","Taylor Swift"
9,"All this time I didn't know","Chorus","Taylor Swift"
10,"You were breaking down","Chorus","Taylor Swift"
11,"I'd fall to pieces on the floor","Chorus","Taylor Swift"
12,"If you weren't around","Chorus","Taylor Swift"
13,"Too young to know it gets better","Chorus","Taylor Swift"
14,"I'll be summer sun for you forever","Chorus","Taylor Swift"
15,"Forever winter if you go","Chorus","Taylor Swift"
16,"He seems fine most of the time","Verse 2","Taylor Swift"
17,"Forcing smiles and never minds","Verse 2","Taylor Swift"
18,"His laugh is a symphony","Verse 2","Taylor Swift"
19,"When the lights go out, it's hard to breathe","Verse 2","Taylor Swift"
20,"I pull at every thread trying to solve the puzzles in his head","Verse 2","Taylor Swift"
21,"Live my life scared to death he'll decide to leave instead","Verse 2","Taylor Swift"
22,"I call, just checking up on him","Verse 2","Taylor Swift"
23,"He's up, 5 AM, wasted","Verse 2","Taylor Swift"
24,"Long gone, not even listening","Verse 2","Taylor Swift"
25,"My voice comes out screaming","Verse 2","Taylor Swift"
26,"All this time I didn't know","Chorus","Taylor Swift"
27,"You were breaking down","Chorus","Taylor Swift"
28,"I'd fall to pieces on the floor","Chorus","Taylor Swift"
29,"If you weren't around","Chorus","Taylor Swift"
30,"Too young to know it gets better","Chorus","Taylor Swift"
31,"I'll be summer sun for you forever","Chorus","Taylor Swift"
32,"Forever winter if you go","Chorus","Taylor Swift"
33,"If I was standing there in your apartment","Bridge","Taylor Swift"
34,"I'd take that bomb in your head and disarm it","Bridge","Taylor Swift"
35,"I'd say I love you even at your darkest and","Bridge","Taylor Swift"
36,"Please don't go","Bridge","Taylor Swift"
37,"I didn't know","Chorus","Taylor Swift"
38,"You were breaking down","Chorus","Taylor Swift"
39,"I'd fall to pieces on the floor","Chorus","Taylor Swift"
40,"If you weren't around","Chorus","Taylor Swift"
41,"Too young to know it gets better","Chorus","Taylor Swift"
42,"I'll be summer sun for you forever","Chorus","Taylor Swift"
43,"Forever winter if you go","Chorus","Taylor Swift"
44,"I'll be your summer sun forever","Post-Chorus","Taylor Swift"
45,"At 3 AM, pacing","Post-Chorus","Taylor Swift"
46,"All this time I didn't know","Post-Chorus","Taylor Swift"
47,"At 5 AM, wasted","Post-Chorus","Taylor Swift"
48,"I'd be in pieces on the floor","Post-Chorus","Taylor Swift"
49,"Forever winter if you go","Post-Chorus","Taylor Swift"
50,"He says he doesn't believe anything much he hears these days","Outro","Taylor Swift"
51,"I say, ""Believe in one thing, I won't go away""","Outro","Taylor Swift"
