"line","lyric","element","element_artist"
1,"No, nothing good starts in a getaway car","Intro","Taylor Swift"
2,"It was the best of times, the worst of crimes","Verse 1","Taylor Swift"
3,"I struck a match and blew your mind","Verse 1","Taylor Swift"
4,"But I didn't mean it","Verse 1","Taylor Swift"
5,"And you didn't see it","Verse 1","Taylor Swift"
6,"The ties were black, the lies were white","Verse 1","Taylor Swift"
7,"In shades of gray in candlelight","Verse 1","Taylor Swift"
8,"I wanted to leave him","Verse 1","Taylor Swift"
9,"I needed a reason","Verse 1","Taylor Swift"
10,"""X"" marks the spot where we fell apart","Pre-Chorus","Taylor Swift"
11,"He poisoned the well, I was lyin' to myself","Pre-Chorus","Taylor Swift"
12,"I knew it from the first Old Fashioned, we were cursed","Pre-Chorus","Taylor Swift"
13,"We never had a shotgun shot in the dark (Oh!)","Pre-Chorus","Taylor Swift"
14,"You were drivin' the getaway car","Chorus","Taylor Swift"
15,"We were flyin', but we'd never get far","Chorus","Taylor Swift"
16,"Don't pretend it's such a mystery","Chorus","Taylor Swift"
17,"Think about the place where you first met me","Chorus","Taylor Swift"
18,"Ridin' in a getaway car","Chorus","Taylor Swift"
19,"There were sirens in the beat of your heart","Chorus","Taylor Swift"
20,"Should've known I'd be the first to leave","Chorus","Taylor Swift"
21,"Think about the place where you first met me","Chorus","Taylor Swift"
22,"In a getaway car, oh-oh-oh","Chorus","Taylor Swift"
23,"No, they never get far, oh-oh-ahh","Chorus","Taylor Swift"
24,"No, nothing good starts in a getaway car","Chorus","Taylor Swift"
25,"It was the great escape, the prison break","Verse 2","Taylor Swift"
26,"The light of freedom on my face","Verse 2","Taylor Swift"
27,"But you weren't thinkin'","Verse 2","Taylor Swift"
28,"And I was just drinkin'","Verse 2","Taylor Swift"
29,"While he was runnin' after us, I was screamin', ""Go, go, go!""","Verse 2","Taylor Swift"
30,"But with three of us, honey, it's a sideshow","Verse 2","Taylor Swift"
31,"And a circus ain't a love story","Verse 2","Taylor Swift"
32,"And now we're both sorry (We're both sorry)","Verse 2","Taylor Swift"
33,"""X"" marks the spot where we fell apart","Pre-Chorus","Taylor Swift"
34,"He poisoned the well, every man for himself","Pre-Chorus","Taylor Swift"
35,"I knew it from the first Old Fashioned, we were cursed","Pre-Chorus","Taylor Swift"
36,"It hit you like a shotgun shot to the heart (Oh!)","Pre-Chorus","Taylor Swift"
37,"You were drivin' the getaway car","Chorus","Taylor Swift"
38,"We were flyin', but we'd never get far","Chorus","Taylor Swift"
39,"Don't pretend it's such a mystery","Chorus","Taylor Swift"
40,"Think about the place where you first met me","Chorus","Taylor Swift"
41,"Ridin' in a getaway car","Chorus","Taylor Swift"
42,"There were sirens in the beat of your heart","Chorus","Taylor Swift"
43,"Should've known I'd be the first to leave","Chorus","Taylor Swift"
44,"Think about the place where you first met me","Chorus","Taylor Swift"
45,"In a getaway car, oh-oh-oh","Chorus","Taylor Swift"
46,"No, they never get far, oh-oh-ahh","Chorus","Taylor Swift"
47,"No, nothing good starts in a getaway car","Chorus","Taylor Swift"
48,"We were jet-set, Bonnie and Clyde (Oh-oh)","Bridge","Taylor Swift"
49,"Until I switched to the other side","Bridge","Taylor Swift"
50,"To the other side","Bridge","Taylor Swift"
51,"It's no surprise I turned you in (Oh-oh)","Bridge","Taylor Swift"
52,"'Cause us traitors never win","Bridge","Taylor Swift"
53,"I'm in a getaway car","Bridge","Taylor Swift"
54,"I left you in a motel bar","Bridge","Taylor Swift"
55,"Put the money in a bag and I stole the keys","Bridge","Taylor Swift"
56,"That was the last time you ever saw me (Oh!)","Bridge","Taylor Swift"
57,"Drivin' the getaway car","Chorus","Taylor Swift"
58,"We were flyin', but we'd never get far (Don't pretend)","Chorus","Taylor Swift"
59,"Don't pretend it's such a mystery","Chorus","Taylor Swift"
60,"Think about the place where you first met me","Chorus","Taylor Swift"
61,"Ridin' in a getaway car","Chorus","Taylor Swift"
62,"There were sirens in the beat of your heart (Should've known)","Chorus","Taylor Swift"
63,"Should've known I'd be the first to leave","Chorus","Taylor Swift"
64,"Think about the place where you first met me","Chorus","Taylor Swift"
65,"In a getaway car, oh-oh-oh","Chorus","Taylor Swift"
66,"No, they never get far, oh-oh-ahh","Chorus","Taylor Swift"
67,"No, nothing good starts in a getaway car","Chorus","Taylor Swift"
68,"I was ridin' in a getaway car","Outro","Taylor Swift"
69,"I was cryin' in a getaway car","Outro","Taylor Swift"
70,"I was dyin' in a getaway car","Outro","Taylor Swift"
71,"Said goodbye in a getaway car","Outro","Taylor Swift"
72,"Ridin' in a getaway car","Outro","Taylor Swift"
73,"I was cryin' in a getaway car","Outro","Taylor Swift"
74,"I was dyin' in a getaway car","Outro","Taylor Swift"
75,"Said goodbye in a getaway car","Outro","Taylor Swift"
