"line","lyric","element","element_artist"
1,"Gorgeous","Intro","Taylor Swift"
2,"You should take it as a compliment","Verse 1","Taylor Swift"
3,"That I got drunk and made fun of the way you talk","Verse 1","Taylor Swift"
4,"You should think about the consequence","Verse 1","Taylor Swift"
5,"Of your magnetic field being a little too strong","Verse 1","Taylor Swift"
6,"And I got a boyfriend, he's older than us","Verse 1","Taylor Swift"
7,"He's in the club doin' I don't know what","Verse 1","Taylor Swift"
8,"You're so cool, it makes me hate you so much","Verse 1","Taylor Swift"
9,"(I hate you so much)","Verse 1","Taylor Swift"
10,"Whisky on ice, Sunset and Vine","Pre-Chorus 1","Taylor Swift"
11,"You've ruined my life by not being mine","Pre-Chorus 1","Taylor Swift"
12,"You're so gorgeous","Chorus","Taylor Swift"
13,"I can't say anything to your face","Chorus","Taylor Swift"
14,"'Cause look at your face (Gorgeous)","Chorus","Taylor Swift"
15,"And I'm so furious","Chorus","Taylor Swift"
16,"At you for making me feel this way","Chorus","Taylor Swift"
17,"But what can I say?","Chorus","Taylor Swift"
18,"You're gorgeous","Chorus","Taylor Swift"
19,"You should take it as a compliment","Verse 2","Taylor Swift"
20,"That I'm talking to everyone here but you (But you, but you)","Verse 2","Taylor Swift"
21,"And you should think about the consequence","Verse 2","Taylor Swift"
22,"Of you touching my hand in a darkened room (Dark room, dark room)","Verse 2","Taylor Swift"
23,"If you've got a girlfriend, I'm jealous of her","Verse 2","Taylor Swift"
24,"But if you're single that's honestly worse","Verse 2","Taylor Swift"
25,"'Cause you're so gorgeous it actually hurts (Honey, it hurts)","Verse 2","Taylor Swift"
26,"Ocean blue eyes looking in mine","Pre-Chorus 2","Taylor Swift"
27,"I feel like I might sink and drown and die","Pre-Chorus 2","Taylor Swift"
28,"You're so gorgeous","Chorus","Taylor Swift"
29,"I can't say anything to your face (To your face)","Chorus","Taylor Swift"
30,"'Cause look at your face (Look at your face, gorgeous)","Chorus","Taylor Swift"
31,"And I'm so furious","Chorus","Taylor Swift"
32,"At you for making me feel this way (Feel this way)","Chorus","Taylor Swift"
33,"But what can I say?","Chorus","Taylor Swift"
34,"You're gorgeous","Chorus","Taylor Swift"
35,"You make me so happy it turns back to sad","Bridge","Taylor Swift"
36,"There's nothing I hate more than what I can't have","Bridge","Taylor Swift"
37,"And you are so gorgeous it makes me so mad (Mmh)","Bridge","Taylor Swift"
38,"You make me so happy it turns back to sad (Yeah)","Bridge","Taylor Swift"
39,"There's nothing I hate more than what I can't have and","Bridge","Taylor Swift"
40,"Guess I'll just stumble on home to my cats (Yeugh), alone","Bridge","Taylor Swift"
41,"Unless, you wanna come along? (Oh)","Bridge","Taylor Swift"
42,"You're so gorgeous","Chorus","Taylor Swift"
43,"I can't say anything to your face (To your face)","Chorus","Taylor Swift"
44,"'Cause look at your face (Look at your face, gorgeous)","Chorus","Taylor Swift"
45,"And I'm so furious (I'm so furious)","Chorus","Taylor Swift"
46,"At you for making me feel this way (Feel this way)","Chorus","Taylor Swift"
47,"But what can I say? (I say)","Chorus","Taylor Swift"
48,"You're gorgeous","Chorus","Taylor Swift"
49,"You make me so happy it turns back to sad (Yeah)","Outro","Taylor Swift"
50,"There's nothing I hate more than what I can't have","Outro","Taylor Swift"
51,"And you are so gorgeous it makes me so mad (Mmh)","Outro","Taylor Swift"
52,"You're gorgeous","Outro","Taylor Swift"
53,"You make me so happy it turns back to sad (It turns back to sad)","Outro","Taylor Swift"
54,"There's nothing I hate more than what I can't have (What I can have)","Outro","Taylor Swift"
55,"You are so gorgeous it makes me so mad (Mmh)","Outro","Taylor Swift"
56,"You're gorgeous","Outro","Taylor Swift"
