"line","lyric","element","element_artist"
1,"Honey, when I'm above the trees","Verse 1","Taylor Swift"
2,"I see this for what it is","Verse 1","Taylor Swift"
3,"But now I'm right down in it, all the years I've given","Verse 1","Taylor Swift"
4,"Is just shit we're dividin' up","Verse 1","Taylor Swift"
5,"Showed you all of my hiding spots","Verse 1","Taylor Swift"
6,"I was dancing when the music stopped","Verse 1","Taylor Swift"
7,"And in the disbelief, I can't face reinvention","Verse 1","Taylor Swift"
8,"I haven't met the new me yet","Verse 1","Taylor Swift"
9,"There'll be happiness after you","Chorus","Taylor Swift"
10,"But there was happiness because of you","Chorus","Taylor Swift"
11,"Both of these things can be true","Chorus","Taylor Swift"
12,"There is happiness","Chorus","Taylor Swift"
13,"Past the blood and bruise","Post-Chorus","Taylor Swift"
14,"Past the curses and cries","Post-Chorus","Taylor Swift"
15,"Beyond the terror in the nightfall","Post-Chorus","Taylor Swift"
16,"Haunted by the look in my eyes","Post-Chorus","Taylor Swift"
17,"That would've loved you for a lifetime","Post-Chorus","Taylor Swift"
18,"Leave it all behind","Post-Chorus","Taylor Swift"
19,"And there is happiness","Post-Chorus","Taylor Swift"
20,"Tell me, when did your winning smile","Verse 2","Taylor Swift"
21,"Begin to look like a smirk?","Verse 2","Taylor Swift"
22,"When did all our lessons start to look like weapons","Verse 2","Taylor Swift"
23,"Pointed at my deepest hurt?","Verse 2","Taylor Swift"
24,"I hope she'll be a beautiful fool","Verse 2","Taylor Swift"
25,"Who takes my spot next to you","Verse 2","Taylor Swift"
26,"No, I didn't mean that","Verse 2","Taylor Swift"
27,"Sorry, I can't see facts through all of my fury","Verse 2","Taylor Swift"
28,"You haven't met the new me yet","Verse 2","Taylor Swift"
29,"There'll be happiness after me","Chorus","Taylor Swift"
30,"But there was happiness because of me","Chorus","Taylor Swift"
31,"Both of these things, I believe","Chorus","Taylor Swift"
32,"There is happiness","Chorus","Taylor Swift"
33,"In our history, across our great divide","Post-Chorus","Taylor Swift"
34,"There is a glorious sunrise","Post-Chorus","Taylor Swift"
35,"Dappled with the flickers of light","Post-Chorus","Taylor Swift"
36,"From the dress I wore at midnight, leave it all behind","Post-Chorus","Taylor Swift"
37,"And there is happiness","Post-Chorus","Taylor Swift"
38,"I can't make it go away by making you a villain","Bridge","Taylor Swift"
39,"I guess it's the price I paid for seven years in Heaven","Bridge","Taylor Swift"
40,"And I pulled your body into mine","Bridge","Taylor Swift"
41,"Every goddamn night, now I get fake niceties","Bridge","Taylor Swift"
42,"No one teaches you what to do","Bridge","Taylor Swift"
43,"When a good man hurts you","Bridge","Taylor Swift"
44,"And you know you hurt him too","Bridge","Taylor Swift"
45,"Honey, when I'm above the trees","Verse 3","Taylor Swift"
46,"I see it for what it is","Verse 3","Taylor Swift"
47,"But now my eyes leak acid rain on the pillow where you used to lay your head","Verse 3","Taylor Swift"
48,"After giving you the best I had","Verse 3","Taylor Swift"
49,"Tell me what to give after that","Verse 3","Taylor Swift"
50,"All you want from me now is the green light of forgiveness","Verse 3","Taylor Swift"
51,"You haven't met the new me yet","Verse 3","Taylor Swift"
52,"And I think she'll give you that","Verse 3","Taylor Swift"
53,"There'll be happiness after you","Chorus","Taylor Swift"
54,"But there was happiness because of you too","Chorus","Taylor Swift"
55,"Both of these things can be true","Chorus","Taylor Swift"
56,"There is happiness","Chorus","Taylor Swift"
57,"In our history, across our great divide","Post-Chorus","Taylor Swift"
58,"There is a glorious sunrise","Post-Chorus","Taylor Swift"
59,"Dappled with the flickers of light","Post-Chorus","Taylor Swift"
60,"From the dress I wore at midnight, leave it all behind","Post-Chorus","Taylor Swift"
61,"Oh, leave it all behind","Post-Chorus","Taylor Swift"
62,"Leave it all behind","Post-Chorus","Taylor Swift"
63,"And there is happiness","Post-Chorus","Taylor Swift"
