"line","lyric","element","element_artist"
1,"Mmm-mm, mm-mm","Intro","Taylor Swift"
2,"Mmm-mm, mm-mm","Intro","Taylor Swift"
3,"Mmm-mm, mm-mm, yeah","Intro","Taylor Swift"
4,"Hey Stephen, I know looks can be deceiving","Verse 1","Taylor Swift"
5,"But I know I saw a light in you","Verse 1","Taylor Swift"
6,"And as we walked we were talking","Verse 1","Taylor Swift"
7,"I didn't say half the things I wanted to","Verse 1","Taylor Swift"
8,"Of all the girls tossing rocks at your window","Verse 1","Taylor Swift"
9,"I'll be the one waiting there even when it's cold","Verse 1","Taylor Swift"
10,"Hey Stephen, boy, you might have me believing","Verse 1","Taylor Swift"
11,"I don't always have to be alone","Verse 1","Taylor Swift"
12,"'Cause I can't help it if you look like an angel","Chorus","Taylor Swift"
13,"Can't help it if I wanna kiss you in the rain so","Chorus","Taylor Swift"
14,"Come feel this magic I've been feeling since I met you","Chorus","Taylor Swift"
15,"Can't help it if there's no one else","Chorus","Taylor Swift"
16,"Mmm, I can't help myself","Chorus","Taylor Swift"
17,"Hey Stephen, I've been holding back this feeling","Verse 2","Taylor Swift"
18,"So I got some things to say to you","Verse 2","Taylor Swift"
19,"I've seen it all, so I thought","Verse 2","Taylor Swift"
20,"But I never seen nobody shine the way you do","Verse 2","Taylor Swift"
21,"The way you walk, way you talk, way you say my name","Verse 2","Taylor Swift"
22,"It's beautiful, wonderful, don't you ever change","Verse 2","Taylor Swift"
23,"Hey Stephen, why are people always leaving?","Verse 2","Taylor Swift"
24,"I think you and I should stay the same","Verse 2","Taylor Swift"
25,"'Cause I can't help it if you look like an angel","Chorus","Taylor Swift"
26,"Can't help it if I wanna kiss you in the rain so","Chorus","Taylor Swift"
27,"Come feel this magic I've been feeling since I met you","Chorus","Taylor Swift"
28,"Can't help it if there's no one else","Chorus","Taylor Swift"
29,"Mmm, I can't help myself","Chorus","Taylor Swift"
30,"They're dimming the street lights, you're perfect for me","Bridge","Taylor Swift"
31,"Why aren't you here tonight?","Bridge","Taylor Swift"
32,"I'm waiting alone now, so come on and come out","Bridge","Taylor Swift"
33,"And pull me near and shine, shine, shine","Bridge","Taylor Swift"
34,"Hey Stephen, I could give you fifty reasons","Bridge","Taylor Swift"
35,"Why I should be the one you choose","Bridge","Taylor Swift"
36,"All those other girls, well, they're beautiful","Bridge","Taylor Swift"
37,"But would they write a song for you? (Ha-ha-ha)","Bridge","Taylor Swift"
38,"I can't help it if you look like an angel","Chorus","Taylor Swift"
39,"Can't help it if I wanna kiss you in the rain so","Chorus","Taylor Swift"
40,"Come feel this magic I've been feeling since I met you","Chorus","Taylor Swift"
41,"Can't help it if there's no one else","Chorus","Taylor Swift"
42,"Mmm, I can't help myself","Chorus","Taylor Swift"
43,"If you look like an angel","Chorus","Taylor Swift"
44,"Can't help it if I wanna kiss you in the rain so","Chorus","Taylor Swift"
45,"Come feel this magic I've been feeling since I met you","Chorus","Taylor Swift"
46,"Can't help it if there's no one else","Chorus","Taylor Swift"
47,"Mmm, I can't help myself","Chorus","Taylor Swift"
48,"Ah-uh, myself","Outro","Taylor Swift"
49,"Mmm-mm, I can't help myself","Outro","Taylor Swift"
50,"I can't help myself","Outro","Taylor Swift"
51,"Oh-oh-oh","Outro","Taylor Swift"
52,"Mmm-mm, mm-mm","Outro","Taylor Swift"
53,"Mmm-mm, mm-mm","Outro","Taylor Swift"
54,"Mmm-mm, mm-mm","Outro","Taylor Swift"
