"line","lyric","element","element_artist"
1,"I washed my hands of us at the club","Verse 1","Taylor Swift"
2,"You made a mess of me","Verse 1","Taylor Swift"
3,"I pictured you with other girls in love","Verse 1","Taylor Swift"
4,"Then threw up on the street","Verse 1","Taylor Swift"
5,"Like waiting for a bus that never shows","Verse 1","Taylor Swift"
6,"You just start walking on","Verse 1","Taylor Swift"
7,"They say that if it's right, you know","Verse 1","Taylor Swift"
8,"Each bar plays our song","Verse 1","Taylor Swift"
9,"Nothing has ever felt so wrong","Verse 1","Taylor Swift"
10,"Oh my, love is a lie","Chorus","Taylor Swift"
11,"Shit my friends say to get me by","Chorus","Taylor Swift"
12,"It hits different, it hits different this time","Chorus","Taylor Swift"
13,"Catastrophic blues","Chorus","Taylor Swift"
14,"Moving on was always easy for me to do","Chorus","Taylor Swift"
15,"It hits different, it hits different 'cause it's you","Chorus","Taylor Swift"
16,"('Cause it's you)","Chorus","Taylor Swift"
17,"I used to switch out these Kens, I'd just ghost","Verse 2","Taylor Swift"
18,"Rip the band-aid off and skip town like an asshole outlaw","Verse 2","Taylor Swift"
19,"Freedom felt like summer then on the coast","Verse 2","Taylor Swift"
20,"Now the sun burns my heart and the sand hurts my feelings","Verse 2","Taylor Swift"
21,"And I never don't cry (And I never don't cry) at the bar","Verse 2","Taylor Swift"
22,"Yeah, my sadness is contagious (My sadness is contagious)","Verse 2","Taylor Swift"
23,"I slur your name 'til someone puts me in a car","Verse 2","Taylor Swift"
24,"I stopped receiving invitations","Verse 2","Taylor Swift"
25,"Oh my, love is a lie","Chorus","Taylor Swift"
26,"Shit my friends say to get me by","Chorus","Taylor Swift"
27,"It hits different, it hits different this time","Chorus","Taylor Swift"
28,"Catastrophic blues","Chorus","Taylor Swift"
29,"Moving on was always easy for me to do","Chorus","Taylor Swift"
30,"It hits different, it hits different 'cause it's you","Chorus","Taylor Swift"
31,"('Cause it's you)","Chorus","Taylor Swift"
32,"I find the artifacts, cried over a hat, cursed the space that I needed","Bridge","Taylor Swift"
33,"I trace the evidence, make it make some sense, why the wound is still bleeding","Bridge","Taylor Swift"
34,"You were the one that I loved, don't need another metaphor it's simple enough","Bridge","Taylor Swift"
35,"A wrinkle in time like the crease by your eyes","Bridge","Taylor Swift"
36,"This is why they shouldn't kill off the main guy","Bridge","Taylor Swift"
37,"Dreams of your hair and your stare and sense of belief","Bridge","Taylor Swift"
38,"In the good in the world, you once believed in me","Bridge","Taylor Swift"
39,"And I felt you and I held you for a while","Bridge","Taylor Swift"
40,"Bet I could still melt your world, argumentative, antithetical dream girl","Bridge","Taylor Swift"
41,"I heard your key turn in the door down the hallway","Bridge","Taylor Swift"
42,"Is that your key in the door? Is it okay? Is it you?","Bridge","Taylor Swift"
43,"Or have they come to take me away?","Bridge","Taylor Swift"
44,"To take me away","Bridge","Taylor Swift"
45,"Oh my, love is a lie","Chorus","Taylor Swift"
46,"Shit my friends say to get me by","Chorus","Taylor Swift"
47,"It hits different (It hits different), it hits different this time","Chorus","Taylor Swift"
48,"Catastrophic blues","Chorus","Taylor Swift"
49,"Moving on was always easy for me to do","Chorus","Taylor Swift"
50,"It hits different (It hits different), it hits different 'cause it's you","Chorus","Taylor Swift"
51,"Oh my, love is a lie","Chorus","Taylor Swift"
52,"Shit my friends say to get me by (It hits different 'cause it's you)","Chorus","Taylor Swift"
53,"('Cause it's you)","Chorus","Taylor Swift"
54,"Catastrophic blues","Chorus","Taylor Swift"
55,"Moving on was always easy for me to do","Chorus","Taylor Swift"
56,"It hits different, it hits different 'cause it's you, yeah","Chorus","Taylor Swift"
