"line","lyric","element","element_artist"
1,"I was reminiscing just the other day","Verse 1","Taylor Swift"
2,"While having coffee all alone","Verse 1","Taylor Swift"
3,"And Lord it took me away","Verse 1","Taylor Swift"
4,"Back to a first-glance feeling on New York time","Verse 1","Taylor Swift"
5,"Back when you fit my poems like a perfect rhyme","Verse 1","Taylor Swift"
6,"Took off faster than a green light, go","Verse 1","Taylor Swift"
7,"Yeah you skip the conversation when you already know","Verse 1","Taylor Swift"
8,"I left a note on the door with a joke we'd made","Verse 1","Taylor Swift"
9,"And that was the first day","Verse 1","Taylor Swift"
10,"And darling it was good","Chorus","Taylor Swift"
11,"Never looking down","Chorus","Taylor Swift"
12,"And right there where we stood","Chorus","Taylor Swift"
13,"Was holy ground","Chorus","Taylor Swift"
14,"Spinning like a girl in a brand new dress","Verse 2","Taylor Swift"
15,"We had this big wide city all to ourselves","Verse 2","Taylor Swift"
16,"We block the noise with the sound of, ""I need you""","Verse 2","Taylor Swift"
17,"And for the first time I had something to lose","Verse 2","Taylor Swift"
18,"And I guess we fell apart in the usual way","Verse 2","Taylor Swift"
19,"And the story's got dust on every page","Verse 2","Taylor Swift"
20,"But sometimes I wonder how you think about it now","Verse 2","Taylor Swift"
21,"And I see your face in every crowd","Verse 2","Taylor Swift"
22,"'Cause darling, it was good","Chorus","Taylor Swift"
23,"Never looking down","Chorus","Taylor Swift"
24,"And right there where we stood","Chorus","Taylor Swift"
25,"Was holy ground","Chorus","Taylor Swift"
26,"Tonight, I'm gonna dance","Bridge","Taylor Swift"
27,"For all that we've been through","Bridge","Taylor Swift"
28,"But I don't wanna dance","Bridge","Taylor Swift"
29,"If I'm not dancing with you","Bridge","Taylor Swift"
30,"Tonight, I'm gonna dance","Bridge","Taylor Swift"
31,"Like you were in this room","Bridge","Taylor Swift"
32,"But I don't wanna dance","Bridge","Taylor Swift"
33,"If I'm not dancing with you","Bridge","Taylor Swift"
34,"It was good","Chorus","Taylor Swift"
35,"Never looking down","Chorus","Taylor Swift"
36,"And right there where we stood","Chorus","Taylor Swift"
37,"Was holy ground","Chorus","Taylor Swift"
38,"Tonight, I'm gonna dance","Outro","Taylor Swift"
39,"For all that we've been through","Outro","Taylor Swift"
40,"But I don't wanna dance","Outro","Taylor Swift"
41,"If I'm not dancing with you","Outro","Taylor Swift"
42,"Tonight, I'm gonna dance","Outro","Taylor Swift"
43,"Like you were in this room","Outro","Taylor Swift"
44,"But I don't wanna dance","Outro","Taylor Swift"
45,"If I'm not dancing with you","Outro","Taylor Swift"
