"line","lyric","element","element_artist"
1,"Oh, oh, oh","Intro","Taylor Swift"
2,"Oh, oh, oh","Intro","Taylor Swift"
3,"Oh-oh, oh-oh","Intro","Taylor Swift"
4,"Stand there like a ghost, shakin' from the rain, rain","Verse 1","Taylor Swift"
5,"She'll open up the door and say, ""Are you insane, -ane?""","Verse 1","Taylor Swift"
6,"Say, ""It's been a long six months""","Verse 1","Taylor Swift"
7,"And you were too afraid to tell her what you want, want","Verse 1","Taylor Swift"
8,"And that's how it works","Pre-Chorus","Taylor Swift"
9,"That's how you get the girl","Pre-Chorus","Taylor Swift"
10,"And then, you say","Pre-Chorus","Taylor Swift"
11,"I want you for worse or for better","Chorus","Taylor Swift"
12,"I would wait forever and ever","Chorus","Taylor Swift"
13,"Broke your heart, I'll put it back together","Chorus","Taylor Swift"
14,"I would wait forever and ever","Chorus","Taylor Swift"
15,"And that's how it works","Chorus","Taylor Swift"
16,"That's how you get the girl, girl, oh","Chorus","Taylor Swift"
17,"And that's how it works","Chorus","Taylor Swift"
18,"That's how you get the girl, girl","Chorus","Taylor Swift"
19,"Remind her how it used to be, be, yeah, yeah","Verse 2","Taylor Swift"
20,"Of pictures in frames, of kisses on cheeks, cheeks","Verse 2","Taylor Swift"
21,"Tell her how you must have lost your mind, ooh","Verse 2","Taylor Swift"
22,"When you left her all alone and never told her why, why","Verse 2","Taylor Swift"
23,"And that's how it works","Pre-Chorus","Taylor Swift"
24,"That's how you lost the girl","Pre-Chorus","Taylor Swift"
25,"And now, you say","Pre-Chorus","Taylor Swift"
26,"I want you for worse or for better","Chorus","Taylor Swift"
27,"I would wait forever and ever (Ever and ever)","Chorus","Taylor Swift"
28,"Broke your heart, I'll put it back together (Put it back together)","Chorus","Taylor Swift"
29,"I would wait forever and ever (Ever and ever)","Chorus","Taylor Swift"
30,"And that's how it works","Chorus","Taylor Swift"
31,"That's how you get the girl, girl, oh","Chorus","Taylor Swift"
32,"And that's how it works","Chorus","Taylor Swift"
33,"That's how you get the girl, girl, yeah, yeah","Chorus","Taylor Swift"
34,"And you, ooh, know, oh, oh","Bridge","Taylor Swift"
35,"Oh-oh-oh-oh, oh-oh-oh-oh-oh","Bridge","Taylor Swift"
36,"That I don't want you to go","Bridge","Taylor Swift"
37,"Remind me how it used to be","Bridge","Taylor Swift"
38,"Pictures in frames of kisses on cheeks","Bridge","Taylor Swift"
39,"And say you want me, yeah, yeah, 'cause","Bridge","Taylor Swift"
40,"And then you say","Bridge","Taylor Swift"
41,"I want you for worse or for better (Worse or for better)","Chorus","Taylor Swift"
42,"I would wait forever and ever (Ever and ever)","Chorus","Taylor Swift"
43,"Broke your heart, I'll put it back together","Chorus","Taylor Swift"
44,"I want you forever and ever (I want you forever and ever)","Chorus","Taylor Swift"
45,"And that's how it works","Chorus","Taylor Swift"
46,"That's how you get the girl, girl ('Cause it's how it works)","Chorus","Taylor Swift"
47,"And that's how it works","Chorus","Taylor Swift"
48,"That's how you get the girl, girl (Get the girl, that's how it works)","Chorus","Taylor Swift"
49,"And that's how it works (Oh)","Chorus","Taylor Swift"
50,"That's how you get the girl, girl (Oh)","Chorus","Taylor Swift"
51,"And that's how it works","Chorus","Taylor Swift"
52,"That's how you get the girl, girl","Chorus","Taylor Swift"
53,"And that's how it works","Outro","Taylor Swift"
54,"That's how you got the girl","Outro","Taylor Swift"
